,TARS2 (80222)
ACH-000004,-0.8342197369519999
ACH-000007,-0.803350588176
ACH-000009,-1.08941692153
ACH-000011,-0.505634011694
ACH-000012,-1.2134696072600002
ACH-000013,-1.0109008241700002
ACH-000014,-0.798200361169
ACH-000015,-1.07954386185
ACH-000017,-1.08370373762
ACH-000018,-1.1862738752700002
ACH-000019,-1.3608322145700003
ACH-000021,-1.0314230981499999
ACH-000022,-1.22987222245
ACH-000025,-0.9945438998180001
ACH-000028,-1.10676499174
ACH-000030,-1.04482990043
ACH-000035,-1.28680226233
ACH-000036,-0.604775329846
ACH-000037,-0.9022439849349999
ACH-000039,-1.2734794375799998
ACH-000040,-0.8626129622650001
ACH-000041,-1.08645015766
ACH-000042,-1.0449048215
ACH-000045,-0.962201176619
ACH-000047,-1.1897638156700001
ACH-000052,-0.586091894794
ACH-000053,-0.596288605414
ACH-000054,-1.1335595344
ACH-000055,-0.917631624464
ACH-000060,-0.7504546077069999
ACH-000067,-0.834164883113
ACH-000070,-0.901669508211
ACH-000075,-0.771301209557
ACH-000078,-0.895765442837
ACH-000082,-0.84760862456
ACH-000085,-0.869421330381
ACH-000086,-1.4626694902500001
ACH-000087,-1.0861653941
ACH-000092,-0.6935864868880001
ACH-000095,-0.64900565429
ACH-000097,-1.00396763765
ACH-000098,-0.859876190829
ACH-000099,-1.0517146424
ACH-000108,-0.784067521574
ACH-000113,-0.912624147468
ACH-000115,-0.67914221462
ACH-000116,-0.961956146274
ACH-000118,-1.2746867913700002
ACH-000120,-0.895866891028
ACH-000123,-0.906922959583
ACH-000127,-1.19839117348
ACH-000128,-0.9669027139499999
ACH-000132,-0.76645055295
ACH-000133,-1.05986011756
ACH-000137,-0.7487055542000001
ACH-000138,-1.1954999956799999
ACH-000142,-1.05663616263
ACH-000143,-1.14763268281
ACH-000146,-0.715348604391
ACH-000148,-0.988790443616
ACH-000150,-1.2860794876700001
ACH-000152,-0.987062434502
ACH-000153,-1.04653644386
ACH-000159,-0.8901444933730001
ACH-000160,-1.4571151191299998
ACH-000163,-0.9880732870200001
ACH-000167,-1.0188277349500001
ACH-000168,-0.661323476549
ACH-000169,-1.02000319067
ACH-000178,-1.09653628189
ACH-000182,-1.26235630313
ACH-000183,-1.09952161663
ACH-000188,-0.8885120856550001
ACH-000189,-1.31242265214
ACH-000190,-1.1058211200299999
ACH-000198,-1.1846764802399998
ACH-000204,-1.3059000008600001
ACH-000206,-0.9004684439299999
ACH-000207,-0.994299390343
ACH-000211,-0.9314920648010001
ACH-000215,-1.08270152573
ACH-000221,-1.1903176737999999
ACH-000222,-1.1193952859899998
ACH-000223,-1.02965024971
ACH-000226,-0.986932378743
ACH-000227,-1.06403277825
ACH-000228,-0.9807764642389999
ACH-000231,-1.27765872821
ACH-000232,-1.08026674187
ACH-000233,-0.90114995846
ACH-000234,-0.528754468025
ACH-000235,-0.94763635671
ACH-000237,-0.549289922408
ACH-000238,-0.89176310767
ACH-000243,-0.980790752861
ACH-000244,-0.7326848323720001
ACH-000246,-0.9984479830859999
ACH-000248,-1.07844359504
ACH-000250,-0.574333177672
ACH-000251,-1.44123549546
ACH-000253,-0.832260657061
ACH-000255,-0.992403240873
ACH-000256,-0.759360896788
ACH-000257,-1.21745435992
ACH-000258,-1.13133866552
ACH-000259,-1.12101520942
ACH-000260,-0.7550878818950001
ACH-000261,-0.706656315065
ACH-000262,-1.0012107162700001
ACH-000263,-0.830886194627
ACH-000264,-0.932594860377
ACH-000265,-1.18516283969
ACH-000266,-0.748500320342
