,KATNB1 (10300)
ACH-000004,-0.297070296876
ACH-000007,-0.953348035022
ACH-000009,-0.84076825549
ACH-000011,-1.22604596343
ACH-000012,-0.5615802580120001
ACH-000013,-0.636228191982
ACH-000014,-1.2425273377
ACH-000015,-0.104240704354
ACH-000017,-1.04509227765
ACH-000018,-0.707077397733
ACH-000019,-0.524579535191
ACH-000021,-0.504839694339
ACH-000022,-1.24925086629
ACH-000025,-0.507037297505
ACH-000028,-0.793172561655
ACH-000030,-0.609326400067
ACH-000035,-0.546764721883
ACH-000036,-0.862092857292
ACH-000037,-0.316477381219
ACH-000039,-0.35962615892
ACH-000040,-0.0649556936739
ACH-000041,-0.580334183228
ACH-000042,-0.607279447866
ACH-000045,-0.6914992125749999
ACH-000047,-0.31676160030699996
ACH-000052,-1.1645801870999999
ACH-000053,-0.134834654339
ACH-000054,-0.27715577887299997
ACH-000055,-0.779351504186
ACH-000060,-0.89788781998
ACH-000067,-0.42646862028000004
ACH-000070,-0.6263619627570001
ACH-000075,-0.24219453964899998
ACH-000078,-0.71391514523
ACH-000082,-0.5553693638430001
ACH-000085,-0.18299226876
ACH-000086,-0.506682197338
ACH-000087,-0.2627822097
ACH-000092,-0.5734075192629999
ACH-000095,-0.713380139212
ACH-000097,-0.541715207365
ACH-000098,-0.827853759117
ACH-000099,-0.465072082179
ACH-000108,-0.09793953105839999
ACH-000113,-0.999419099885
ACH-000115,-0.8698723795469999
ACH-000116,-0.861961139148
ACH-000118,-0.344374616451
ACH-000120,-0.812325889936
ACH-000123,-0.32181753248399997
ACH-000127,-1.37579841688
ACH-000128,-0.23551292627300002
ACH-000132,-0.647670942452
ACH-000133,-1.00126467316
ACH-000137,-0.47725436366999996
ACH-000138,-0.7376608801510001
ACH-000142,-1.10648793623
ACH-000143,-0.5569040560899999
ACH-000146,-0.7200461932080001
ACH-000148,-0.517005035082
ACH-000150,-0.446387361439
ACH-000152,-0.31552448465599997
ACH-000153,-0.626661857668
ACH-000159,-0.425099168858
ACH-000160,-0.243171430711
ACH-000163,-0.24883588389800002
ACH-000167,-0.38220318565399997
ACH-000168,-0.310550783059
ACH-000169,-0.350718649959
ACH-000178,-0.636244006375
ACH-000182,-0.39977081550300003
ACH-000183,-0.47442379680200003
ACH-000188,-0.692925988882
ACH-000189,-0.485659485996
ACH-000190,-0.37284885274400004
ACH-000198,-0.154736732654
ACH-000204,-0.19287047274900002
ACH-000206,-0.553438850478
ACH-000207,-0.201696166888
ACH-000211,-1.14590336844
ACH-000215,-0.665090288053
ACH-000221,-0.366086668846
ACH-000222,-0.85490816132
ACH-000223,-0.557028014939
ACH-000226,-0.611551644764
ACH-000227,-0.409588935066
ACH-000228,-0.46107076113000006
ACH-000231,-0.503178150123
ACH-000232,-0.7976692401459999
ACH-000233,-0.59395295385
ACH-000234,-0.936004177689
ACH-000235,-0.423086674475
ACH-000237,-0.801912030249
ACH-000238,-0.8590616731090001
ACH-000243,-0.578110316286
ACH-000244,-0.866270213759
ACH-000246,-0.6831909246969999
ACH-000248,-1.22188009299
ACH-000250,-1.00218726997
ACH-000251,-0.7484399776180001
ACH-000253,-0.34815586185
ACH-000255,-0.320975035498
ACH-000256,-0.756957319775
ACH-000257,-0.831409654826
ACH-000258,-1.42479744912
ACH-000259,-0.374246224787
ACH-000260,-0.303941878527
ACH-000261,-0.574030820484
ACH-000262,-1.08685184969
ACH-000263,-0.5020839138800001
ACH-000264,-0.444057973248
ACH-000265,-0.49976219960100005
ACH-000266,-0.437066872547
ACH-000272,-0.8546016324150001
ACH-000273,-0.532683513188
ACH-000274,-0.508051142968
ACH-000277,-0.38446853082099997
