,UQCRH (7388)
ACH-000004,-0.7763615062260001
ACH-000007,-0.86087245358
ACH-000009,-1.01698687872
ACH-000011,-1.10641249571
ACH-000012,-0.9923901951530001
ACH-000013,-0.860480112136
ACH-000014,-0.8453678346719999
ACH-000015,-0.9420873306299999
ACH-000017,-1.11690671074
ACH-000018,-0.876570086973
ACH-000019,-1.25421276269
ACH-000021,-0.894051601565
ACH-000022,-0.7943109169570001
ACH-000025,-0.927977732898
ACH-000028,-1.0001617335200002
ACH-000030,-1.03088679423
ACH-000035,-1.02802163309
ACH-000036,-1.04952128527
ACH-000037,-1.3300411825299998
ACH-000039,-1.2527962082600002
ACH-000040,-0.98403869516
ACH-000041,-0.998214425723
ACH-000042,-0.951662675426
ACH-000045,-0.8938189083499999
ACH-000047,-1.10680648726
ACH-000052,-0.795836203727
ACH-000053,-0.8478493311049999
ACH-000054,-1.00487127641
ACH-000055,-0.801297782312
ACH-000060,-1.16323445171
ACH-000067,-1.18540435876
ACH-000070,-0.900902057719
ACH-000075,-1.22676128913
ACH-000078,-1.33916843784
ACH-000082,-0.987048279165
ACH-000085,-1.2399971982100002
ACH-000086,-1.15818736966
ACH-000087,-1.10558024537
ACH-000092,-1.29318510452
ACH-000095,-1.11192983235
ACH-000097,-1.09564291139
ACH-000098,-0.970803092467
ACH-000099,-1.19542970337
ACH-000108,-0.8221733635089999
ACH-000113,-1.09264514611
ACH-000115,-0.669210776501
ACH-000116,-0.904770924645
ACH-000118,-0.80579889273
ACH-000120,-0.885757230209
ACH-000123,-1.02457171073
ACH-000127,-1.03619548553
ACH-000128,-1.1044070391
ACH-000132,-1.3041001862000001
ACH-000133,-1.00911803254
ACH-000137,-1.07413206607
ACH-000138,-0.8038170307800001
ACH-000142,-0.9219552829909999
ACH-000143,-0.944321022397
ACH-000146,-0.942899497191
ACH-000148,-0.937501995239
ACH-000150,-1.43128356396
ACH-000152,-1.02629036932
ACH-000153,-0.9132110220980001
ACH-000159,-1.17273017264
ACH-000160,-1.10286957028
ACH-000163,-0.901288701972
ACH-000167,-0.992460557911
ACH-000168,-1.02691999199
ACH-000169,-1.0938916959799998
ACH-000178,-1.00837301347
ACH-000182,-0.922690415762
ACH-000183,-0.952779038252
ACH-000188,-0.9244918862549999
ACH-000189,-1.2884523959
ACH-000190,-1.0635423965100002
ACH-000198,-0.9968443772390001
ACH-000204,-0.7897027542839999
ACH-000206,-0.725047077289
ACH-000207,-1.05689064836
ACH-000211,-1.0423435321799999
ACH-000215,-1.1729129328
ACH-000221,-1.00595543046
ACH-000222,-0.869501794822
ACH-000223,-1.22542604862
ACH-000226,-1.07572583673
ACH-000227,-1.50907126248
