,OGDH (4967)
ACH-000004,-1.19013806298
ACH-000007,-0.444720941769
ACH-000009,-0.470866137774
ACH-000011,-0.621016647448
ACH-000012,-0.6665307696580001
ACH-000013,-0.24509002868299998
ACH-000014,-0.47712704541699996
ACH-000015,-0.55801283959
ACH-000017,-0.6544163371630001
ACH-000018,-0.540417195306
ACH-000019,-0.715189077489
ACH-000021,-0.370660569797
ACH-000022,-0.150415134807
ACH-000025,-0.481780966431
ACH-000028,-0.557419461283
ACH-000030,-0.7979073469560001
ACH-000035,-0.48331652602499997
ACH-000036,-0.02843237756
ACH-000037,-0.283908735922
ACH-000039,-0.408046342433
ACH-000040,-0.31938245553100003
ACH-000041,-0.67013825184
ACH-000042,-0.801436608929
ACH-000045,-0.35815885178999995
ACH-000047,-0.5359141990030001
ACH-000052,-0.30387317255199997
ACH-000053,-0.8640633769030001
ACH-000054,-0.7893565124590001
ACH-000055,-0.37507414148699997
ACH-000060,-0.13225843712899998
ACH-000067,0.0360809502503
ACH-000070,-0.7245103057019999
ACH-000075,-0.49563255336
ACH-000078,-0.79719124067
ACH-000082,-0.304111275861
ACH-000085,-0.133418235331
ACH-000086,0.0499343495105
ACH-000087,-0.7572473197480001
ACH-000092,-0.20620296147300002
ACH-000095,-0.236463575825
ACH-000097,-0.562322658784
ACH-000098,-0.277105885527
ACH-000099,-0.7510280951360001
ACH-000108,-0.8718215728219999
ACH-000113,-0.575026455075
ACH-000115,-0.338472601687
ACH-000116,-0.341726051632
ACH-000118,-0.688547166697
ACH-000120,-0.199607856619
ACH-000123,-0.42655044353
ACH-000127,-0.859064030582
ACH-000128,-0.519719381154
ACH-000132,-0.028361166704599997
ACH-000133,-0.443356686759
ACH-000137,-0.34657816753
ACH-000138,-1.01789907829
ACH-000142,-0.539310945368
ACH-000143,-0.565798093781
ACH-000146,-1.15063629079
ACH-000148,-0.339490982946
ACH-000150,0.0123373836808
ACH-000152,-0.0619699332637
ACH-000153,-0.38225223047300005
ACH-000159,-0.714219306553
ACH-000160,-0.104759253239
ACH-000163,-0.112736057061
ACH-000167,0.0361066874456
ACH-000168,-0.525884479107
ACH-000169,-0.20011897023800002
ACH-000178,-0.198359259886
ACH-000182,-0.69852364926
