,NARFL (64428)
ACH-000004,-1.8546146232700003
ACH-000007,-1.61066279887
ACH-000009,-1.38779202283
ACH-000011,-1.41688969671
ACH-000012,-1.64196259167
ACH-000013,-1.8262317308200002
ACH-000014,-1.5620639416100002
ACH-000015,-1.6335817348
ACH-000017,-1.4813569491299998
ACH-000018,-1.43972019443
ACH-000019,-1.3738625812600003
ACH-000021,-1.5635158241100002
ACH-000022,-1.50771087662
ACH-000025,-1.31920331051
ACH-000028,-1.6190305611200002
ACH-000030,-1.4552244019999998
ACH-000035,-1.66616255859
ACH-000036,-1.43707300653
ACH-000037,-1.591124081
ACH-000039,-1.6610127097100003
ACH-000040,-1.5942198979700002
ACH-000041,-1.7023784113100002
ACH-000042,-1.3632289769
ACH-000045,-1.67776760039
ACH-000047,-1.7277783148599997
ACH-000052,-1.54118027249
ACH-000053,-1.51545733582
ACH-000054,-1.64546797804
ACH-000055,-1.4627171204499998
ACH-000060,-1.46195671349
ACH-000067,-1.5032936884
ACH-000070,-1.3398790947299999
ACH-000075,-1.49820915936
ACH-000078,-1.7330417983900002
ACH-000082,-1.8197374261400001
ACH-000085,-1.28484646464
ACH-000086,-1.1478966083600002
ACH-000087,-1.51011319946
ACH-000092,-1.2517733907100002
ACH-000095,-1.6115827292899998
ACH-000097,-1.42442882939
ACH-000098,-1.67430979675
ACH-000099,-1.69282945268
ACH-000108,-1.39139647568
ACH-000113,-1.63833912885
ACH-000115,-1.4423594732799998
ACH-000116,-1.63123110503
ACH-000118,-1.3422863984399998
ACH-000120,-1.65214635579
ACH-000123,-1.41131180722
ACH-000127,-1.5548862887700001
ACH-000128,-1.55610288121
ACH-000132,-1.5918632344499999
ACH-000133,-1.39436118495
ACH-000137,-1.6661683288
ACH-000138,-1.51857809433
ACH-000142,-1.39591362067
ACH-000143,-1.6971752699200002
ACH-000146,-1.87188829781
ACH-000148,-1.8426023378999998
ACH-000150,-1.33304797771
ACH-000152,-1.42533901669
ACH-000153,-1.79946643096
ACH-000159,-1.30722152284
ACH-000160,-1.4855543387399999
ACH-000163,-1.6137223039200002
ACH-000167,-2.29892534273
ACH-000168,-1.4257109971200002
ACH-000169,-1.5392483981
ACH-000178,-1.45852226928
ACH-000182,-1.4704192236200002
ACH-000183,-1.43115607322
ACH-000188,-1.5015872456700001
ACH-000189,-1.3257276225499999
ACH-000190,-1.49074571426
ACH-000198,-1.71544381497
ACH-000204,-1.25349188094
ACH-000206,-1.8426476283500002
ACH-000207,-0.69804337002
ACH-000211,-1.59768554701
ACH-000215,-1.4522224575100002
