,HLA-E (3133)
ACH-000004,-0.13481000441500002
ACH-000007,0.12501695694
ACH-000009,-0.046133789000900004
ACH-000011,-0.257684388441
ACH-000012,-0.22753793230900002
ACH-000013,0.0032692349955999998
ACH-000014,-0.462429291187
ACH-000015,-0.0391872980337
ACH-000017,-0.303653220399
ACH-000018,0.0126973339341
ACH-000019,-0.12337424998600001
ACH-000021,-0.0414191256139
ACH-000022,-0.132495388337
ACH-000025,-0.242977540258
ACH-000028,0.00120975704758
ACH-000030,-0.274772815607
ACH-000035,-0.218757770421
ACH-000036,-0.16395201890799999
ACH-000037,-0.0200854876927
ACH-000039,-0.597188586089
ACH-000040,-0.0879636191595
ACH-000041,-0.217789543064
ACH-000042,-0.0611864653266
ACH-000045,-0.312625977034
ACH-000047,-0.0972513394495
ACH-000052,0.147964014906
ACH-000053,-0.222560259326
ACH-000054,-0.29943555152
ACH-000055,-0.08687115320739999
ACH-000060,-0.49063240079400006
ACH-000067,-0.22749462048500002
ACH-000070,0.0780903487887
ACH-000075,-0.380580586118
ACH-000078,-0.27388431385699996
ACH-000082,-0.34749099338100004
ACH-000085,-0.48790432637100006
ACH-000086,-0.217641991496
ACH-000087,-0.375567184123
ACH-000092,-0.16907083762800001
ACH-000095,-0.222208384302
ACH-000097,-0.033545906747
ACH-000098,-0.131877154445
ACH-000099,-0.012095158771200001
ACH-000108,0.0408328517398
ACH-000113,-0.297559852281
ACH-000115,-0.0925655150953
ACH-000116,-0.009036001013639999
ACH-000118,0.0411639975679
ACH-000120,-0.0290840252407
ACH-000123,-0.0587460370159
ACH-000127,-0.258632191691
ACH-000128,-0.311891871089
ACH-000132,-0.08560829820499999
ACH-000133,-0.17980651692699998
ACH-000137,-0.00934990363433
ACH-000138,-0.20511175240200002
ACH-000142,-0.305718944072
ACH-000143,-0.192768533411
ACH-000146,-0.054554544794899996
ACH-000148,3.49762200161e-05
ACH-000150,-0.155100448884
ACH-000152,-0.288268203402
ACH-000153,-0.301384709318
ACH-000159,-0.101349571279
ACH-000160,-0.268670089908
ACH-000163,-0.0783997791401
ACH-000167,-0.308985438844
ACH-000168,-0.230932654342
ACH-000169,-0.13355006085899998
ACH-000178,-0.0241042511134
ACH-000182,-0.014000384922
ACH-000183,-0.116056436217
ACH-000188,-0.186556650322
ACH-000189,-0.443012168927
ACH-000190,-0.104121489945
ACH-000198,-0.142095607545
ACH-000204,0.013675572324399999
ACH-000206,-0.07561049982969999
ACH-000207,-0.364368013098
ACH-000211,-0.215979202087
ACH-000215,-0.302011907771
ACH-000221,0.00229602167958
ACH-000222,-0.143057437087
ACH-000223,-0.27040489212200003
ACH-000226,-0.175604461237
ACH-000227,-0.050717238818499995
ACH-000228,-0.0270713932137
ACH-000231,-0.255953393106
ACH-000232,-0.12832723406
ACH-000233,-0.342981985625
ACH-000234,-0.41382398273000004
ACH-000235,-0.130360813085
ACH-000237,-0.126364550109
ACH-000238,0.04267025196819999
ACH-000243,-0.00356304897582
ACH-000244,0.12611652284299998
ACH-000246,-0.173484315979
ACH-000248,-0.0369253259303
ACH-000250,-0.424394180721
ACH-000251,0.040858077878800005
ACH-000253,-0.25732099826099997
ACH-000255,-0.06849884099140001
ACH-000256,-0.0471563643315
ACH-000257,0.11338908211899999
ACH-000258,-0.23855542575999997
ACH-000259,-0.027829175966
ACH-000260,-0.213726669901
ACH-000261,-0.139445950009
ACH-000262,-0.0282151484719
ACH-000263,-0.283368379116
ACH-000264,-0.289110670989
ACH-000265,-0.19302454385099999
ACH-000266,-0.0609482929076
ACH-000272,-0.123899533497
ACH-000273,-0.249723510801
ACH-000274,-0.083303385821
ACH-000277,-0.25591512840799996
ACH-000278,0.10942877236500001
ACH-000279,-0.230934918339
ACH-000280,-0.25576654146899996
ACH-000281,-0.07770456425969999
ACH-000288,-0.25735760502300004
ACH-000291,-0.116864561823
ACH-000293,-0.482653159054
ACH-000294,-0.156446707961
ACH-000295,-0.0225190876082
ACH-000296,-0.23630980684099998
ACH-000302,-0.0854373381302
ACH-000304,0.270621088417
