,NIFK (84365)
ACH-000454,-1.1187229711700002
ACH-000458,-1.14740820913
ACH-000459,-1.37350335771
ACH-000460,-1.08745233259
ACH-000461,-1.3338396094299998
ACH-000463,-1.2959659747299999
ACH-000464,-1.62312074185
ACH-000466,-1.0377169292
ACH-000467,-1.30907402902
ACH-000468,-1.52566034734
ACH-000469,-1.42955985778
ACH-000470,-1.5824311579799997
ACH-000471,-1.28949497675
ACH-000472,-1.37248825482
ACH-000473,-1.2526897813200002
ACH-000475,-1.3353401808499998
ACH-000476,-0.9309643386349999
ACH-000477,-1.88902354659
ACH-000480,-1.172531734
ACH-000481,-1.3517570702200001
ACH-000483,-1.26754968295
ACH-000484,-1.4265125396899998
ACH-000485,-1.5200718675
ACH-000486,-1.3256586132400001
ACH-000487,-1.44732398312
ACH-000488,-0.953146608268
ACH-000490,-1.1159739308299998
ACH-000491,-1.07872997424
ACH-000495,-1.4347878719299998
ACH-000496,-1.4527624781200001
ACH-000499,-1.15687039289
ACH-000500,-1.5471658599
ACH-000502,-1.12873004284
ACH-000503,-1.3604563364500002
ACH-000505,-1.4145952253100003
ACH-000507,-1.41231938112
ACH-000510,-1.37937803236
ACH-000511,-1.31326027512
ACH-000512,-1.26921840166
ACH-000516,-1.13786937134
ACH-000517,-1.2772537095799998
ACH-000518,-1.38718364977
ACH-000520,-1.31973062543
ACH-000521,-1.26884202726
ACH-000522,-1.44641941716
ACH-000524,-1.25741813457
ACH-000527,-1.04449229608
ACH-000528,-1.31755726968
ACH-000537,-1.3395832109999999
ACH-000541,-1.10816029812
ACH-000542,-1.3597907213100002
ACH-000544,-1.22550689588
ACH-000545,-1.46112660324
ACH-000547,-1.3824750580899998
ACH-000548,-1.1171208637899999
ACH-000549,-1.33822068965
ACH-000550,-1.53128781698
ACH-000552,-1.3008523285100002
ACH-000556,-1.31631163964
ACH-000557,-1.3596439388400001
ACH-000570,-1.4990535279799997
ACH-000571,-1.61411149595
ACH-000573,-1.2334033849400001
ACH-000576,-1.1373725178
ACH-000580,-1.45251150545
ACH-000584,-1.38951916192
ACH-000585,-1.1441093074600002
ACH-000588,-1.38398315631
ACH-000589,-1.52949347732
ACH-000591,-1.6182946499899997
ACH-000593,-1.1871366819
ACH-000600,-1.20617610026
ACH-000601,-1.39070739998
ACH-000604,-1.05997291063
ACH-000605,-1.50379278731
ACH-000606,-1.2409135786
ACH-000608,-1.29097168841
ACH-000614,-1.4219887175600001
ACH-000616,-1.22707054565
ACH-000618,-1.10104168263
ACH-000619,-1.00425021915
ACH-000620,-1.29226824663
ACH-000621,-1.41123010717
ACH-000622,-1.2647848398200001
ACH-000623,-1.5311379121200002
ACH-000624,-1.4660310347799999
ACH-000627,-1.69490214942
ACH-000630,-1.11977214058
ACH-000632,-1.11035990845
ACH-000633,-1.4295389473299998
ACH-000637,-1.18277079237
ACH-000638,-1.2085265983700002
ACH-000646,-1.15722705419
ACH-000647,-1.4618094641100001
ACH-000648,-1.3386398858600002
ACH-000649,-1.3526514348199998
ACH-000651,-1.3864236963499998
ACH-000652,-1.29934344246
ACH-000653,-1.28712899327
ACH-000657,-1.31053920129
ACH-000658,-1.23652017448
ACH-000661,-1.35821976611
ACH-000662,-1.44835317435
ACH-000663,-1.39169087595
ACH-000665,-1.3414783039899998
ACH-000671,-1.14015545339
ACH-000673,-1.3704514854299998
ACH-000676,-1.2855738655
ACH-000677,-1.5040713927
ACH-000681,-1.40325099097
ACH-000682,-1.4179451490600001
ACH-000683,-1.51743325808
ACH-000684,-1.2284038038299998
ACH-000688,-0.962373201073
ACH-000693,-1.4225849663799999
ACH-000694,-1.27519724842
ACH-000695,-1.4329155501700002
ACH-000696,-1.3525450549899998
ACH-000697,-1.34267479829
ACH-000699,-1.51458495416
ACH-000701,-1.4652616816100001
ACH-000706,-1.41106312089
ACH-000711,-1.17452256241
ACH-000713,-1.29570175568
ACH-000714,-1.3430517031
ACH-000718,-1.35880316128
ACH-000720,-1.14722852603
ACH-000721,-1.52004198361
ACH-000724,-1.4287385131900001
ACH-000725,-1.02731444938
ACH-000732,-1.39480011718
ACH-000734,-1.13136696914
ACH-000735,-1.2616487403899999
ACH-000736,-1.08725033479
ACH-000738,-1.3192765364
ACH-000746,-1.11226790866
ACH-000747,-1.22007212607
ACH-000748,-1.28889410037
ACH-000753,-1.1751581717200001
ACH-000756,-1.66673601628
ACH-000757,-1.2967234844700002
ACH-000758,-1.16509253623
ACH-000760,-1.1756716928
ACH-000763,-1.22431608009
ACH-000764,-1.38453091153
ACH-000765,-1.33034350618
ACH-000766,-1.37761534129
ACH-000767,-1.23251416964
ACH-000768,-1.29632856242
ACH-000769,-1.38471890229
ACH-000770,-1.27486816453
ACH-000771,-1.2208053677500001
ACH-000773,-1.40076287506
ACH-000776,-1.57326429305
ACH-000777,-1.2197604421100001
ACH-000778,-1.10461420581
ACH-000781,-1.3186673356299998
ACH-000782,-1.06331240098
ACH-000783,-1.3167562829700001
ACH-000784,-1.4912864641799999
ACH-000785,-1.32898509891
ACH-000787,-1.19630419887
ACH-000788,-1.27923661261
ACH-000791,-1.56722746859
ACH-000792,-1.16031855
ACH-000794,-1.284844327
ACH-000796,-1.16884449825
ACH-000799,-1.66674139063
ACH-000800,-1.04931288639
ACH-000802,-1.5259837816400001
ACH-000804,-1.67271251343
ACH-000805,-1.29663646058
ACH-000809,-1.30217579008
ACH-000810,-1.5140469691499998
ACH-000811,-1.25930392875
ACH-000817,-1.4721002765600002
ACH-000819,-1.2346675230700002
ACH-000820,-1.25198930309
ACH-000821,-1.3435979074200002
ACH-000822,-1.260984939
ACH-000823,-1.4797431537999999
ACH-000824,-1.3730387509200002
ACH-000827,-1.19427624521
ACH-000829,-1.2104601792899998
ACH-000831,-1.1572770723899999
ACH-000832,-1.34621085935
ACH-000833,-1.2614231119200001
ACH-000834,-1.4955280004799998
ACH-000835,-1.1522685619
ACH-000836,-1.3859538119200001
ACH-000837,-1.23721933138
ACH-000838,-0.772117998014
ACH-000839,-1.1831841859
ACH-000840,-1.10828507551
ACH-000841,-1.19617760994
ACH-000843,-1.1340601398999999
ACH-000846,-1.17801100606
ACH-000847,-1.41713182633
ACH-000848,-1.53169094186
ACH-000849,-1.2012416933
ACH-000851,-1.33074954174
ACH-000855,-0.886165328037
ACH-000856,-1.4316144322
ACH-000858,-1.21994970155
ACH-000859,-1.23800432385
ACH-000861,-1.4366843515
ACH-000862,-1.2060066135299998
ACH-000865,-1.4473660663799999
ACH-000866,-1.34210536804
ACH-000867,-1.36945981696
ACH-000869,-1.14358344323
ACH-000872,-1.16520162569
ACH-000873,-1.2121776604899999
ACH-000876,-1.45808909688
ACH-000878,-0.9721486626610001
ACH-000880,-1.31616715294
ACH-000881,-1.4828129072299998
ACH-000882,-1.14869198048
ACH-000884,-1.4338272698399999
ACH-000885,-1.2874669082899999
