,TOLLIP (54472)
ACH-000004,0.294733382325
ACH-000007,-0.0094954285903
ACH-000009,0.15158055285900002
ACH-000011,-0.00528071254284
ACH-000012,0.112669365464
ACH-000013,0.0659391525507
ACH-000014,0.061620511527500005
ACH-000015,0.18914247629500003
ACH-000017,0.21053504777399998
ACH-000018,0.0371690827195
ACH-000019,0.0308850252331
ACH-000021,-0.09949759221889999
ACH-000022,-0.0526242255105
ACH-000025,-0.044791326595400006
ACH-000028,0.124611018243
ACH-000030,-0.010881062494900002
ACH-000035,-0.0190624084063
ACH-000036,-0.0311225654522
ACH-000037,0.153075282414
ACH-000039,0.23563942284800002
ACH-000040,-0.00914720845435
ACH-000041,0.08776216044299999
ACH-000042,-0.0535307345281
ACH-000045,0.0340465167404
ACH-000047,0.181414508615
ACH-000052,0.282071011296
ACH-000053,0.0158153792781
ACH-000054,-0.0432396596309
ACH-000055,0.29117085141
ACH-000060,0.200046989567
ACH-000067,0.16793791207400002
ACH-000070,0.286947160748
ACH-000075,0.18402334000599999
ACH-000078,0.09752514306320001
ACH-000082,0.041965785407300005
ACH-000085,-0.08778236853360001
ACH-000086,0.138205826629
ACH-000087,-0.050805124973
ACH-000092,0.151799682205
ACH-000095,0.0346201556346
ACH-000097,0.10724526711400001
ACH-000098,-0.0486635217358
ACH-000099,-0.056181684481
ACH-000108,-0.125987999791
ACH-000113,0.13831183871
ACH-000115,0.000761834819109
ACH-000116,0.0440272252364
ACH-000118,0.07675417269689999
ACH-000120,0.0745647575803
ACH-000123,0.0158119532698
ACH-000127,0.11616457353399999
ACH-000128,-0.0383232936878
ACH-000132,0.045140729692799995
ACH-000133,0.12341145866599999
ACH-000137,0.104797444911
ACH-000138,-0.00197880137018
ACH-000142,0.17014780822500003
ACH-000143,-0.0146136295804
ACH-000146,0.12593156666
ACH-000148,-0.007503671563640001
ACH-000150,-0.0102787525403
ACH-000152,0.0173816555466
ACH-000153,0.0285616820757
ACH-000159,0.05717481374009999
ACH-000160,0.101897295797
ACH-000163,-0.022699608429299998
ACH-000167,0.0249377126356
ACH-000168,0.367189346472
ACH-000169,-0.004467568727229999
ACH-000178,-0.08639994563989999
ACH-000182,0.15071131188200002
ACH-000183,0.161198100832
ACH-000188,0.0651736964638
ACH-000189,-0.00829319801833
ACH-000190,0.059782755341600005
ACH-000198,0.00324721083625
ACH-000204,0.30997290274
ACH-000206,0.33376825196
ACH-000207,-0.046549495597
ACH-000211,0.0555396050159
ACH-000215,0.0758934507316
ACH-000221,0.21703223638799998
ACH-000222,-0.161499921635
