,SPTAN1 (6709)
ACH-000004,-0.0955098841268
ACH-000007,-0.120757734953
ACH-000009,-0.08422535637980001
ACH-000011,-0.315153603688
ACH-000012,-0.525388258569
ACH-000013,-0.314340997088
ACH-000014,-0.047168501805499995
ACH-000015,-0.428172025913
ACH-000017,-0.281923365553
ACH-000018,-0.36257452403800006
ACH-000019,-0.0844275822185
ACH-000021,-0.40104455758599994
ACH-000022,-0.322002963919
ACH-000025,-0.259375119712
ACH-000028,-0.202912065982
ACH-000030,-0.342707940859
ACH-000035,-0.209409177531
ACH-000036,-0.0876152975613
ACH-000037,-0.206974673174
ACH-000039,-0.521673624193
ACH-000040,-0.34508163569899997
ACH-000041,-0.36842131577
ACH-000042,-0.301086557839
ACH-000045,-0.39260711253200004
ACH-000047,-0.31993248726
ACH-000052,-0.5956412247089999
ACH-000053,-0.114866660793
ACH-000054,-0.104819098146
ACH-000055,-0.727762023835
ACH-000060,-0.230203297613
ACH-000067,-0.35545463174599995
ACH-000070,-0.202876979259
ACH-000075,-0.630628099357
ACH-000078,-0.362716302588
ACH-000082,-0.07816300985550001
ACH-000085,-0.243269624302
ACH-000086,-0.327176872027
ACH-000087,-0.227114387235
ACH-000092,-0.23553533363200002
ACH-000095,-0.157646140647
ACH-000097,-0.272434259598
ACH-000098,-0.08441633770739998
ACH-000099,-0.10563757986700001
ACH-000108,-0.301842915139
ACH-000113,-0.022314511156200003
ACH-000115,-0.219913366882
ACH-000116,-0.34679489541599995
ACH-000118,-0.45820773156499994
ACH-000120,-0.261699073367
ACH-000123,-0.225589887067
ACH-000127,-0.124956589768
ACH-000128,0.0741035294635
ACH-000132,-0.37992192381800005
ACH-000133,-0.127096089207
ACH-000137,-0.169372926941
ACH-000138,-0.178375224844
ACH-000142,-0.0785778951255
ACH-000143,-0.517767721844
ACH-000146,-0.24761380175
ACH-000148,-0.33479816106
ACH-000150,-0.482748975308
ACH-000152,-0.243549492927
ACH-000153,-0.259944765275
ACH-000159,-0.108034311252
ACH-000160,-0.381218054423
ACH-000163,-0.33241977966499997
ACH-000167,-0.187500312109
ACH-000168,-0.33992008328900003
ACH-000169,-0.279353686281
ACH-000178,-0.258130103124
ACH-000182,-0.455306521858
ACH-000183,-0.242769768416
ACH-000188,-0.41672659714500004
ACH-000189,-0.234231684096
ACH-000190,-0.33160199453899997
ACH-000198,-0.119436018815
ACH-000204,-0.119003262326
ACH-000206,-0.340362851072
ACH-000207,-0.251160706458
ACH-000211,-0.296018270491
ACH-000215,-0.247626552363
ACH-000221,-0.43395553160899997
ACH-000222,-0.0890529409348
ACH-000223,-0.213012675088
ACH-000226,-0.265823813753
ACH-000227,-0.0904416633678
ACH-000228,-0.129542300739
ACH-000231,-0.215297483129
ACH-000232,-0.0385601848851
ACH-000233,-0.14740927605
ACH-000234,-0.38862507893700005
ACH-000235,-0.222316727096
ACH-000237,-0.397913493147
ACH-000238,-0.377115772292
ACH-000243,-0.130178084157
ACH-000244,-0.103958631614
ACH-000246,-0.20042988125300001
ACH-000248,-0.09374165145639998
ACH-000250,-0.31361845868
ACH-000251,0.08965984468810001
ACH-000253,-0.302239303338
ACH-000255,-0.309159743107
ACH-000256,-0.242993961967
ACH-000257,-0.18646173164000002
ACH-000258,-0.137685166313
ACH-000259,-0.242004497811
ACH-000260,-0.116740010962
ACH-000261,-0.185981729863
ACH-000262,-0.32172322355300004
ACH-000263,-0.0364776964446
ACH-000264,-0.25592429599800004
ACH-000265,-0.346558857755
ACH-000266,-0.31831699054
ACH-000272,-0.350458454772
ACH-000273,-0.0355110860396
ACH-000274,-0.15361429700999998
ACH-000277,-0.281713333323
ACH-000278,-0.30800081540999996
ACH-000279,-0.180037747765
ACH-000280,-0.45592684365599995
ACH-000281,-0.35510681453599996
ACH-000288,-0.10297218747600001
ACH-000291,-0.194931995539
ACH-000293,-0.119159883446
ACH-000294,-0.255940612714
ACH-000295,-0.105079564836
ACH-000296,-0.13863004882899999
ACH-000302,-0.128572809191
ACH-000304,0.0728132678883
ACH-000307,-0.23115196216699999
ACH-000308,-0.21297220802
ACH-000310,-0.255571875101
ACH-000311,-0.0642158293777
ACH-000312,-0.180826816472
ACH-000315,-0.46924732306500005
ACH-000316,-0.225777651527
ACH-000317,0.0185307191834
ACH-000318,-0.22234150634
ACH-000319,-0.326769352449
ACH-000320,-0.332980981462
ACH-000322,-0.210964774388
ACH-000323,-0.156653430343
ACH-000324,-0.357331559763
ACH-000329,-0.29023654599800003
ACH-000330,-0.336077269781
ACH-000331,-0.0549574414649
ACH-000332,-0.22362634652199997
ACH-000334,-0.231171083775
ACH-000335,-0.453816402522
ACH-000336,-0.291196243267
ACH-000337,-0.21790164707899998
ACH-000339,-0.215192892327
ACH-000341,-0.550077609597
ACH-000348,-0.25799479897
