,VTI1B (10490)
ACH-000004,-0.0893796783018
ACH-000007,-0.20543896157000002
ACH-000009,-0.30212889562
ACH-000011,-0.494565914007
ACH-000012,-0.338625326823
ACH-000013,-0.289825282254
ACH-000014,-0.44618532340499995
ACH-000015,-0.346411683337
ACH-000017,-0.397837529775
ACH-000018,-0.533534377234
ACH-000019,-0.39459889849299995
ACH-000021,-0.156558475997
ACH-000022,-0.321091059204
ACH-000025,-0.235975874415
ACH-000028,-0.172700698582
ACH-000030,-0.385102184622
ACH-000035,-0.470613012704
ACH-000036,-0.40717748883199995
ACH-000037,-0.337996643597
ACH-000039,-0.18062794834000004
ACH-000040,-0.42928441024999997
ACH-000041,-0.395065277881
ACH-000042,-0.151836059124
ACH-000045,-0.318572895049
ACH-000047,-0.16083558848500001
ACH-000052,-0.6288729833
ACH-000053,-0.0539406710714
ACH-000054,-0.270647054857
ACH-000055,-0.307148285374
ACH-000060,-0.6623346414519999
ACH-000067,-0.165098813338
ACH-000070,-0.401968884534
ACH-000075,-0.352978858477
ACH-000078,-0.24394883265
ACH-000082,-0.48683191398599995
ACH-000085,-0.251380255695
ACH-000086,-0.299499374861
ACH-000087,-0.252410459035
ACH-000092,-0.467012192002
ACH-000095,-0.442437872817
ACH-000097,-0.364161885968
ACH-000098,-0.266347840282
ACH-000099,-0.427513659684
ACH-000108,-0.553013189082
ACH-000113,-0.283805232078
ACH-000115,-0.140226191934
ACH-000116,-0.08787749737060001
ACH-000118,-0.227449596452
ACH-000120,-0.244552733945
ACH-000123,-0.361336472435
ACH-000127,-0.325617125893
ACH-000128,-0.478955687505
ACH-000132,-0.26139785028499996
ACH-000133,-0.37067797922799994
ACH-000137,-0.304237263564
ACH-000138,-0.187020387042
ACH-000142,-0.40883607357900004
ACH-000143,-0.454128994578
ACH-000146,-0.299579025422
ACH-000148,-0.306757849664
ACH-000150,-0.287756952978
ACH-000152,-0.519979701946
ACH-000153,-0.376487992144
ACH-000159,-0.323836831334
ACH-000160,-0.48337277095299996
ACH-000163,-0.495255255106
ACH-000167,-0.119934378861
ACH-000168,-0.11254310181800001
ACH-000169,-0.10851353818399999
ACH-000178,-0.315294681243
ACH-000182,-0.235728036349
ACH-000183,-0.378990264895
ACH-000188,-0.220192405024
ACH-000189,-0.575767472298
ACH-000190,-0.083088645418
ACH-000198,-0.18410294847800002
ACH-000204,-0.38050008041199995
