,BRK1 (55845)
ACH-000463,-0.46303507178900005
ACH-000464,-0.591868308789
ACH-000466,-0.9343363671989999
ACH-000467,-0.6713819352689999
ACH-000468,-0.72539741337
ACH-000469,-0.582425606928
ACH-000470,-1.05080040018
ACH-000471,-0.8576167558050001
ACH-000472,-0.38123231585699996
ACH-000473,-0.630622167903
ACH-000475,-0.609985894023
ACH-000476,-0.5049212792509999
ACH-000477,-0.789416993807
ACH-000480,-0.442083291721
ACH-000481,-0.2949233468
ACH-000483,-0.55873855829
ACH-000484,0.128803869248
ACH-000485,-0.438104617953
ACH-000486,-0.32861687139699997
ACH-000487,-0.264173175536
ACH-000488,-0.645184048011
ACH-000490,-0.489117421088
ACH-000491,-0.470729858063
ACH-000495,-0.321190200979
ACH-000496,-0.568609458039
ACH-000499,-0.385160922007
ACH-000500,-1.02456385658
ACH-000502,-0.9689447894329999
ACH-000503,-0.278691222709
ACH-000505,-0.5839632128
ACH-000507,-0.689730491403
ACH-000510,-0.43614447765500003
ACH-000511,-0.589629255895
ACH-000512,-0.310329800502
ACH-000516,-0.5030640052440001
ACH-000517,-0.6589517782450001
ACH-000518,-0.713489714556
ACH-000520,-0.512712474191
ACH-000521,-0.789781093812
ACH-000522,-0.5292306515030001
ACH-000524,-0.665101555407
ACH-000527,-0.6859490232269999
ACH-000528,-0.686006113004
ACH-000537,-1.1009900297700002
ACH-000541,-0.565101728745
ACH-000542,-0.40518836153000004
ACH-000544,-0.80748335407
ACH-000545,-0.446411142391
ACH-000547,-0.507255558678
ACH-000548,-0.495337745022
ACH-000549,-0.777502904568
ACH-000550,-0.9511860534209999
ACH-000552,-0.7218392830329999
ACH-000556,-0.135736823159
ACH-000557,-0.291013727837
ACH-000570,-0.577935582603
ACH-000571,-0.49688043084600003
ACH-000573,-0.45512079426299995
ACH-000576,-0.485704031259
ACH-000580,-0.351095628624
ACH-000584,-0.43719818156199997
ACH-000585,-0.863664461918
ACH-000588,-0.416427432461
ACH-000589,-0.436852039439
ACH-000591,-0.584041343182
ACH-000593,-0.870558385266
ACH-000600,-0.626444608109
ACH-000601,-0.503213363436
ACH-000604,-0.7596529074089999
ACH-000605,-0.663052590311
ACH-000606,-0.738608654083
ACH-000608,-0.9919113754309999
ACH-000614,-0.5447514762569999
ACH-000616,-0.67592952245
ACH-000618,-0.11890800999000002
ACH-000619,-0.6874666304800001
ACH-000620,-0.9109380359270001
ACH-000621,-0.477819756456
ACH-000622,-0.5706503017369999
ACH-000623,-0.607099209995
ACH-000624,-0.436309490167
ACH-000627,-0.547514318953
ACH-000630,-0.834390977748
ACH-000632,-0.737493797899
ACH-000633,-0.460720033826
ACH-000637,-0.15852055125
ACH-000638,-0.47794977406499994
ACH-000646,-0.841937417603
ACH-000647,-0.400589852388
ACH-000648,-0.7820522500139999
ACH-000649,-0.367191875371
ACH-000651,-0.309960760022
ACH-000652,-0.52517090183
ACH-000653,-0.296813218044
ACH-000657,-0.664221260328
ACH-000658,-0.465904774319
ACH-000661,-0.34682071266099995
ACH-000662,-0.39712761005999997
ACH-000663,-0.264621792684
ACH-000665,-0.550061654384
ACH-000671,-0.652141583313
ACH-000673,-0.369330260972
ACH-000676,-0.518782650097
ACH-000677,-0.600417369999
ACH-000681,-0.706903589032
ACH-000682,-0.37760585036399996
ACH-000683,-0.422883566367
ACH-000684,-0.7679641537630001
ACH-000688,-0.357192376525
ACH-000693,-0.551630320832
ACH-000694,-0.606218932405
ACH-000695,-0.11288793063500001
ACH-000696,-0.397299867235
ACH-000697,-0.295843838046
ACH-000699,-0.618992532395
ACH-000701,-0.282969090215
ACH-000706,-0.40135354231799997
ACH-000711,-0.436762815362
ACH-000713,-0.45481723200900004
ACH-000714,-0.347909249076
ACH-000718,-0.5261536741089999
ACH-000720,-0.710334633279
ACH-000721,-0.586178077757
ACH-000724,-0.458967669306
ACH-000725,-0.466476391704
ACH-000732,-0.7081369939569999
ACH-000734,-0.357735970395
ACH-000735,-0.427258642768
ACH-000736,-0.45619981207500004
ACH-000738,-0.782624036207
ACH-000746,-0.140947841732
ACH-000747,-0.46436377354599995
ACH-000748,-0.41299585609899997
ACH-000753,-0.511065425303
