,NT5DC3 (51559)
ACH-000004,0.155658985792
ACH-000007,0.201920804223
ACH-000009,0.168612681727
ACH-000011,0.16916823989799998
ACH-000012,0.0709862223155
ACH-000013,0.164192470896
ACH-000014,0.0596590449419
ACH-000015,0.20769628355099998
ACH-000017,0.207554066462
ACH-000018,0.129907538542
ACH-000019,0.255361639042
ACH-000021,0.056766768220800005
ACH-000022,0.13372938654799998
ACH-000025,0.108143907124
ACH-000028,0.21884835124899998
ACH-000030,0.209695012729
ACH-000035,0.22916242741
ACH-000036,0.157587000517
ACH-000037,-0.029164532820599998
ACH-000039,0.24702881901700002
ACH-000040,0.227650875386
ACH-000041,0.185509506873
ACH-000042,0.100305549619
ACH-000045,0.213629812248
ACH-000047,0.140552402545
ACH-000052,0.0556422170748
ACH-000053,0.121949230199
ACH-000054,0.0781481245332
ACH-000055,0.16402627533199998
ACH-000060,0.0596634713657
ACH-000067,0.126616765242
ACH-000070,0.152395575038
ACH-000075,0.0631155560333
ACH-000078,0.253712879906
ACH-000082,0.113342012674
ACH-000085,-0.012258411918600002
ACH-000086,0.07826479427000001
ACH-000087,0.114012775463
ACH-000092,0.0951555558182
ACH-000095,0.0847687307199
ACH-000097,0.171963352682
ACH-000098,0.122248187237
ACH-000099,0.26800560337900003
ACH-000108,0.21646513325999997
ACH-000113,0.248628350892
ACH-000115,0.152579204091
ACH-000116,0.07643307473710001
ACH-000118,0.116187899427
ACH-000120,0.251949357059
ACH-000123,0.27803606333299996
ACH-000127,0.22530693256700002
ACH-000128,0.09700754698860001
ACH-000132,0.298996046997
ACH-000133,0.0651663781464
ACH-000137,0.0886461651451
ACH-000138,0.135192153262
ACH-000142,0.22921761693300002
ACH-000143,0.24354169996599997
ACH-000146,0.19659065327199998
ACH-000148,0.15760069476
ACH-000150,0.0417552768087
ACH-000152,0.040300032898699996
ACH-000153,0.2246598598
ACH-000159,0.0661415126074
ACH-000160,0.05416553030830001
ACH-000163,0.00436939308338
ACH-000167,-0.08431623105189999
ACH-000168,0.254461259248
ACH-000169,0.09319827326260001
ACH-000178,0.221738819822
ACH-000182,0.15437290741499998
ACH-000183,0.010720158403600001
ACH-000188,0.062165189748200005
ACH-000189,0.043531639123300006
ACH-000190,0.23894605153700002
ACH-000198,0.0565497518627
ACH-000204,0.15732752742699999
ACH-000206,0.147005075057
ACH-000207,0.19740871614799999
ACH-000211,0.12811206312
ACH-000215,0.198433675843
ACH-000221,0.07400366832239999
ACH-000222,0.0782191747352
ACH-000223,0.178141351785
ACH-000226,0.012455792985399998
ACH-000227,0.11665622773600001
ACH-000228,0.229290865579
ACH-000231,0.0668400126795
ACH-000232,0.0616027543283
ACH-000233,0.18200606924600002
ACH-000234,0.125545901054
ACH-000235,0.131111251854
ACH-000237,0.0304525580308
ACH-000238,0.011816780393999998
ACH-000243,0.141642416669
ACH-000244,0.0293758883954
ACH-000246,0.233662515266
ACH-000248,-0.0698434474738
ACH-000250,0.111322037204
ACH-000251,0.144017255985
ACH-000253,0.0026144651721
ACH-000255,0.188921810048
ACH-000256,0.0718811581206
ACH-000257,-0.0446543447296
ACH-000258,0.049317465592300005
ACH-000259,0.0807316104957
ACH-000260,0.11045739166600001
ACH-000261,0.11779826233799999
ACH-000262,0.242360586958
ACH-000263,0.12480739341399999
ACH-000264,0.159491196695
ACH-000265,0.20199111665199998
ACH-000266,0.0882045505552
ACH-000272,0.294942802534
ACH-000273,0.045953929518300005
ACH-000274,0.172705344784
ACH-000277,0.274127182267
ACH-000278,-0.0126899422227
ACH-000279,0.107074480002
ACH-000280,0.248210636646
ACH-000281,0.115104224674
ACH-000288,0.0430538886354
ACH-000291,0.0942204691546
ACH-000293,0.023397752134500002
ACH-000294,0.160441506578
ACH-000295,-0.023740784750599996
ACH-000296,0.26649555507399997
ACH-000302,0.144936253907
ACH-000304,0.41492916542499997
ACH-000307,0.15907417475500002
ACH-000308,0.105784204176
ACH-000310,0.257597954243
ACH-000311,0.143804558408
ACH-000312,0.130779348146
ACH-000315,0.291148900154
ACH-000316,0.249788652326
ACH-000317,0.0325802276082
ACH-000318,0.177388352984
ACH-000319,0.060825853011600005
ACH-000320,0.125527195266
ACH-000322,0.21971431501299998
ACH-000323,0.0037612658925000003
ACH-000324,0.259052885186
ACH-000329,0.06806887574630001
ACH-000330,0.17516675408500001
ACH-000331,0.0256691395783
ACH-000332,0.0319727892457
ACH-000334,0.027609576965099997
ACH-000335,-0.105671557766
ACH-000336,0.21381033627700002
ACH-000337,0.101828115109
ACH-000339,0.155633318788
ACH-000341,0.35326907560500004
ACH-000348,0.15522595821
ACH-000350,0.178627548099
ACH-000352,0.0504368020587
ACH-000356,0.09206787997739999
ACH-000361,0.208098182973
ACH-000362,0.20162561491
ACH-000363,0.148156160868
ACH-000364,0.162781897822
ACH-000365,0.126189314856
ACH-000366,0.034874236896
ACH-000368,-0.047930228809900007
ACH-000374,0.08732760701339999
ACH-000375,0.115772256377
ACH-000376,0.08086654817780001
ACH-000381,0.123386136874
ACH-000383,0.11612179800599999
ACH-000387,0.19670667573
ACH-000389,0.110816434166
ACH-000390,0.17090532658799998
ACH-000393,0.302196835504
ACH-000395,0.278645509643
ACH-000397,0.121915737806
ACH-000401,0.14568563146500002
ACH-000402,0.205174836595
ACH-000403,0.0646076736727
ACH-000404,0.220648005119
ACH-000406,0.17125472204999997
ACH-000407,0.00855635007355
ACH-000408,0.167607028538
ACH-000410,0.063660683908
ACH-000411,0.20551906188400001
ACH-000414,0.229818001729
ACH-000415,0.146830516341
ACH-000416,0.027878551277200004
ACH-000420,0.255151326921
ACH-000421,0.20181696755399997
ACH-000424,0.264427335749
ACH-000425,0.15262886923900001
ACH-000426,-0.14032450445
ACH-000427,-0.061615219511400005
ACH-000433,-0.177031214544
ACH-000436,-0.018445223904099996
ACH-000444,0.137020949224
ACH-000445,0.172906558184
ACH-000448,0.181533660566
ACH-000450,0.278150805511
ACH-000452,0.0880926801835
ACH-000454,0.0141270093677
ACH-000458,0.025522125622700002
ACH-000459,0.294232217362
ACH-000460,0.12932007469100001
ACH-000461,0.0715081237195
ACH-000463,0.05370050340969999
ACH-000464,0.05266867168330001
ACH-000466,0.178356289556
ACH-000467,0.14879613617100002
ACH-000468,0.120729028568
ACH-000469,0.148546002305
ACH-000470,0.157691884131
ACH-000471,0.18374199688
ACH-000472,0.0670532708393
ACH-000473,0.023198986469700002
ACH-000475,0.135364070252
ACH-000476,-0.04928866815309999
ACH-000477,0.201248371254
ACH-000480,0.10282482912100001
ACH-000481,0.04966008280180001
ACH-000483,0.104615396798
ACH-000484,0.0776133579966
ACH-000485,0.0238566936852
ACH-000486,0.208521306811
ACH-000487,0.011635578796700002
ACH-000488,0.064305524584
ACH-000490,0.08731969288149999
ACH-000491,0.34241748151699997
ACH-000495,0.0774377239604
ACH-000496,0.0849684403816
ACH-000499,-0.112077843808
ACH-000500,0.029077226932999998
ACH-000502,0.223961741312
ACH-000503,0.0301488893733
ACH-000505,0.191497773674
ACH-000507,0.09843308445
ACH-000510,0.166440124523
ACH-000511,0.0974766374425
ACH-000512,-0.0632262457626
ACH-000516,-0.047555858544
ACH-000517,0.0469106464075
ACH-000518,0.08835041042160001
ACH-000520,0.0731311478168
ACH-000521,0.128799983053
ACH-000522,0.1240458665
ACH-000524,0.126519664344
ACH-000527,0.056489805103
ACH-000528,0.14250054783399999
ACH-000537,0.233281336999
ACH-000541,0.052241705095499996
ACH-000542,0.18203468708700002
ACH-000544,0.0819274756493
ACH-000545,0.05506507042
