,VPS37C (55048)
ACH-000004,-0.359973102862
ACH-000007,-0.547058604196
ACH-000009,-0.36373027693000004
ACH-000011,-0.345291959578
ACH-000012,-0.293636321721
ACH-000013,-0.49231846033699994
ACH-000014,-0.165826443284
ACH-000015,-0.380789226154
ACH-000017,-0.41044825699799997
ACH-000018,-0.366860941943
ACH-000019,-0.6659879784220001
ACH-000021,-0.5347594295279999
ACH-000022,-0.5349189746090001
ACH-000025,-0.593421543097
ACH-000028,-0.515528908433
ACH-000030,-0.545761086686
ACH-000035,-0.575511660837
ACH-000036,-0.481981823759
ACH-000037,-0.6336574269290001
ACH-000039,-0.428901806874
ACH-000040,-0.674922057322
ACH-000041,-0.65009393791
ACH-000042,-0.374028538295
ACH-000045,-0.45545950142999997
ACH-000047,-0.47053713996299995
ACH-000052,-0.763669825627
ACH-000053,-0.414633639119
ACH-000054,-0.376506695977
ACH-000055,-0.566648155589
ACH-000060,-0.42152042911700005
ACH-000067,-0.17062439248
ACH-000070,-0.627520015819
ACH-000075,-0.718984692623
ACH-000078,-0.436926724446
ACH-000082,-0.658206335014
ACH-000085,-0.542734231526
ACH-000086,-0.504829687698
ACH-000087,-0.518009189951
ACH-000092,-0.533743478496
ACH-000095,-0.553550848918
ACH-000097,-0.441060432662
ACH-000098,-0.434232127388
ACH-000099,-0.34399382795100003
ACH-000108,-0.477606276136
ACH-000113,-0.543403019714
ACH-000115,-0.38523082776999995
ACH-000116,-0.5774231725410001
ACH-000118,-0.534434489725
ACH-000120,-0.289923362156
ACH-000123,-0.652875266015
ACH-000127,-0.34628277461199997
ACH-000128,-0.249202482371
ACH-000132,-0.60990391476
ACH-000133,-0.452689266798
ACH-000137,-0.362320384908
ACH-000138,-0.428235704233
ACH-000142,-0.357849339383
ACH-000143,-0.49386348896000004
ACH-000146,-0.49428853953900004
ACH-000148,-0.444633744559
ACH-000150,-0.42727245920699997
ACH-000152,-0.438732417931
ACH-000153,-0.55953646415
ACH-000159,-0.277969170517
ACH-000160,-0.354851498969
ACH-000163,-0.634770859782
ACH-000167,-0.398162946937
ACH-000168,-0.544084390561
ACH-000169,-0.542076354216
ACH-000178,-0.348274388944
ACH-000182,-0.495539250378
ACH-000183,-0.684144037477
ACH-000188,-0.7568582526790001
ACH-000189,-0.559199389517
ACH-000190,-0.374195608086
ACH-000198,-0.48858397223800004
ACH-000204,-0.561221840667
ACH-000206,-0.26301374964499996
ACH-000207,-0.508942561278
ACH-000211,-0.509464737441
ACH-000215,-0.421655416091
ACH-000221,-0.486994581471
ACH-000222,-0.43660795441699995
ACH-000223,-0.43215385788099997
ACH-000226,-0.6081632709120001
ACH-000227,-0.5951281225399999
ACH-000228,-0.7799030062919999
ACH-000231,-0.523045239613
ACH-000232,-0.403235678858
ACH-000233,-0.387634546779
ACH-000234,-0.6129843892369999
ACH-000235,-0.39405489867399995
ACH-000237,-0.637549411183
ACH-000238,-0.522130419673
ACH-000243,-0.413808173346
ACH-000244,-0.465436950499
ACH-000246,-0.628303146693
ACH-000248,-0.40496085302100004
ACH-000250,-0.43542132656000004
ACH-000251,-0.332207263396
ACH-000253,-0.487327946814
ACH-000255,-0.52130293577
ACH-000256,-0.282557542503
ACH-000257,-0.466272966448
ACH-000258,-0.7006354182950001
ACH-000259,-0.424835133558
ACH-000260,-0.444771060773
ACH-000261,-0.480971985874
ACH-000262,-0.443002589109
ACH-000263,-0.127748888584
ACH-000264,-0.36397788395999997
ACH-000265,-0.568312853041
ACH-000266,-0.45517135278000004
ACH-000272,-0.405611278077
ACH-000273,-0.511277837381
ACH-000274,-0.34984815861
ACH-000277,-0.0616207157596
ACH-000278,-0.711983464698
ACH-000279,-0.372730420929
ACH-000280,-0.39861169952299996
ACH-000281,-0.450117612025
ACH-000288,-0.44925888780900003
ACH-000291,-0.314254800526
ACH-000293,-0.593855389725
ACH-000294,-0.409594209221
ACH-000295,-0.433496514403
ACH-000296,-0.5901965256130001
ACH-000302,-0.426343634907
ACH-000304,-0.8537663132619999
ACH-000307,-0.420651235103
ACH-000308,-0.503102703202
ACH-000310,-0.510571375715
ACH-000311,-0.450400810515
ACH-000312,-0.41322069201800005
ACH-000315,-0.42230254047700005
ACH-000316,-0.589301075647
ACH-000317,-0.768311765463
ACH-000318,-0.474184088677
ACH-000319,-0.373240950326
ACH-000320,-0.5405987911
ACH-000322,-0.19852839540999997
ACH-000323,-0.43534812860100003
ACH-000324,-0.474659239168
ACH-000329,-0.125939707638
ACH-000330,-0.475561341758
ACH-000331,-0.593726377796
ACH-000332,-0.455457242416
ACH-000334,-0.452815882153
ACH-000335,-0.399915680176
ACH-000336,-0.185539715407
ACH-000337,-0.3580119458
ACH-000339,-0.39669826353
ACH-000341,-0.554738197003
ACH-000348,-0.428926731353
ACH-000350,-0.48694019583000003
ACH-000352,-0.391663241028
ACH-000356,-0.426995715208
ACH-000361,-0.43493162604900004
ACH-000362,-0.476179739585
ACH-000363,-0.45199081201499997
ACH-000364,-0.645169297457
ACH-000365,-0.405123882204
ACH-000366,-0.61971961843
ACH-000368,-0.535425338918
ACH-000374,-0.607555142348
ACH-000375,-0.661808005607
ACH-000376,-0.497138618724
ACH-000381,-0.34929695357699997
ACH-000383,-0.33264466975699997
ACH-000387,-0.508448551257
ACH-000389,-0.488376534934
ACH-000390,-0.49957247699100005
ACH-000393,-0.465634354691
