,ATPAF1 (64756)
ACH-000004,-0.08095334398710001
ACH-000007,-0.26782327490200003
ACH-000009,-0.453572403183
ACH-000011,-0.28963427798
ACH-000012,-0.0328517199397
ACH-000013,-0.275756190944
ACH-000014,-0.12460133900499999
ACH-000015,-0.187655087546
ACH-000017,-0.10026547176799999
ACH-000018,0.0173405910881
ACH-000019,-0.389841970503
ACH-000021,-0.172983217724
ACH-000022,-0.20897615788899998
ACH-000025,-0.267881512518
ACH-000028,-0.26437819913000005
ACH-000030,-0.19109986414299998
ACH-000035,-0.206663275066
ACH-000036,-0.34053429003799995
ACH-000037,-0.0267081394918
ACH-000039,-0.014818782629499998
ACH-000040,-0.37451900936800003
ACH-000041,-0.29567278638300004
ACH-000042,-0.21994457128199998
ACH-000045,-0.200124422606
ACH-000047,-0.193332306465
ACH-000052,-0.20620440501200002
ACH-000053,-0.180629030524
ACH-000054,-0.0608482626314
ACH-000055,-0.158838548225
ACH-000060,-0.28898624191100003
ACH-000067,-0.306920205846
ACH-000070,-0.07325963489
ACH-000075,-0.0661707358051
ACH-000078,-0.198917019212
ACH-000082,-0.224952742121
ACH-000085,0.10242988899
ACH-000086,-0.417114513683
ACH-000087,-0.422213985687
ACH-000092,-0.31458554554
ACH-000095,-0.28802724586100004
ACH-000097,-0.0766054792492
ACH-000098,-0.24527200180999997
ACH-000099,-0.202935657802
ACH-000108,0.039067868025500004
ACH-000113,-0.188358179416
ACH-000115,-0.14500609766
ACH-000116,-0.275682259319
ACH-000118,-0.22241128501600002
ACH-000120,-0.21070935039900002
ACH-000123,-0.319229931384
ACH-000127,-0.11400341647500001
ACH-000128,-0.10691244755899999
ACH-000132,-0.289797202077
ACH-000133,-0.175293314274
ACH-000137,-0.39665811373300003
ACH-000138,-0.259782880122
ACH-000142,0.000227173795526
ACH-000143,0.011716566041899999
ACH-000146,-0.156804369966
ACH-000148,-0.059212156368699996
ACH-000150,-0.41364407182400004
ACH-000152,-0.283311952083
ACH-000153,0.06299200555
ACH-000159,-0.141535233461
ACH-000160,-0.146728822138
