,AAAS (8086)
ACH-000004,-0.44868689502899994
ACH-000007,-0.463510624535
ACH-000009,-0.6551647236689999
ACH-000011,-0.434226832633
ACH-000012,-0.49455655998099995
ACH-000013,-0.479138673498
ACH-000014,-0.483637872387
ACH-000015,-0.377154261642
ACH-000017,-0.381615233828
ACH-000018,-0.471106166348
ACH-000019,-0.566877755784
ACH-000021,-0.5426303289450001
ACH-000022,-0.277949297231
ACH-000025,-0.694292912511
ACH-000028,-0.6412922134000001
ACH-000030,-0.5925115472429999
ACH-000035,-0.721864932306
ACH-000036,-0.756886347553
ACH-000037,-0.825661920819
ACH-000039,-0.534382660807
ACH-000040,-0.519373660348
ACH-000041,-0.494250137523
ACH-000042,-0.477361793635
ACH-000045,-0.547342197575
ACH-000047,-0.557647799682
ACH-000052,-0.5907982311159999
ACH-000053,-0.31184695537900003
ACH-000054,-0.09687570703040001
ACH-000055,-0.36953647109899995
ACH-000060,-0.345684022504
ACH-000067,-0.662621564517
ACH-000070,-0.34956317210500004
ACH-000075,-0.39194009778300004
ACH-000078,-0.44727596061499997
ACH-000082,-0.609839185291
ACH-000085,-0.541459898973
ACH-000086,-0.642358749156
ACH-000087,-0.340140212279
ACH-000092,-0.413923491007
ACH-000095,-0.512514975726
ACH-000097,-0.707069281552
ACH-000098,-0.531857468438
ACH-000099,-0.23568326149099997
ACH-000108,-0.644754680588
ACH-000113,-0.7231935320730001
ACH-000115,-0.00776303914661
ACH-000116,-0.556757138865
ACH-000118,-0.5417793615500001
ACH-000120,-0.7878474236290001
ACH-000123,-0.45595748656
ACH-000127,-0.6102171055269999
ACH-000128,-0.725396113751
ACH-000132,-0.338752832485
ACH-000133,-0.45264123843000004
ACH-000137,-0.841340146937
ACH-000138,-0.631569032176
ACH-000142,-0.594277441972
ACH-000143,-0.35722767447400006
ACH-000146,-0.438362658063
ACH-000148,-0.39726920968199997
ACH-000150,-0.47195961623899996
ACH-000152,-0.727487469041
ACH-000153,-0.256166542817
ACH-000159,-0.5226557423870001
ACH-000160,-0.443697490303
ACH-000163,-0.531783486439
ACH-000167,-0.694021293104
ACH-000168,-0.488553288926
ACH-000169,-0.40948626323299997
ACH-000178,-0.45851217163400004
ACH-000182,-0.516381346786
ACH-000183,-0.475515250457
ACH-000188,-0.634453952065
ACH-000189,-0.780719996999
ACH-000190,-0.423236453683
ACH-000198,-0.976009875783
ACH-000204,-0.658816775014
ACH-000206,-0.16851754808699998
ACH-000207,-0.543032652366
ACH-000211,-0.690895313715
ACH-000215,-0.7411518551340001
ACH-000221,-0.445179175685
ACH-000222,-0.503488438218
ACH-000223,-0.37511750712499997
ACH-000226,-0.507067265996
ACH-000227,-0.492978493561
ACH-000228,-0.6882206818950001
ACH-000231,-0.363759489718
ACH-000232,-0.370868603027
ACH-000233,-0.266475930696
ACH-000234,-0.707516499172
ACH-000235,-0.46246760426600003
ACH-000237,-0.762546836827
ACH-000238,-0.304141071991
ACH-000243,-0.544770923572
ACH-000244,-0.477043722792
ACH-000246,-0.4164412154
ACH-000248,-0.609511905035
ACH-000250,-0.518247595602
ACH-000251,-0.690805043644
ACH-000253,-0.626553681958
ACH-000255,-0.4515680334800001
ACH-000256,-0.627697923838
ACH-000257,-0.38877992987599996
ACH-000258,-0.799378781856
ACH-000259,-0.40564611462899997
ACH-000260,-0.507643128124
ACH-000261,-0.49411658526999996
ACH-000262,-0.663135696579
ACH-000263,-0.786568676928
ACH-000264,-0.6117839694389999
ACH-000265,-0.49391300178400005
ACH-000266,-0.49242331607600004
ACH-000272,-0.278332908413
ACH-000273,-0.9957899196269999
ACH-000274,-0.5739972401619999
ACH-000277,-0.42316470930399996
ACH-000278,-0.545737117369
ACH-000279,-0.37531362894599996
ACH-000280,-0.6981966712950001
ACH-000281,-0.8524754213160001
ACH-000288,-0.648393595285
ACH-000291,-0.961567230625
ACH-000293,-0.164963360634
ACH-000294,-0.48853723416
ACH-000295,-0.471269879654
ACH-000296,-0.61177225864
ACH-000302,-0.350654829974
ACH-000304,-0.238439835401
ACH-000307,-0.659818286683
ACH-000308,-0.933538069702
ACH-000310,-0.505856281946
ACH-000311,-0.659128951326
ACH-000312,-0.487205452178
ACH-000315,-0.371304194596
ACH-000316,-0.683192120114
ACH-000317,-0.303363846055
ACH-000318,-0.516279463014
ACH-000319,-0.38827341926700004
ACH-000320,-0.534473864225
ACH-000322,-0.395162974232
ACH-000323,-0.433446486197
ACH-000324,-0.5838300346649999
ACH-000329,-0.44663978218
ACH-000330,-0.952920117498
ACH-000331,-0.532447726621
ACH-000332,-0.568161526513
ACH-000334,-0.552634532309
ACH-000335,-0.508631451918
ACH-000336,-0.365557734472
ACH-000337,-0.638538893505
ACH-000339,-0.7460020242409999
ACH-000341,-0.634555824012
ACH-000348,-0.405575143834
ACH-000350,-0.562338039203
ACH-000352,-0.621488703864
ACH-000356,-0.823096215786
ACH-000361,-0.758659244675
ACH-000362,-0.556226392895
ACH-000363,-0.514693284991
ACH-000364,-0.627387777176
ACH-000365,-0.608390769121
ACH-000366,-0.5628498516170001
ACH-000368,-0.63840952987
ACH-000374,-0.744429171565
ACH-000375,-0.522783905926
ACH-000376,-0.468314472622
ACH-000381,-0.635340817869
ACH-000383,-0.251427824606
ACH-000387,-0.625885304682
ACH-000389,-0.551651579146
ACH-000390,-0.434681966373
ACH-000393,-0.889900000459
ACH-000395,-0.454191901734
ACH-000397,-0.38469112936800004
ACH-000401,-0.781571255996
ACH-000402,-0.503519000534
ACH-000403,-0.600310678622
ACH-000404,-0.11502080859899999
ACH-000406,-0.926394794047
ACH-000407,-0.647118492092
ACH-000408,-0.364165395467
ACH-000410,-0.598949424129
ACH-000411,-0.443052199683
ACH-000414,-0.47230581989799997
ACH-000415,-0.433074248719
ACH-000416,-0.42546369316
ACH-000420,-0.337503638619
ACH-000421,-0.666638595958
ACH-000424,-0.450807383177
ACH-000425,-0.564561171837
ACH-000426,-0.8711711048440001
ACH-000427,-0.614108527718
ACH-000433,-0.515650482401
ACH-000436,-0.47027446450000004
ACH-000444,-0.667341561764
ACH-000445,-0.151501982543
ACH-000448,-0.469529066342
ACH-000450,-0.6027574169359999
ACH-000452,-0.400213640611
ACH-000454,-0.572514091379
ACH-000458,-0.510808116638
ACH-000459,-0.318882549485
ACH-000460,-0.46472012182899997
ACH-000461,-0.34029288848800004
ACH-000463,-0.641064595632
ACH-000464,-0.646770907445
ACH-000466,-0.5806885587489999
ACH-000467,-0.796409030833
ACH-000468,-0.644488739326
ACH-000469,-0.649778973862
ACH-000470,-0.484467112704
ACH-000471,-0.413144047108
ACH-000472,-0.523129713541
ACH-000473,-0.551566831
ACH-000475,-0.398037239415
ACH-000476,-0.666190025185
ACH-000477,-0.332011932098
ACH-000480,-0.454406043886
ACH-000481,-0.5713245363399999
ACH-000483,-0.630621893743
ACH-000484,-0.46984267868199997
ACH-000485,-0.550368344925
ACH-000486,-0.6337507444389999
ACH-000487,-0.283214748789
ACH-000488,-0.491539999686
ACH-000490,-0.45953844341000005
ACH-000491,-0.424490232082
ACH-000495,-0.794299870605
ACH-000496,-0.705358361878
ACH-000499,-0.23917792791700002
ACH-000500,-0.894908234371
ACH-000502,-0.569673285348
ACH-000503,-0.87675949263
ACH-000505,-0.365090043021
ACH-000507,-0.303679060778
ACH-000510,-0.392923491887
ACH-000511,-0.619751369798
ACH-000512,-0.370947192068
ACH-000516,-1.0000194892299998
ACH-000517,-0.39937705149499997
ACH-000518,-0.224929130244
ACH-000520,-0.5783907974360001
ACH-000521,-0.565545305838
ACH-000522,-0.37398358668399995
ACH-000524,-0.5505632070040001
ACH-000527,-0.436156656023
ACH-000528,-0.429625062498
ACH-000537,-0.535253426889
ACH-000541,-1.3904408313999999
ACH-000542,-0.759977715069
ACH-000544,-0.672096315653
ACH-000545,-0.656848041275
ACH-000547,-0.570853456232
ACH-000548,-0.517462131323
ACH-000549,-0.378262817957
ACH-000550,-0.698382501736
ACH-000552,-0.540252982904
ACH-000556,-0.633619361321
ACH-000557,-0.311791488578
ACH-000570,-0.505316956313
ACH-000571,-0.707495684983
ACH-000573,-0.414997876971
ACH-000576,-0.36192622498300003
ACH-000580,-0.594897454022
ACH-000584,-0.374143420986
ACH-000585,-0.458284259234
ACH-000588,-1.09893696761
ACH-000589,-0.39718714401999994
ACH-000591,-0.969847519491
ACH-000593,-0.536464862341
ACH-000600,-0.44354304156700003
ACH-000601,-0.47918634963999995
ACH-000604,-0.622484711658
ACH-000605,-0.615077474458
ACH-000606,-0.460321154261
ACH-000608,-0.651072212241
ACH-000614,-0.43813607935500004
ACH-000616,-0.46439423982
ACH-000618,-0.435574785022
ACH-000619,-0.393363341356
ACH-000620,-0.422047767742
ACH-000621,-0.943659440316
ACH-000622,-0.376505692413
ACH-000623,-0.535515744764
ACH-000624,-0.40160864926
ACH-000627,-0.650876946727
ACH-000630,-0.607336818589
ACH-000632,-0.511611978549
ACH-000633,-0.557456507654
ACH-000637,-0.500383123652
ACH-000638,-0.581439718409
ACH-000646,-0.39410452997
ACH-000647,-0.43614878764
ACH-000648,-0.0848544708796
ACH-000649,-0.294785639647
ACH-000651,-0.536640875013
ACH-000652,-0.282774896063
ACH-000653,-0.18224945685
ACH-000657,-0.53408085108
ACH-000658,-0.645563901082
ACH-000661,-0.397315523124
ACH-000662,-0.40870253206699997
ACH-000663,-0.311462491535
ACH-000665,-0.77526092198
ACH-000671,-0.545823419408
ACH-000673,-1.11795169613
ACH-000676,-0.44132242535
ACH-000677,-0.5255072046320001
ACH-000681,-0.6471136198690001
ACH-000682,-0.4333899265899999
ACH-000683,-0.543730072347
ACH-000684,-0.571775050871
ACH-000688,-0.7923232965979999
ACH-000693,-0.33829289822999997
ACH-000694,-0.381376378258
ACH-000695,-0.5204767950110001
ACH-000696,-0.623049827501
ACH-000697,-0.619070251101
ACH-000699,-0.38364629873800005
ACH-000701,-0.6668905454640001
ACH-000706,-0.38745602121399997
ACH-000711,-0.7157823656640001
ACH-000713,-0.408803775244
ACH-000714,-0.518348135378
