,BECN1 (8678)
ACH-000004,-0.0920686718025
ACH-000007,-0.267766661718
ACH-000009,-0.320853760494
ACH-000011,-0.46409540367200003
ACH-000012,-0.107035797415
ACH-000013,-0.23511553096700002
ACH-000014,-0.130360676467
ACH-000015,-0.322001780401
ACH-000017,-0.8039328868699999
ACH-000018,-0.21603363448399998
ACH-000019,-0.316306715794
ACH-000021,-0.507523214523
ACH-000022,-0.288028403226
ACH-000025,-0.19902199953400002
ACH-000028,-0.37082282131300004
ACH-000030,-0.17623549535799998
ACH-000035,-0.510441015858
ACH-000036,-0.142971915616
ACH-000037,0.034641970408300006
ACH-000039,-0.162783720298
ACH-000040,-0.219763247267
ACH-000041,-0.344010707714
ACH-000042,-0.319016126579
ACH-000045,-0.07526899994460001
ACH-000047,-0.17491946691399998
ACH-000052,-0.586451968355
ACH-000053,-0.140132636131
ACH-000054,-0.362071857263
ACH-000055,0.018188693053400002
ACH-000060,-0.035944064270099996
ACH-000067,-0.261888053964
ACH-000070,-0.301854435977
ACH-000075,-0.19395582189
ACH-000078,-0.166191198928
ACH-000082,-0.24870296161999997
ACH-000085,-0.395444239367
ACH-000086,-0.147081366781
ACH-000087,-0.477895914962
ACH-000092,-0.423831957847
ACH-000095,-0.19567615491999998
ACH-000097,-0.23978357255399999
ACH-000098,-0.437975153009
ACH-000099,-0.28616904469
ACH-000108,-0.13402076676400002
ACH-000113,-0.234077566232
ACH-000115,-0.312309152759
ACH-000116,-0.18896893210000001
ACH-000118,-0.150518005643
ACH-000120,-0.243010596426
ACH-000123,-0.24729796877500002
ACH-000127,-0.292077782033
ACH-000128,-0.10059757207100001
ACH-000132,-0.251074791974
ACH-000133,-0.100333317215
ACH-000137,-0.36425211366
ACH-000138,-0.310227353855
ACH-000142,-0.378721178939
ACH-000143,-0.239332827204
ACH-000146,-0.0788318365497
ACH-000148,-0.343815830101
ACH-000150,-0.330247162485
ACH-000152,-0.45897554644599997
ACH-000153,0.0143562812124
ACH-000159,-0.39684790509999995
ACH-000160,-0.237969250026
ACH-000163,-0.548650889036
ACH-000167,-0.299185734669
ACH-000168,-0.335805964816
ACH-000169,-0.36494320980899997
ACH-000178,-0.479568215538
ACH-000182,-0.307941720781
ACH-000183,-0.32562304756099997
ACH-000188,-0.313523820156
ACH-000189,-0.04627190291259999
ACH-000190,-0.415803144495
ACH-000198,-0.30879198958
ACH-000204,-0.0788111042796
ACH-000206,-0.223012151883
ACH-000207,0.07034478282880001
ACH-000211,-0.21967453772300002
ACH-000215,-0.272950402805
ACH-000221,-0.42882296888599997
ACH-000222,-0.0805881046607
ACH-000223,-0.418867648932
ACH-000226,-0.194846895158
ACH-000227,-0.397726741946
ACH-000228,-0.626361643765
ACH-000231,-0.18496141313499997
ACH-000232,-0.12659219284700002
ACH-000233,-0.101099608525
ACH-000234,-0.449293661739
ACH-000235,-0.29394451479600003
ACH-000237,-0.251827441198
ACH-000238,-0.11015117896400001
ACH-000243,-0.0726435802793
ACH-000244,-0.5309749415839999
ACH-000246,0.0955699965912
ACH-000248,-0.531715576797
ACH-000250,-0.248598152194
ACH-000251,-0.295618596566
ACH-000253,-0.109400582346
ACH-000255,-0.533786707281
ACH-000256,-0.10516293727399999
ACH-000257,-0.028818843957500003
ACH-000258,-0.115904071106
ACH-000259,-0.21280233211
ACH-000260,-0.328027152897
ACH-000261,-0.18072663770999997
ACH-000262,-0.13240615687
ACH-000263,-0.192967204226
ACH-000264,-0.170530449689
ACH-000265,-0.114700781727
ACH-000266,-0.271563247293
ACH-000272,-0.21932274402899998
ACH-000273,-0.17618297065699998
ACH-000274,-0.316365828394
ACH-000277,-1.04096631619
ACH-000278,-0.239108836363
ACH-000279,-0.154966844606
ACH-000280,-0.51180583441
ACH-000281,-0.15683372619799998
ACH-000288,-0.011816732793299999
ACH-000291,-0.20400265765
ACH-000293,-0.311036563588
ACH-000294,-0.35109640271700004
ACH-000295,-0.0368236579899
ACH-000296,-0.595775700154
ACH-000302,-0.475612130379
ACH-000304,-0.10895694631
ACH-000307,-0.407851382721
ACH-000308,-0.1686787112
ACH-000310,-0.231559975577
ACH-000311,-0.29556672916099996
ACH-000312,-0.11604180622199999
ACH-000315,-0.17506145829
ACH-000316,-0.2594169801
ACH-000317,-0.218774202201
ACH-000318,-0.31828467427900003
ACH-000319,-0.288856904521
ACH-000320,-0.158870103732
ACH-000322,-0.165459053825
ACH-000323,-0.623463388879
ACH-000324,-0.5411158445409999
ACH-000329,-0.18292208685699998
ACH-000330,-0.42385523076
ACH-000331,-0.22029112734700002
ACH-000332,0.013365127842899999
ACH-000334,-0.0141296098785
ACH-000335,-0.212222985029
ACH-000336,0.00209266720952
ACH-000337,-0.425885791729
ACH-000339,-0.5324374750199999
ACH-000341,-0.208194830828
ACH-000348,-0.43467946444399996
ACH-000350,-0.155266467885
ACH-000352,-0.618728485195
ACH-000356,-0.320941897623
ACH-000361,-0.158443996767
ACH-000362,-0.36983795812299997
ACH-000363,-0.238056647385
ACH-000364,-0.459528029913
ACH-000365,-0.230987565204
ACH-000366,-0.10913375763699999
ACH-000368,0.07988802305369999
ACH-000374,-0.374647302374
ACH-000375,-0.406850995398
ACH-000376,0.0464044058098
ACH-000381,-0.144337373476
ACH-000383,-0.11387139532099999
ACH-000387,-0.171914088774
ACH-000389,-0.06898519465889999
ACH-000390,-0.281618439834
ACH-000393,0.038526222148699996
ACH-000395,-0.0903849732622
ACH-000397,-0.259398039082
ACH-000401,-0.41607854107299996
ACH-000402,0.0785609998483
ACH-000403,-0.0510329575254
ACH-000404,-0.330440643743
ACH-000406,-0.299134190654
ACH-000407,-0.17282227526000002
ACH-000408,-0.299764629498
ACH-000410,-0.310090166125
ACH-000411,-0.49927247693599996
ACH-000414,-0.164738895995
ACH-000415,-0.514592831527
ACH-000416,-0.456346773672
ACH-000420,-0.39399803656599997
ACH-000421,-0.415758589155
ACH-000424,-0.231805354258
ACH-000425,-0.14446454216399998
ACH-000426,-0.302620950239
ACH-000427,-0.33088652738
ACH-000433,-0.298609444632
ACH-000436,-0.191838078276
ACH-000444,-0.26902831141
ACH-000445,-0.458250999054
ACH-000448,-0.351229353465
ACH-000450,-0.164275326851
ACH-000452,-0.406176026344
ACH-000454,-0.278455335701
ACH-000458,-0.506639646352
ACH-000459,-0.37371504965700003
ACH-000460,-0.286481051918
ACH-000461,-0.155462142016
ACH-000463,-0.221386851059
ACH-000464,0.211694316657
ACH-000466,-0.258398031238
ACH-000467,-0.145644549476
ACH-000468,-0.21170128535399999
ACH-000469,-0.37041412562700005
ACH-000470,-0.352966371139
ACH-000471,-0.242663635182
