,ALCAM (214)
ACH-000004,0.11762101411800001
ACH-000007,-0.12696944174
ACH-000009,-0.105447858415
ACH-000011,0.0616640157756
ACH-000012,0.0061558487618
ACH-000013,0.10417603666400001
ACH-000014,-0.147814419734
ACH-000015,0.03278363108809999
ACH-000017,0.051095581331400006
ACH-000018,-0.0521717369155
ACH-000019,0.022579458654299996
ACH-000021,-0.048350113285999995
ACH-000022,0.0819440228933
ACH-000025,-0.21403363638599998
ACH-000028,0.0109332592446
ACH-000030,-0.0996594158887
ACH-000035,-0.0313284608508
ACH-000036,-0.0570674543281
ACH-000037,0.00525018665953
ACH-000039,-0.468376752632
ACH-000040,-0.0104959790449
ACH-000041,0.0174901277851
ACH-000042,0.0346052645675
ACH-000045,0.06953271330630001
ACH-000047,0.157423092289
ACH-000052,0.22582369606400002
ACH-000053,-0.0456465370589
ACH-000054,-0.241984730432
ACH-000055,-0.047594014615099996
ACH-000060,0.036445483841800005
ACH-000067,-0.21382724941300002
ACH-000070,0.13859295508199998
ACH-000075,-0.29900586591
ACH-000078,-0.10577576303200001
ACH-000082,-0.04376760679359999
ACH-000085,-0.141099155771
ACH-000086,-0.200154121422
ACH-000087,0.07891041520719999
ACH-000092,0.0876181175472
ACH-000095,-0.129231836312
ACH-000097,0.03385659585
ACH-000098,0.118059507433
ACH-000099,0.0664480293838
ACH-000108,0.029523358968000003
ACH-000113,-0.18489269305199998
ACH-000115,0.0200115825715
ACH-000116,0.09410978831039998
ACH-000118,-0.0158138427242
ACH-000120,0.0164936843163
ACH-000123,-0.034905541625300004
ACH-000127,0.0102392361684
ACH-000128,-0.005070333319209999
ACH-000132,0.059778123362300005
ACH-000133,-0.022026363382900004
ACH-000137,-0.0766189761225
ACH-000138,0.0697184111346
ACH-000142,-0.08040595089989999
ACH-000143,-0.157893212279
ACH-000146,0.058239778307300004
ACH-000148,0.027117676237400003
ACH-000150,0.226696928161
ACH-000152,-0.00450753500499
ACH-000153,-0.458981896693
ACH-000159,0.07151984348019999
ACH-000160,0.188073741792
ACH-000163,-0.0910064953833
ACH-000167,-0.17264916308800002
ACH-000168,0.12244549989600001
ACH-000169,0.0018560177989899998
ACH-000178,-0.0489490462985
ACH-000182,0.020197253812099997
ACH-000183,0.055309550514199994
ACH-000188,0.0454298385669
ACH-000189,0.0753612723302
ACH-000190,0.00680179859521
ACH-000198,0.0372674939515
ACH-000204,-0.09889187623089998
ACH-000206,-0.00258169522877
ACH-000207,0.0066682880369799994
ACH-000211,-0.08951678397160001
ACH-000215,0.0346841007468
ACH-000221,0.0212222011643
ACH-000222,0.0127117261635
ACH-000223,-0.11658760896600001
ACH-000226,-0.0812098384711
ACH-000227,-0.0833903343781
ACH-000228,0.035355920516
ACH-000231,-0.225539898915
ACH-000232,-0.09597650564960002
ACH-000233,-0.07219860931139999
ACH-000234,0.0379461434969
ACH-000235,-0.030676090554499998
ACH-000237,0.0019412620272200001
ACH-000238,0.162610102491
ACH-000243,0.0414137743447
ACH-000244,-0.285290974912
ACH-000246,0.10216342597000001
ACH-000248,0.149889494388
ACH-000250,0.0338629386051
ACH-000251,-0.00680234046266
ACH-000253,-0.0005530616662389999
ACH-000255,0.18072861361900003
ACH-000256,0.0377649169703
ACH-000257,0.33531027724
ACH-000258,0.123167594408
ACH-000259,0.00741576265795
ACH-000260,0.0195273677217
ACH-000261,-0.18253177991900002
ACH-000262,-0.444022968348
ACH-000263,0.163144008476
