,NLE1 (54475)
ACH-000004,-1.17330198803
ACH-000007,-0.961798655085
ACH-000009,-1.67994256101
ACH-000011,-1.22625516231
ACH-000012,-1.13265728991
ACH-000013,-1.19580351259
ACH-000014,-0.9523993362279999
ACH-000015,-1.13852677044
ACH-000017,-1.3574634546899997
ACH-000018,-0.9353598331149999
ACH-000019,-1.17484164125
ACH-000021,-1.1069486678899998
ACH-000022,-1.22468523285
ACH-000025,-1.14076094202
ACH-000028,-1.503577071
ACH-000030,-1.2492495960799999
ACH-000035,-1.42860630129
ACH-000036,-1.0288101428799998
ACH-000037,-1.63878808389
ACH-000039,-0.9558993082070001
ACH-000040,-1.02710350535
ACH-000041,-1.0460769981
ACH-000042,-0.957249653178
ACH-000045,-1.15548775877
ACH-000047,-0.9367966194570001
ACH-000052,-1.21339941381
ACH-000053,-1.15710697903
ACH-000054,-1.3016990640200001
ACH-000055,-1.05644865761
ACH-000060,-1.1691662957100002
ACH-000067,-1.1749459530700002
ACH-000070,-0.90716717671
ACH-000075,-1.28518755722
ACH-000078,-1.3293678933700002
ACH-000082,-1.04410705193
ACH-000085,-0.982066485924
ACH-000086,-1.11070182716
ACH-000087,-1.0981834642200001
ACH-000092,-0.8586396236239999
ACH-000095,-0.9006300020620001
ACH-000097,-1.12523978704
ACH-000098,-1.13887598727
ACH-000099,-1.17511597617
ACH-000108,-1.2902053762899999
ACH-000113,-0.937433169154
ACH-000115,-0.908430291645
ACH-000116,-1.0311405740200001
ACH-000118,-1.18671775462
ACH-000120,-1.1740961914399999
ACH-000123,-1.2510428943
ACH-000127,-0.9249697422390001
ACH-000128,-0.913854575207
ACH-000132,-1.22815517826
ACH-000133,-1.10276796472
ACH-000137,-1.18840753388
ACH-000138,-1.1474430270799998
ACH-000142,-1.1029346945
ACH-000143,-1.02740211239
ACH-000146,-1.2066902242200002
ACH-000148,-1.1599317499700001
ACH-000150,-1.0208870006100002
ACH-000152,-1.28791781323
ACH-000153,-0.881452772401
ACH-000159,-1.1062166196799998
ACH-000160,-1.2624264746
ACH-000163,-1.42556363869
ACH-000167,-1.25617022433
ACH-000168,-1.14034881085
ACH-000169,-1.1673646610600001
ACH-000178,-1.09720155015
ACH-000182,-1.00438367036
ACH-000183,-1.03487289941
ACH-000188,-1.20723925173
ACH-000189,-1.07034939428
ACH-000190,-1.3517944015999999
ACH-000198,-1.07854651675
ACH-000204,-1.3214280585
ACH-000206,-1.0132704489700002
ACH-000207,-1.23418738561
ACH-000211,-1.08629082679
ACH-000215,-1.20816344482
ACH-000221,-1.3045562885600002
ACH-000222,-1.36289319158
ACH-000223,-1.06280798141
ACH-000226,-1.1188937073
ACH-000227,-1.4271666894600001
ACH-000228,-1.04233018931
ACH-000231,-1.08441417808
ACH-000232,-0.987615663698
ACH-000233,-1.26029374133
ACH-000234,-1.11177896043
ACH-000235,-1.24751122302
ACH-000237,-1.252367241
ACH-000238,-1.51093554188
ACH-000243,-1.16749018686
ACH-000244,-1.13797312264
ACH-000246,-0.971309487016
ACH-000248,-1.37705581605
ACH-000250,-0.963549274437
ACH-000251,-1.10304134938
ACH-000253,-1.22135461808
ACH-000255,-1.0397589087799999
ACH-000256,-1.07597237844
ACH-000257,-0.7775198854719999
ACH-000258,-1.1076509395899998
ACH-000259,-1.06945967706
ACH-000260,-1.0535537823999999
ACH-000261,-1.1690040753
ACH-000262,-1.19267184007
ACH-000263,-0.936148836039
ACH-000264,-1.3721877874200001
ACH-000265,-1.0447455724799999
ACH-000266,-0.997857330008
ACH-000272,-1.03356933655
ACH-000273,-1.18434316537
ACH-000274,-1.0084860229500001
ACH-000277,-1.22254152161
ACH-000278,-1.39300671929
ACH-000279,-0.952343604998
ACH-000280,-1.17161439338
ACH-000281,-1.1962650720299999
ACH-000288,-1.1525818995100001
ACH-000291,-1.06343802297
ACH-000293,-0.856571485976
ACH-000294,-1.11370578517
ACH-000295,-0.910802390343
ACH-000296,-0.982189816852
ACH-000302,-1.1343438429500001
ACH-000304,-1.0597942924400001
ACH-000307,-1.30399328287
ACH-000308,-0.879964455615
ACH-000310,-1.4625891895200003
ACH-000311,-1.02591402024
ACH-000312,-1.0788599488400001
ACH-000315,-1.06288321335
ACH-000316,-0.9638015928389999
ACH-000317,-1.13762114811
ACH-000318,-1.20592928436
ACH-000319,-1.1504416133600002
ACH-000320,-1.00121027873
ACH-000322,-1.08147133674
ACH-000323,-1.18244738582
ACH-000324,-0.926177176998
ACH-000329,-1.1261253518
ACH-000330,-1.06353594508
ACH-000331,-1.06768972887
ACH-000332,-1.05834494875
ACH-000334,-1.08218778915
ACH-000335,-1.10103600235
ACH-000336,-0.839868291593
ACH-000337,-1.14608020113
ACH-000339,-1.23878755196
ACH-000341,-1.00005731449
ACH-000348,-1.2345313099600002
ACH-000350,-1.69516174859
ACH-000352,-1.34168116685
ACH-000356,-1.06229759652
ACH-000361,-0.765754462891
ACH-000362,-1.0683139618200002
ACH-000363,-1.2027795742799998
ACH-000364,-0.9710589879729999
ACH-000365,-1.2239854244700001
ACH-000366,-1.01658904779
ACH-000368,-0.7533095350210001
ACH-000374,-0.9946174936669999
ACH-000375,-0.899062510647
ACH-000376,-0.82281100853
ACH-000381,-1.21902888252
ACH-000383,-1.1596564635700002
ACH-000387,-1.2581369504100002
ACH-000389,-0.9011603384739999
ACH-000390,-0.96024000465
ACH-000393,-0.850743063302
ACH-000395,-1.21920406184
ACH-000397,-1.32409530323
ACH-000401,-1.18555099373
ACH-000402,-1.01868113655
ACH-000403,-0.9530429468170001
ACH-000404,-1.09604009505
ACH-000406,-1.1662436277
ACH-000407,-0.991048434314
ACH-000408,-1.3250192477200002
ACH-000410,-1.097438405
ACH-000411,-1.01945664814
ACH-000414,-1.09714214725
ACH-000415,-1.26022717515
ACH-000416,-1.0751190955399998
ACH-000420,-0.893297967941
ACH-000421,-1.02379312725
ACH-000424,-1.40987832648
ACH-000425,-1.11215229175
ACH-000426,-1.06508650012
ACH-000427,-1.1050467764
ACH-000433,-1.0816727421799999
ACH-000436,-1.1872438010700002
ACH-000444,-0.931005893884
ACH-000445,-1.31467580439
ACH-000448,-0.965720047158
ACH-000450,-0.9365360253530001
ACH-000452,-1.08867636031
ACH-000454,-0.9725426504520001
ACH-000458,-0.975799850625
ACH-000459,-0.950956682192
ACH-000460,-0.9290042477220001
ACH-000461,-0.796405426772
ACH-000463,-1.25869349051
ACH-000464,-0.82666535676
ACH-000466,-1.12085791521
ACH-000467,-1.3789050894400001
ACH-000468,-1.10274643625
ACH-000469,-0.9906242179189999
ACH-000470,-1.0907471099400001
ACH-000471,-1.04360292115
ACH-000472,-1.1974570529100002
ACH-000473,-0.875149558923
ACH-000475,-1.03170781619
ACH-000476,-0.809998192898
ACH-000477,-1.0634951425599999
ACH-000480,-1.1570739274200001
ACH-000481,-1.1451842511299999
ACH-000483,-1.2428590532100001
ACH-000484,-0.622440624195
ACH-000485,-0.8729071601389999
ACH-000486,-1.10212394996
ACH-000487,-1.2143386413500001
ACH-000488,-1.27960304488
ACH-000490,-1.24013597454
ACH-000491,-1.12937253206
ACH-000495,-1.00365210009
ACH-000496,-0.911957751582
ACH-000499,-0.8792155492649999
ACH-000500,-1.1658835655700002
ACH-000502,-1.10099019486
ACH-000503,-1.0
