,RRP7A (27341)
ACH-000004,-1.08180067814
ACH-000007,-0.661771051464
ACH-000009,-0.791280642393
ACH-000011,-0.552938000396
ACH-000012,-0.869466408159
ACH-000013,-0.9076852389579999
ACH-000014,-0.879558962733
ACH-000015,-0.8960074577509999
ACH-000017,-0.967158093159
ACH-000018,-0.8611094572840001
ACH-000019,-1.2835632965600001
ACH-000021,-1.03352550298
ACH-000022,-1.17913611733
ACH-000025,-0.953676810806
ACH-000028,-1.1930685370899998
ACH-000030,-0.860875463996
ACH-000035,-0.9317458137289999
ACH-000036,-0.728840399186
ACH-000037,-0.269340885284
ACH-000039,-0.487697820326
ACH-000040,-0.691188603836
ACH-000041,-0.6369126787080001
ACH-000042,-0.626705174809
ACH-000045,-0.813523393566
ACH-000047,-1.01264596586
ACH-000052,-0.7270465318160001
ACH-000053,-0.704249865013
ACH-000054,-0.849942649959
ACH-000055,-0.965152526683
ACH-000060,-0.6175046777300001
ACH-000067,-0.960894770122
ACH-000070,-0.8666997979250001
ACH-000075,-0.9093691901090001
ACH-000078,-1.00244707658
ACH-000082,-0.568193517671
ACH-000085,-0.8637290011700002
ACH-000086,-0.835414898324
ACH-000087,-0.7802159193709999
ACH-000092,-0.8554271523620001
ACH-000095,-0.991373242807
ACH-000097,-0.9110374172310001
ACH-000098,-0.874423505291
ACH-000099,-0.818804152543
ACH-000108,-0.9786536461480001
ACH-000113,-0.9305224842799998
ACH-000115,-0.7120831717649999
ACH-000116,-0.907193466588
ACH-000118,-0.988415218691
ACH-000120,-0.920689321574
ACH-000123,-0.909800961568
ACH-000127,-0.70455160038
ACH-000128,-0.822254027803
ACH-000132,-0.752629838604
ACH-000133,-0.8450650694399999
ACH-000137,-1.0993395080500001
ACH-000138,-1.1253276883399999
ACH-000142,-0.926220375055
ACH-000143,-0.729144729067
ACH-000146,-0.924367493796
ACH-000148,-0.5451965581939999
ACH-000150,-1.0182682261700002
ACH-000152,-1.16322486176
ACH-000153,-0.9823356758930001
ACH-000159,-0.573022271666
ACH-000160,-0.934217408958
ACH-000163,-1.01153480285
ACH-000167,-1.0728242255
ACH-000168,-0.550624352217
ACH-000169,-1.0027499846899999
ACH-000178,-0.757194833052
ACH-000182,-0.776106393695
ACH-000183,-0.670051504625
ACH-000188,-0.7077998460639999
ACH-000189,-0.9027231419499999
ACH-000190,-1.2025849835
ACH-000198,-0.8207988732320001
ACH-000204,-0.714271066456
ACH-000206,-1.0
ACH-000207,-0.365799951473
ACH-000211,-0.809373023487
ACH-000215,-0.8623431010420001
ACH-000221,-1.26899326352
ACH-000222,-0.947232727685
ACH-000223,-0.786980607851
ACH-000226,-0.765964411901
ACH-000227,-0.4651164565
ACH-000228,-0.8688956147910001
ACH-000231,-0.597429441906
ACH-000232,-0.914723522254
ACH-000233,-0.981558977224
ACH-000234,-0.756241106364
ACH-000235,-0.9336700383759999
ACH-000237,-0.757161052668
ACH-000238,-0.752791232599
ACH-000243,-1.0119026254899999
ACH-000244,-0.546618730185
ACH-000246,-1.06692521763
ACH-000248,-1.11736617519
ACH-000250,-0.613977065013
ACH-000251,-0.7384861560250001
ACH-000253,-0.717087566097
ACH-000255,-0.60439349907
ACH-000256,-1.1894071451700001
ACH-000257,-0.43395594559199996
ACH-000258,-1.38342125625
ACH-000259,-0.6787809482709999
ACH-000260,-0.990365589349
ACH-000261,-0.7200219816779999
ACH-000262,-0.560558334287
ACH-000263,-0.7674612078659999
ACH-000264,-0.834058813639
ACH-000265,-0.8651294728460001
ACH-000266,-0.657481530737
ACH-000272,-1.12219265698
ACH-000273,-1.1284087676
ACH-000274,-0.60319508585
ACH-000277,-0.760935610027
ACH-000278,-1.08549482685
ACH-000279,-0.737653430577
ACH-000280,-0.818194484911
ACH-000281,-0.66034007308
ACH-000288,-0.671057105956
ACH-000291,-1.13320960794
ACH-000293,-1.07590060385
ACH-000294,-0.768086635564
ACH-000295,-0.65237064825
ACH-000296,-0.840420282922
ACH-000302,-0.759423028853
ACH-000304,-0.8060490884489999
ACH-000307,-1.00610731391
ACH-000308,-1.1198306844099999
ACH-000310,-1.0336844836299999
ACH-000311,-0.8143447710330001
ACH-000312,-1.0546250455600001
ACH-000315,-1.05510111507
ACH-000316,-0.739694901554
ACH-000317,-0.49152948268999996
ACH-000318,-0.582455938359
ACH-000319,-0.772954832032
ACH-000320,-0.792614970412
ACH-000322,-1.03259120017
ACH-000323,-0.890632341813
ACH-000324,-0.8212552903479999
ACH-000329,-0.992335739101
ACH-000330,-0.9826709267779999
ACH-000331,-0.6861584208949999
ACH-000332,-0.841048874307
ACH-000334,-0.711079903662
ACH-000335,-1.26675206981
ACH-000336,-0.616101236784
ACH-000337,-0.9001542148109999
ACH-000339,-0.915425597953
ACH-000341,-1.1748234439299998
ACH-000348,-0.655688952931
ACH-000350,-1.3555730126199999
ACH-000352,-1.09416249369
ACH-000356,-1.13280669763
