,RQCD1 (9125)
ACH-000004,-0.611423259835
ACH-000007,-0.615079345168
ACH-000009,-1.0795013872600001
ACH-000011,-0.688738937485
ACH-000012,-1.12478675639
ACH-000013,-0.884188861761
ACH-000014,-0.39518682459
ACH-000015,-0.536315401955
ACH-000017,-0.797904315159
ACH-000018,-0.71181187833
ACH-000019,-0.901866911302
ACH-000021,-0.924283965121
ACH-000022,-0.536091681029
ACH-000025,-0.765294438688
ACH-000028,-0.821373551678
ACH-000030,-0.607642381683
ACH-000035,-0.596892476599
ACH-000036,-0.844800935002
ACH-000037,-0.657008744972
ACH-000039,-0.475337225912
ACH-000040,-0.512602040254
ACH-000041,-0.37142023789899997
ACH-000042,-0.41195453813199995
ACH-000045,-0.321644158932
ACH-000047,-0.171264222012
ACH-000052,-1.04684851677
ACH-000053,-0.929851466008
ACH-000054,-0.415409530164
ACH-000055,-0.903882254234
ACH-000060,-0.722319505414
ACH-000067,-0.709862586835
ACH-000070,-0.6970419807430001
ACH-000075,-0.787332039365
ACH-000078,-0.785779898111
ACH-000082,-0.849524789192
ACH-000085,-1.20657945594
ACH-000086,-0.402479595761
ACH-000087,-0.685682201595
ACH-000092,-1.0293209428799999
ACH-000095,-0.547678490875
ACH-000097,-0.523097719791
ACH-000098,-0.495985949547
ACH-000099,-0.922892235492
ACH-000108,-0.971051819755
ACH-000113,-0.462435173646
ACH-000115,-0.47984577294799996
ACH-000116,-0.82698841218
ACH-000118,-0.680359925857
ACH-000120,-0.8405187082410001
ACH-000123,-0.632490882826
ACH-000127,-0.686447230488
ACH-000128,-0.415640650745
ACH-000132,-0.538862281336
ACH-000133,-0.622094339371
ACH-000137,-0.49841899411300006
ACH-000138,-0.685755107465
ACH-000142,-0.8676052899109999
ACH-000143,-0.6591183510399999
ACH-000146,-0.721276143646
ACH-000148,-0.54946598747
ACH-000150,-0.728458512284
ACH-000152,-0.642592637712
ACH-000153,-0.558302486558
ACH-000159,-0.63636852639
ACH-000160,-0.896184218133
ACH-000163,-0.375233449639
ACH-000167,-1.19881388183
ACH-000168,-0.9783659914489999
ACH-000169,-0.732081021184
