,WIBG (84305)
ACH-000004,-0.837439057273
ACH-000007,-0.559316215127
ACH-000009,-0.673527280035
ACH-000011,-0.67227268855
ACH-000012,-0.764156115317
ACH-000013,-0.7464977718889999
ACH-000014,-0.8624498857449999
ACH-000015,-0.568622648448
ACH-000017,-0.791192504006
ACH-000018,-0.744036940361
ACH-000019,-0.522211103689
ACH-000021,-0.652233274247
ACH-000022,-0.612007102817
ACH-000025,-0.7051311359729999
ACH-000028,-0.812381527561
ACH-000030,-0.720384569091
ACH-000035,-0.6444180510540001
ACH-000036,-0.597822922194
ACH-000037,-1.13766238484
ACH-000039,-0.764107284658
ACH-000040,-0.924308900863
ACH-000041,-0.743548333703
ACH-000042,-0.605349525977
ACH-000045,-0.724627478428
ACH-000047,-0.385822234912
ACH-000052,-0.764060536469
ACH-000053,-0.735199129366
ACH-000054,-0.744463849182
ACH-000055,-0.741917648497
ACH-000060,-0.5788732970430001
ACH-000067,-0.905940985887
ACH-000070,-0.896563366462
ACH-000075,-0.648050517971
ACH-000078,-0.7323044664920001
ACH-000082,-0.827748584465
ACH-000085,-0.8000600775929999
ACH-000086,-0.695477719919
ACH-000087,-0.964557595647
ACH-000092,-0.682094238299
ACH-000095,-0.780978132824
ACH-000097,-0.8285584972200001
ACH-000098,-0.727735427571
ACH-000099,-0.555368810257
ACH-000108,-0.533616949568
ACH-000113,-0.668157619095
ACH-000115,-0.9077066769230001
ACH-000116,-0.8270118562469999
ACH-000118,-0.712524906895
ACH-000120,-0.6099542894259999
ACH-000123,-0.708813002252
ACH-000127,-0.846359921121
ACH-000128,-1.0534157319
ACH-000132,-0.748535016294
ACH-000133,-0.709653217705
ACH-000137,-0.7861835598870001
ACH-000138,-0.792907229021
ACH-000142,-0.9517867535079999
ACH-000143,-0.7876730024869999
ACH-000146,-0.493107205841
ACH-000148,-0.784985533943
ACH-000150,-0.706412891386
ACH-000152,-0.932333883891
ACH-000153,-0.915284982613
ACH-000159,-0.67112826295
ACH-000160,-0.84418148509
ACH-000163,-0.777399187209
ACH-000167,-0.9069962296340001
ACH-000168,-0.580215615647
ACH-000169,-0.600552270081
ACH-000178,-0.611519822179
ACH-000182,-0.8031623757459999
ACH-000183,-0.9470026871160001
ACH-000188,-0.7093819678409999
ACH-000189,-0.9373644683779999
ACH-000190,-0.574295283427
ACH-000198,-1.04498674598
ACH-000204,-1.12839878385
ACH-000206,-0.544832275927
ACH-000207,-0.538061800055
ACH-000211,-0.816589796516
ACH-000215,-0.8263495997079999
ACH-000221,-0.6946389622920001
ACH-000222,-0.643238492314
ACH-000223,-0.843575250879
ACH-000226,-0.7477371384370001
ACH-000227,-0.7448063475869999
ACH-000228,-0.859665487307
ACH-000231,-0.9303987065449999
ACH-000232,-0.625046023612
ACH-000233,-0.9010673924889999
ACH-000234,-1.11296945427
ACH-000235,-0.640232572701
ACH-000237,-0.613021851378
ACH-000238,-0.8011540516140001
ACH-000243,-0.662843618267
ACH-000244,-0.89281067052
