,NOB1 (28987)
ACH-000004,-1.29438293625
ACH-000007,-1.07072870998
ACH-000009,-0.889747283293
ACH-000011,-1.47836025007
ACH-000012,-1.04723306162
ACH-000013,-1.1946167627
ACH-000014,-1.3760385864500002
ACH-000015,-1.0011837615299999
ACH-000017,-1.42137397525
ACH-000018,-1.04831146876
ACH-000019,-1.22804664633
ACH-000021,-1.19228346133
ACH-000022,-1.12700266655
ACH-000025,-1.07834224424
ACH-000028,-0.9115874715379999
ACH-000030,-1.16864033598
ACH-000035,-1.21282251698
ACH-000036,-1.17344709388
ACH-000037,-1.13239654866
ACH-000039,-1.48083749898
ACH-000040,-1.38379854809
ACH-000041,-1.0672068101899999
ACH-000042,-1.22631488265
ACH-000045,-1.25871220816
ACH-000047,-1.27934485421
ACH-000052,-1.23297929546
ACH-000053,-1.1145480384200002
ACH-000054,-0.8431961787219999
ACH-000055,-1.12662295414
ACH-000060,-0.9999137542100001
ACH-000067,-1.42015204684
ACH-000070,-1.1954141722299998
ACH-000075,-1.5049845582499999
ACH-000078,-1.28201459005
ACH-000082,-1.31293465139
ACH-000085,-1.04183095125
ACH-000086,-1.00621021573
ACH-000087,-1.34869881015
ACH-000092,-1.1493135781000001
ACH-000095,-1.2654642728399998
ACH-000097,-1.16752245161
ACH-000098,-1.33699079856
ACH-000099,-1.13356087268
ACH-000108,-1.13718692295
ACH-000113,-1.2787490394
ACH-000115,-1.13662814968
ACH-000116,-1.24999276366
ACH-000118,-0.951198859494
ACH-000120,-1.32666896597
ACH-000123,-0.8912994068819999
ACH-000127,-1.18834146295
ACH-000128,-1.0733704839
ACH-000132,-1.6030737051800001
ACH-000133,-1.0966526014700002
ACH-000137,-1.25451905177
ACH-000138,-1.0620812485200002
ACH-000142,-1.20997151084
ACH-000143,-1.43098089001
ACH-000146,-1.2522278318100002
ACH-000148,-1.32040410607
ACH-000150,-0.811835838928
ACH-000152,-1.08510284369
ACH-000153,-1.7279408605200002
ACH-000159,-1.22547688105
ACH-000160,-1.3166200059
ACH-000163,-1.03778835453
ACH-000167,-1.32756586362
ACH-000168,-1.13136129756
ACH-000169,-1.24640219302
ACH-000178,-1.24565181544
ACH-000182,-1.0339228575700001
ACH-000183,-1.25187941286
ACH-000188,-1.2800992966
ACH-000189,-0.565441530242
ACH-000190,-1.2942199377799999
ACH-000198,-1.27498691518
ACH-000204,-1.03196772089
ACH-000206,-1.4076845879100002
ACH-000207,-1.09324824833
ACH-000211,-1.35167630961
ACH-000215,-1.39796173911
ACH-000221,-1.15242866203
ACH-000222,-1.5165675716100002
ACH-000223,-0.77658713599
ACH-000226,-1.08647636341
ACH-000227,-1.5986498360199999
ACH-000228,-0.610435476949
ACH-000231,-1.08022654804
ACH-000232,-1.16951190527
ACH-000233,-1.20676358195
ACH-000234,-1.1448717795
ACH-000235,-1.31445208028
ACH-000237,-1.39477601871
ACH-000238,-1.2063286655
ACH-000243,-1.19279493164
ACH-000244,-1.3649108343399998
ACH-000246,-1.1594720306100001
ACH-000248,-1.3074865108700002
ACH-000250,-0.847839906665
ACH-000251,-0.9030636844869999
ACH-000253,-1.3609045801100002
ACH-000255,-1.11177329799
ACH-000256,-1.40419377074
ACH-000257,-1.11795326935
ACH-000258,-1.4910381879499999
ACH-000259,-1.31633951692
ACH-000260,-1.28702857717
ACH-000261,-1.1120058413
ACH-000262,-1.12835412143
ACH-000263,-1.36307862149
ACH-000264,-0.7379809202500001
ACH-000265,-1.24083432965
ACH-000266,-1.01583269544
ACH-000272,-1.23518694056
ACH-000273,-1.41969902586
ACH-000274,-1.49161186787
ACH-000277,-1.22059480862
ACH-000278,-1.0960304127299998
ACH-000279,-1.2756866935100002
