,ZFP36L1 (677)
ACH-000004,-0.20207513752300002
ACH-000007,-0.305878115442
ACH-000009,0.0852298718788
ACH-000011,-0.214759974836
ACH-000012,-0.260977353067
ACH-000013,-0.0317676279275
ACH-000014,-0.166714518068
ACH-000015,0.601677515114
ACH-000017,-0.273857157196
ACH-000018,-0.366441080137
ACH-000019,-0.0130957742606
ACH-000021,-0.131667969575
ACH-000022,0.0625827060626
ACH-000025,-0.825639328974
ACH-000028,-0.0901705751441
ACH-000030,-0.313280577942
ACH-000035,-0.231520951175
ACH-000036,-0.186023793946
ACH-000037,-0.123571466226
ACH-000039,-0.212389633337
ACH-000040,-0.19314600189599998
ACH-000041,0.8896811796490001
ACH-000042,-0.535951231199
ACH-000045,-0.50292741807
ACH-000047,-0.435707593712
ACH-000052,-0.452149290989
ACH-000053,0.27385597196199996
ACH-000054,-0.707053697966
ACH-000055,-0.489194818892
ACH-000060,-0.752615933248
ACH-000067,-0.5383805375890001
ACH-000070,-0.282973698677
ACH-000075,-0.772065745416
ACH-000078,-0.12573698778
ACH-000082,-0.0696908094388
ACH-000085,-0.655285839445
ACH-000086,-0.392989272866
ACH-000087,0.23968304029399998
ACH-000092,-0.381625768689
ACH-000095,0.18818524334399997
ACH-000097,-0.20105756744000003
ACH-000098,0.0971887575759
ACH-000099,-0.11430620493799999
ACH-000108,-0.46959356043000006
ACH-000113,-0.393028840929
ACH-000115,0.7890415384430001
ACH-000116,0.165062738433
ACH-000118,-0.45317623726499995
ACH-000120,-0.0411850467046
ACH-000123,-0.5016248002
ACH-000127,-0.23442465634
ACH-000128,-0.80561249683
ACH-000132,-0.573347544455
ACH-000133,-0.240012991567
ACH-000137,-0.344627914696
ACH-000138,-0.5839093451699999
ACH-000142,-0.163119480442
ACH-000143,0.00637405405702
ACH-000146,0.0188062037661
ACH-000148,-0.156448924301
ACH-000150,-0.431279806289
ACH-000152,-0.278074996605
ACH-000153,-0.290696936335
ACH-000159,-0.38888724482000003
ACH-000160,0.0985124675082
ACH-000163,-0.201190981192
ACH-000167,0.035670788092699995
ACH-000168,-0.5314259262919999
ACH-000169,0.0424711087438
ACH-000178,-0.397499349028
ACH-000182,-0.140277140306
ACH-000183,-0.09845084850670001
ACH-000188,-0.805256156446
ACH-000189,-1.1162260633499999
ACH-000190,0.00970455088253
ACH-000198,-0.284263592577
ACH-000204,-0.600456044076
ACH-000206,-1.0411225675700002
ACH-000207,-0.318451652772
ACH-000211,-0.7864563406209999
ACH-000215,-0.138953389968
ACH-000221,-0.17352887403099998
ACH-000222,0.343505444552
ACH-000223,-0.13508942586
ACH-000226,-0.5190149867670001
ACH-000227,-0.0750305003791
ACH-000228,-0.5714739732940001
ACH-000231,-0.180065204296
ACH-000232,-0.5338450210360001
ACH-000233,-1.0666020154
ACH-000234,-0.74282393782
ACH-000235,-0.586743856178
ACH-000237,-0.6463273996850001
ACH-000238,-0.566726109063
ACH-000243,0.104293735765
ACH-000244,-0.12591563679099999
ACH-000246,-0.931670320388
ACH-000248,-0.41854369398100005
ACH-000250,-0.593279383244
ACH-000251,-1.0523598245499999
ACH-000253,-0.17634655305999997
ACH-000255,-0.7326597627529999
ACH-000256,0.244004052724
ACH-000257,-0.13164846780300002
ACH-000258,0.0212243550135
ACH-000259,-0.19064715902100002
ACH-000260,0.020041240250599997
ACH-000261,-0.428774771428
ACH-000262,-1.23866321343
ACH-000263,-0.367374699647
ACH-000264,-0.317191432559
