,TIE1 (7075)
ACH-000004,-0.571420041171
ACH-000007,-0.187302105866
ACH-000009,-0.39133385248
ACH-000011,-0.225593241508
ACH-000012,-0.388197078721
ACH-000013,-0.253042010332
ACH-000014,-0.262743676414
ACH-000015,-0.287907054898
ACH-000017,-0.475790313468
ACH-000018,-0.22762371531300002
ACH-000019,-0.367072913296
ACH-000021,-0.317793087448
ACH-000022,-0.22726086084600003
ACH-000025,-0.176055714597
ACH-000028,-0.17323116887499998
ACH-000030,-0.261714377224
ACH-000035,-0.493222546418
ACH-000036,-0.360607853518
ACH-000037,-0.0871032615738
ACH-000039,0.00990545090501
ACH-000040,-0.27937471681299997
ACH-000041,-0.235005904864
ACH-000042,-0.105412288673
ACH-000045,-0.225289408127
ACH-000047,-0.13947751205800002
ACH-000052,-0.311159384006
ACH-000053,-0.310363472513
ACH-000054,-0.40156974626900005
ACH-000055,-0.17151846462900003
ACH-000060,-0.154449567789
ACH-000067,-0.18472976212499997
ACH-000070,0.0104964328672
ACH-000075,0.14106104590500002
ACH-000078,-0.34275502094300003
ACH-000082,-0.172463116739
ACH-000085,-0.109291447558
ACH-000086,-0.371043776127
ACH-000087,-0.42291618551700005
ACH-000092,-0.47250297181
ACH-000095,-0.272089487236
ACH-000097,-0.136129511963
ACH-000098,-0.33412242203000003
ACH-000099,-0.261032629259
ACH-000108,-0.266139815385
ACH-000113,-0.14765204699200002
ACH-000115,-0.255505697643
ACH-000116,-0.314584841649
ACH-000118,-0.25819932362
ACH-000120,-0.403862126708
ACH-000123,-0.280438101697
ACH-000127,-0.22697109954599998
ACH-000128,-0.07318932379780001
ACH-000132,-0.322165556194
ACH-000133,-0.109257159555
ACH-000137,-0.429024297852
ACH-000138,-0.319107241252
ACH-000142,-0.39031036491800003
ACH-000143,-0.18241007151
ACH-000146,-0.356784649614
ACH-000148,-0.115930194919
ACH-000150,-0.29290086536
ACH-000152,-0.335094422314
ACH-000153,-0.171509450589
ACH-000159,-0.0139575193856
ACH-000160,-0.226974400047
ACH-000163,-0.231256574994
ACH-000167,-0.278450386931
ACH-000168,-0.460359199646
ACH-000169,-0.266118984133
ACH-000178,-0.234354253494
ACH-000182,-0.29909305775199996
ACH-000183,-0.212936490072
ACH-000188,-0.529926285545
ACH-000189,-0.31475375005199996
ACH-000190,-0.38966570616499996
ACH-000198,-0.246689968231
ACH-000204,-0.308019354038
ACH-000206,-0.6537301706499999
ACH-000207,-0.275888788745
ACH-000211,-0.20038994239
ACH-000215,-0.23369050645199999
ACH-000221,-0.0880360630353
ACH-000222,-0.279342233797
ACH-000223,-0.15744014808
ACH-000226,-0.108267701085
ACH-000227,-0.221921058876
ACH-000228,-0.161392388241
ACH-000231,-0.255240838706
ACH-000232,-0.124040057269
ACH-000233,-0.218128244586
ACH-000234,-0.168221861075
ACH-000235,-0.292514279658
ACH-000237,-0.354056040395
ACH-000238,-0.33104549341899997
ACH-000243,-0.28927486824
ACH-000244,-0.10322869302200001
ACH-000246,-0.20712910457400002
ACH-000248,-0.47792438344
ACH-000250,-0.272159269012
ACH-000251,-0.1515686777
ACH-000253,-0.303129766412
ACH-000255,-0.38612740716899996
ACH-000256,-0.08837165297139998
ACH-000257,-0.496417454256
ACH-000258,-0.279323065541
ACH-000259,-0.16410402409000002
ACH-000260,-0.324813490921
ACH-000261,-0.157372176963
ACH-000262,-0.40205729907399995
ACH-000263,-0.161217841524
ACH-000264,-0.191603501867
ACH-000265,-0.315717942963
ACH-000266,-0.222119615654
ACH-000272,-0.37937366950499996
ACH-000273,-0.275705952268
ACH-000274,-0.332678383274
ACH-000277,-0.27583182822700003
ACH-000278,-0.44938005818800003
ACH-000279,-0.28445225138700003
ACH-000280,-0.197495811085
ACH-000281,-0.06041149311369999
ACH-000288,-0.343175586566
ACH-000291,-0.12358173436799999
ACH-000293,-0.04657738149619999
ACH-000294,-0.334850830286
ACH-000295,-0.607530936663
ACH-000296,-0.241554249219
ACH-000302,-0.233469067837
ACH-000304,-0.313321532955
ACH-000307,-0.20032395677099998
ACH-000308,-0.13951652068
ACH-000310,-0.110507380878
ACH-000311,-0.19357363619000004
ACH-000312,-0.366008328876
ACH-000315,-0.441449826531
ACH-000316,-0.31263956359
ACH-000317,-0.5680664969070001
ACH-000318,-0.311477913488
ACH-000319,-0.10539466185100001
ACH-000320,-0.5206864852390001
ACH-000322,-0.07943717863580001
ACH-000323,-0.251946352019
ACH-000324,-0.294038361457
ACH-000329,-0.223548672819
ACH-000330,-0.150120968459
ACH-000331,-0.26628492735
ACH-000332,-0.18699194447099998
ACH-000334,-0.290271484614
ACH-000335,-0.13168919544299998
ACH-000336,0.07598711952930001
ACH-000337,-0.40088766683300003
ACH-000339,-0.160090572587
ACH-000341,-0.145821115087
ACH-000348,-0.40197689033600004
ACH-000350,-0.14459920489
ACH-000352,-0.306643110069
ACH-000356,-0.326191910558
ACH-000361,-0.0319558649283
ACH-000362,-0.261989466877
ACH-000363,-0.24405081038899998
ACH-000364,-0.406851168577
ACH-000365,-0.161523299798
ACH-000366,-0.12465881680600001
ACH-000368,-0.37373231880900004
ACH-000374,-0.22840898984900002
ACH-000375,-0.28635231518300003
ACH-000376,-0.291908043367
ACH-000381,-0.30749555394
ACH-000383,-0.25749310775
ACH-000387,-0.599573502743
ACH-000389,-0.151641415449
ACH-000390,-0.281901269927
ACH-000393,-0.19065064754
ACH-000395,-0.286289893921
ACH-000397,-0.08529740569610002
ACH-000401,-0.412880134094
ACH-000402,-0.532066586265
ACH-000403,-0.288456773788
ACH-000404,-0.605572268731
ACH-000406,-0.37246448747
ACH-000407,-0.469678235268
ACH-000408,-0.2231321457
ACH-000410,-0.043671679209900005
ACH-000411,-0.364943017622
ACH-000414,-0.264227941792
ACH-000415,-0.159883797382
ACH-000416,-0.166840609906
ACH-000420,-0.0953283364781
ACH-000421,-0.21590395195999998
ACH-000424,-0.213408032944
ACH-000425,-0.14172513252900001
ACH-000426,-0.429018855894
ACH-000427,-0.115228017826
ACH-000433,-0.34399171475699997
ACH-000436,-0.127651365103
ACH-000444,-0.116979652635
ACH-000445,-0.339173493138
ACH-000448,-0.214005878072
ACH-000450,-0.314424132236
ACH-000452,-0.238875237259
ACH-000454,-0.41248103105800005
ACH-000458,-0.267232075729
ACH-000459,-0.510631961381
ACH-000460,-0.301296691304
ACH-000461,-0.221685319617
ACH-000463,-0.0616642320342
ACH-000464,-0.44003479987300004
ACH-000466,-0.328378172053
ACH-000467,-0.196661953946
ACH-000468,-0.15471489076099998
ACH-000469,-0.220440962975
ACH-000470,0.014786477538000001
ACH-000471,-0.17578012696400003
ACH-000472,-0.190512349339
ACH-000473,-0.509346400301
ACH-000475,-0.177148080559
ACH-000476,-0.326537087756
ACH-000477,0.11524949091600001
ACH-000480,-0.232644014668
ACH-000481,-0.107728102513
ACH-000483,-0.26790473378400004
ACH-000484,-0.360221008004
ACH-000485,-0.211512696086
ACH-000486,-0.205612001312
ACH-000487,-0.379533232402
ACH-000488,-0.278862985511
ACH-000490,-0.219745063391
ACH-000491,-0.177249236908
ACH-000495,-0.428955530767
ACH-000496,-0.38904657947899995
ACH-000499,-0.37179601264300005
ACH-000500,-0.499318158015
ACH-000502,-0.246248141069
ACH-000503,-0.42857785319799996
ACH-000505,-0.22697495522599997
ACH-000507,-0.417128906876
ACH-000510,-0.296204864944
ACH-000511,-0.17791958625
ACH-000512,-0.458422796721
ACH-000516,-0.384902263567
ACH-000517,-0.307891215976
ACH-000518,-0.232040477051
ACH-000520,-0.299593793521
ACH-000521,-0.274164192165
ACH-000522,-0.26930110570300003
ACH-000524,-0.266162330574
ACH-000527,-0.18824732310400002
ACH-000528,-0.30987675575999996
ACH-000537,-0.22726655540600002
ACH-000541,-0.38190529715599997
ACH-000542,-0.360132987137
ACH-000544,-0.288059462843
ACH-000545,-0.487322790574
ACH-000547,-0.335832674231
ACH-000548,-0.34258502252800005
ACH-000549,-0.189326359706
ACH-000550,-0.517950357216
ACH-000552,-0.228463510684
ACH-000556,-0.340558301096
ACH-000557,-0.12004623342800001
ACH-000570,-0.122438183459
ACH-000571,-0.35550302930100003
ACH-000573,-0.491329168169
ACH-000576,-0.19714663078400002
ACH-000580,-0.090709079373
ACH-000584,-0.08805805353880002
ACH-000585,-0.5452201709610001
ACH-000588,-0.156143507434
ACH-000589,-0.34473554655500005
ACH-000591,0.0267170001363
ACH-000593,-0.370553400255
ACH-000600,-0.230702447828
ACH-000601,-0.27582513841899997
ACH-000604,-0.700109019219
ACH-000605,-0.208272791496
ACH-000606,-0.41815139694799996
ACH-000608,-0.254374808937
ACH-000614,-0.476960958269
ACH-000616,-0.10453230620300001
ACH-000618,-0.43279054193300004
