,TIAF1 (9220)
ACH-000004,-0.0361542933016
ACH-000007,-0.126443053785
ACH-000009,-0.40340594007799996
ACH-000011,-0.301577718506
ACH-000012,-0.120022260607
ACH-000013,-0.267269906928
ACH-000014,-0.0490983604184
ACH-000015,0.006004351372550001
ACH-000017,-0.519715014678
ACH-000018,-0.190386564181
ACH-000019,-0.257539979757
ACH-000021,-0.249555508706
ACH-000022,-0.35275213280400003
ACH-000025,-0.216243613048
ACH-000028,-0.318827195075
ACH-000030,-0.257275895798
ACH-000035,-0.474182350092
ACH-000036,-0.179621902714
ACH-000037,0.0122779002202
ACH-000039,0.207622432562
ACH-000040,-0.23390617204999997
ACH-000041,-0.242551735376
ACH-000042,-0.13021862172700002
ACH-000045,-0.23891696166200002
ACH-000047,-0.36112204038199996
ACH-000052,0.0207653622011
ACH-000053,-0.308247103882
ACH-000054,-0.11976137594599999
ACH-000055,-0.11925840103700001
ACH-000060,-0.049147908077699996
ACH-000067,-0.11629968152999999
ACH-000070,-0.176773704229
ACH-000075,-0.067286170259
ACH-000078,-0.124076629881
ACH-000082,-0.192843714423
ACH-000085,-0.0023513864203400002
ACH-000086,-0.210331619192
ACH-000087,0.0142711603266
ACH-000092,-0.10523367626
ACH-000095,-0.265765220432
ACH-000097,-0.232660791481
ACH-000098,-0.109412306313
ACH-000099,-0.107969913686
ACH-000108,-0.147153236054
ACH-000113,-0.17754914889600001
ACH-000115,-0.39535269888
ACH-000116,-0.21168204487700001
ACH-000118,-0.0637544170641
ACH-000120,-0.06985239185549999
ACH-000123,-0.308486715753
ACH-000127,-0.183777292669
ACH-000128,-0.156885031152
ACH-000132,-0.29888255770399996
ACH-000133,-0.127903116242
ACH-000137,-0.125869560338
ACH-000138,-0.11869666642400001
ACH-000142,-0.355198595043
ACH-000143,-0.047250578947
ACH-000146,-0.0953973236466
ACH-000148,-0.37889587388000007
ACH-000150,0.131945486239
ACH-000152,-0.230665743937
ACH-000153,-0.25759128521200003
ACH-000159,-0.332239090666
ACH-000160,-0.121250437154
ACH-000163,-0.11925642901900001
ACH-000167,-0.138477290453
ACH-000168,-0.168420721967
ACH-000169,-0.0950353838363
ACH-000178,-0.21674794620299997
ACH-000182,-0.148680231115
ACH-000183,-0.20832710593400003
ACH-000188,-0.285606496895
ACH-000189,-0.131071793612
ACH-000190,-0.295419174233
ACH-000198,-0.19118808146400001
ACH-000204,-0.18788821447299997
ACH-000206,-0.569794054158
ACH-000207,-0.47712771608000004
ACH-000211,-0.189588232196
ACH-000215,-0.272334688429
ACH-000221,-0.296616408539
ACH-000222,-0.461047137752
ACH-000223,-0.219348638028
ACH-000226,-0.0812629886505
ACH-000227,-0.238506332091
ACH-000228,-0.28021311464000004
ACH-000231,-0.235034796813
ACH-000232,-0.0416306774502
ACH-000233,-0.10700117700200001
ACH-000234,-0.371959806294
ACH-000235,-0.24519667624000002
ACH-000237,-0.216517670931
ACH-000238,-0.399325240558
ACH-000243,-0.33901624322499996
ACH-000244,-0.578890220836
ACH-000246,-0.105766153461
ACH-000248,-0.408449559418
ACH-000250,-0.171896436917
ACH-000251,0.110561975284
ACH-000253,-0.120787529373
ACH-000255,-0.33288283306600003
ACH-000256,-0.233491288066
ACH-000257,-0.10474344011600001
ACH-000258,-0.0685679547797
ACH-000259,-0.172195872287
ACH-000260,-0.0573246714434
ACH-000261,-0.039742929637000005
ACH-000262,-0.17805956262800002
ACH-000263,-0.155065625438
ACH-000264,-0.353691912368
ACH-000265,-0.21529014430100002
ACH-000266,-0.09373857302710001
ACH-000272,-0.148989840665
