,NPBWR2 (2832)
ACH-000004,-0.010379466398200001
ACH-000007,0.160910082739
ACH-000009,-0.119574008572
ACH-000011,-0.0153982597055
ACH-000012,0.0469300858103
ACH-000013,-0.0644589658411
ACH-000014,0.0906057413389
ACH-000015,-0.0656476651468
ACH-000017,-0.276863943903
ACH-000018,-0.17731850595100002
ACH-000019,-0.34405811957500004
ACH-000021,-0.110646726931
ACH-000022,-0.16891790026999998
ACH-000025,-0.06998502652289999
ACH-000028,-0.00902913523847
ACH-000030,-0.228368115504
ACH-000035,-0.0435241195962
ACH-000036,-0.037052962563300006
ACH-000037,-0.0071512953277799995
ACH-000039,-0.127821474646
ACH-000040,-0.28731895393
ACH-000041,0.00461933060391
ACH-000042,-0.0903934648756
ACH-000045,-0.04513167790569999
ACH-000047,-0.05351081694209999
ACH-000052,-0.0178026872929
ACH-000053,-0.0962953461926
ACH-000054,0.0780058668735
ACH-000055,-0.156721299545
ACH-000060,-0.13362318512399998
ACH-000067,-0.0637276479756
ACH-000070,-0.084615257144
ACH-000075,-0.210527276043
ACH-000078,-0.044286424552699995
ACH-000082,-0.0746604157262
ACH-000085,0.052898992702099995
ACH-000086,0.0170713558846
ACH-000087,0.00821559375771
ACH-000092,-0.0798879966649
ACH-000095,-0.0151044082834
ACH-000097,-0.204845206535
ACH-000098,-0.203339001606
ACH-000099,-0.0515581122965
ACH-000108,-0.0943556210974
ACH-000113,-0.037144270544
ACH-000115,-0.125552247364
ACH-000116,-0.14364487336200002
ACH-000118,-0.0677628132548
ACH-000120,-0.123202213187
ACH-000123,-0.023566545255499997
ACH-000127,-0.10296997057499999
ACH-000128,-0.09797374760639999
ACH-000132,-0.128994216056
ACH-000133,-0.0584254982761
ACH-000137,-0.0442622394979
ACH-000138,-0.058185708088
ACH-000142,0.00618147412977
ACH-000143,-0.115954475281
ACH-000146,-0.00942407688694
ACH-000148,-0.00361689913728
ACH-000150,-0.20986132962600001
ACH-000152,-0.0710220982771
ACH-000153,0.226160549162
ACH-000159,-0.09328932924760001
ACH-000160,0.0121253550075
ACH-000163,-0.037276698389599995
