,PDE7B (27115)
ACH-000004,-0.0129859529119
ACH-000007,-0.290474720726
ACH-000009,-0.037589838252800004
ACH-000011,-0.11500334672
ACH-000012,-0.013918269716700002
ACH-000013,-0.0104274606744
ACH-000014,-0.0836873338535
ACH-000015,-0.0572939308799
ACH-000017,0.051625876377300005
ACH-000018,0.0202448362057
ACH-000019,-0.0310970843692
ACH-000021,-0.33558741609399995
ACH-000022,-0.100178350373
ACH-000025,-0.202150479849
ACH-000028,-0.16451276316299998
ACH-000030,-0.0886369555391
ACH-000035,-0.0185413620878
ACH-000036,0.0166406357654
ACH-000037,0.0283017320145
ACH-000039,-0.132240036667
ACH-000040,-0.116655908146
ACH-000041,-0.146363741971
ACH-000042,-0.0643505676284
ACH-000045,0.00451213319187
ACH-000047,-0.08846154053619999
ACH-000052,-0.30637053921
ACH-000053,-0.0868062221648
ACH-000054,-0.135709702388
ACH-000055,-0.09796820929860002
ACH-000060,-0.0743173448158
ACH-000067,-0.0776548019167
ACH-000070,-0.15017699380000002
ACH-000075,-0.139829009521
ACH-000078,-0.157111108828
ACH-000082,-0.14653812090399998
ACH-000085,0.27761725223
ACH-000086,-0.0577671597353
ACH-000087,-0.241714533324
ACH-000092,-0.148272981316
ACH-000095,-0.116079292642
ACH-000097,-0.0312255810739
ACH-000098,-0.0164235926156
ACH-000099,-0.10507763937999999
ACH-000108,-0.034860395547300006
ACH-000113,-0.0175269786244
ACH-000115,0.0489932348568
ACH-000116,0.0403130635409
ACH-000118,-0.21398495773200002
ACH-000120,-0.0786187538918
ACH-000123,0.060678687794699995
ACH-000127,-0.0652729469617
ACH-000128,-0.0061342282235299994
ACH-000132,-0.24240339007
ACH-000133,-0.07912539753839999
ACH-000137,0.0681992323154
ACH-000138,-0.0793051210058
ACH-000142,-0.105664169353
ACH-000143,-0.138184047684
ACH-000146,0.00720013657198
ACH-000148,-0.018699347510799998
ACH-000150,-0.0578700207042
ACH-000152,0.0669477628039
ACH-000153,0.15002484042199998
ACH-000159,-0.0110472221817
ACH-000160,-0.252706779858
ACH-000163,-0.18092088362300002
ACH-000167,-0.300804677621
ACH-000168,-0.0125703322456
ACH-000169,0.0563204904287
ACH-000178,-0.08352007134980001
ACH-000182,-0.0295556135701
ACH-000183,-0.08404608295980001
ACH-000188,-0.156523025264
ACH-000189,-0.224334715881
ACH-000190,-0.238578770848
ACH-000198,-0.0185261243989
ACH-000204,-0.178569660441
ACH-000206,-0.21177129316399998
ACH-000207,0.158081289854
ACH-000211,-0.055686228000999996
ACH-000215,0.006430712836430001
ACH-000221,-0.17478904239100002
ACH-000222,-0.309716766794
ACH-000223,-0.19293123044500002
ACH-000226,-0.22104065049600002
ACH-000227,-0.0599975453379
ACH-000228,-0.209436696738
ACH-000231,-0.0295925297474
ACH-000232,-0.017566971876599998
ACH-000233,-0.135144075944
ACH-000234,-0.277150662183
ACH-000235,-0.021056486669799996
ACH-000237,0.0282302428398
ACH-000238,-0.10957729859099999
ACH-000243,-0.121632093639
ACH-000244,0.0831288433232
ACH-000246,-0.0877154256941
ACH-000248,-0.16338340622199998
ACH-000250,-0.112992580477
ACH-000251,0.037901814125199995
ACH-000253,-0.132073790354
ACH-000255,0.06616618704800001
ACH-000256,0.0568589806426
ACH-000257,0.035846107845300006
ACH-000258,-0.022385401998299997
ACH-000259,-0.111185657371
ACH-000260,-0.0187600467697
ACH-000261,-0.046755410504
ACH-000262,-0.144506259431
ACH-000263,0.224535368868
ACH-000264,-0.0639105823689
ACH-000265,-0.082314433405
ACH-000266,-0.123550207928
ACH-000272,-0.170183152844
ACH-000273,-0.17572130065000002
ACH-000274,-0.0110656000464
ACH-000277,-0.165628699325
ACH-000278,-0.11805368638399999
ACH-000279,-0.0782173989944
ACH-000280,-0.0719854081212
ACH-000281,-0.147499091502
ACH-000288,0.028698324061099997
ACH-000291,-0.0326199578089
ACH-000293,-0.18334660604800002
ACH-000294,-0.00106351907585
ACH-000295,-0.08734691597100001
ACH-000296,-0.0497123295422
