,HNRNPU (3192)
ACH-000004,-0.894477732226
ACH-000007,-1.01902468754
ACH-000009,-1.20981866484
ACH-000011,-1.3822740312000001
ACH-000012,-1.09657393668
ACH-000013,-1.01817870339
ACH-000014,-1.22826645148
ACH-000015,-0.931660919202
ACH-000017,-1.8112484258700001
ACH-000018,-1.00755276286
ACH-000019,-0.669197483507
ACH-000021,-0.902413459411
ACH-000022,-0.909633391981
ACH-000025,-1.14139585648
ACH-000028,-0.864135693699
ACH-000030,-0.718145387534
ACH-000035,-0.7168001277330001
ACH-000036,-1.23978128304
ACH-000037,-1.12759463698
ACH-000039,-1.0709975914
ACH-000040,-1.3750103285799997
ACH-000041,-0.7773455117970001
ACH-000042,-0.971145795012
ACH-000045,-1.02455591411
ACH-000047,-1.26333296159
ACH-000052,-0.8657923371780001
ACH-000053,-1.11350701548
ACH-000054,-1.1640433238799999
ACH-000055,-0.6627487664280001
ACH-000060,-1.1822601117
ACH-000067,-0.856126429188
ACH-000070,-1.15815587751
ACH-000075,-0.783817082933
ACH-000078,-0.966325711793
ACH-000082,-0.900804013566
ACH-000085,-1.30983170172
ACH-000086,-1.23426720703
ACH-000087,-1.1445499822
ACH-000092,-1.28107661884
ACH-000095,-1.0558601899299997
ACH-000097,-1.11683472676
ACH-000098,-0.9909399560959999
ACH-000099,-1.3108135108
ACH-000108,-0.666974312295
ACH-000113,-0.913821612863
ACH-000115,-0.596999839204
ACH-000116,-1.04904849205
ACH-000118,-0.945858652494
ACH-000120,-0.8174695404269999
ACH-000123,-1.2292553285799999
ACH-000127,-0.985329272042
ACH-000128,-0.946713221406
ACH-000132,-1.14987690325
ACH-000133,-1.18757673371
ACH-000137,-0.96909948949
ACH-000138,-0.8525045090279999
ACH-000142,-1.3273026629200002
ACH-000143,-1.1320304902399998
ACH-000146,-0.8946032474660001
ACH-000148,-1.1439158084999999
ACH-000150,-1.07113679909
ACH-000152,-1.09251066779
ACH-000153,-1.11345468597
ACH-000159,-1.39540792943
ACH-000160,-0.847866934796
ACH-000163,-0.749789355744
ACH-000167,-0.440770592839
ACH-000168,-0.6671435998040001
ACH-000169,-1.2701599252
ACH-000178,-1.1502076320399999
ACH-000182,-1.01567985146
ACH-000183,-1.0714110344
ACH-000188,-0.8313799580750001
ACH-000189,-1.16836098952
ACH-000190,-1.28186954625
ACH-000198,-1.1348551977899999
ACH-000204,-1.56953537666
ACH-000206,-1.29379331192
ACH-000207,-0.540720456989
ACH-000211,-1.36046941439
ACH-000215,-1.0539028933399999
