,CASZ1 (54897)
ACH-000004,-0.320087894271
ACH-000007,-0.5256418008429999
ACH-000009,-0.21224323423900002
ACH-000011,0.0305230250214
ACH-000012,-0.46208962376999996
ACH-000013,-0.311603621617
ACH-000014,-0.06832164494130001
ACH-000015,-0.05813551696819999
ACH-000017,-0.18499527095100002
ACH-000018,-0.43928073221600006
ACH-000019,0.232552082131
ACH-000021,-0.305720397675
ACH-000022,-0.229207682698
ACH-000025,-0.321155851374
ACH-000028,-0.18539103699599999
ACH-000030,-0.145262232514
ACH-000035,-0.35192327666100004
ACH-000036,-0.00543614335311
ACH-000037,-0.385004019159
ACH-000039,-0.164101495931
ACH-000040,-0.41005108997199996
ACH-000041,-0.38326367164
ACH-000042,-0.24833179504900002
ACH-000045,-0.285009379377
ACH-000047,-0.336453806553
ACH-000052,-0.08640791905589999
ACH-000053,-0.38147971272500003
ACH-000054,-0.294427660218
ACH-000055,-0.50307774516
ACH-000060,-0.214960111967
ACH-000067,-0.350289180317
ACH-000070,-0.355427553336
ACH-000075,-0.579592475646
ACH-000078,-0.359689742253
ACH-000082,-0.131898608529
ACH-000085,-0.474627420606
ACH-000086,-0.369778545119
ACH-000087,-0.5271813701020001
ACH-000092,-0.223802459926
ACH-000095,-0.23156207979899998
ACH-000097,0.217202491264
ACH-000098,-0.35367011096900003
ACH-000099,-0.29742324601
ACH-000108,-0.206444967973
ACH-000113,-0.378139562382
ACH-000115,-1.2417505334
ACH-000116,-0.257359037867
ACH-000118,-0.202987942352
ACH-000120,-0.19506919702999997
ACH-000123,-0.10204111964700001
ACH-000127,-0.303349885823
ACH-000128,-0.50365205251
ACH-000132,-0.322272873064
ACH-000133,-0.199955130928
ACH-000137,-0.16573722274900002
ACH-000138,-0.194690034584
ACH-000142,-0.261586681919
ACH-000143,-0.206471959606
ACH-000146,-0.27619023460000003
ACH-000148,-0.297091817243
ACH-000150,-0.283766777335
ACH-000152,-0.40640040444799996
ACH-000153,-0.404583985175
ACH-000159,-0.271670965209
ACH-000160,-0.171613855769
ACH-000163,-0.466760632932
ACH-000167,-0.378335238799
ACH-000168,-0.424532157829
ACH-000169,-0.041687030948699993
ACH-000178,-0.510625100687
ACH-000182,-0.346237985523
ACH-000183,-0.29034018388599997
ACH-000188,-0.195361944423
ACH-000189,-0.254835113354
ACH-000190,-0.297804410914
ACH-000198,-0.269084702264
ACH-000204,-0.377296398815
ACH-000206,-0.151830590341
ACH-000207,-0.35841353784900004
ACH-000211,-0.20737315436
ACH-000215,-0.430303168353
ACH-000221,-0.293746888472
ACH-000222,-0.40602986388800005
