,PPP1R13L (10848)
ACH-000004,-0.181765003753
ACH-000007,0.13449314791
ACH-000009,-0.113485604276
ACH-000011,-0.165084458147
ACH-000012,0.0291488332578
ACH-000013,-0.238146702138
ACH-000014,-0.293021179745
ACH-000015,-0.1913657816
ACH-000017,-0.16918162801199998
ACH-000018,-0.261201158049
ACH-000019,-0.445398983395
ACH-000021,-0.120747167239
ACH-000022,-0.244542837372
ACH-000025,-0.147816305333
ACH-000028,-0.130607236858
ACH-000030,-0.316903095053
ACH-000035,-0.113610866339
ACH-000036,-0.357549629793
ACH-000037,-0.22303600113000002
ACH-000039,-0.162834996211
ACH-000040,-0.24751919641999998
ACH-000041,-0.304289925306
ACH-000042,-0.135394973796
ACH-000045,-0.173626158108
ACH-000047,-0.08776483969799999
ACH-000052,-0.0214243891058
ACH-000053,-0.320318411269
ACH-000054,-0.222187221372
ACH-000055,-0.264895334591
ACH-000060,-0.067420165005
ACH-000067,-0.408968932036
ACH-000070,-0.0675502316653
ACH-000075,-0.138882688671
ACH-000078,-0.079027715313
ACH-000082,-0.26274778073399996
ACH-000085,-0.358539869224
ACH-000086,-0.34860237202699995
ACH-000087,-0.0652991139375
ACH-000092,-0.32481424861499997
ACH-000095,-0.185092007116
ACH-000097,-0.08174728523519999
ACH-000098,-0.157027415654
ACH-000099,-0.16496827079600002
ACH-000108,-0.17611065672200002
ACH-000113,-0.355067263662
ACH-000115,-0.233502862839
ACH-000116,-0.12817408868
ACH-000118,-0.0219170571088
ACH-000120,-0.428286112839
ACH-000123,0.009210099479259999
ACH-000127,-0.20814060178899998
ACH-000128,-0.311844226455
ACH-000132,-0.23132523519200002
ACH-000133,-0.555010114275
ACH-000137,-0.43650094806699996
ACH-000138,-0.09210176024700001
ACH-000142,-0.39841856082800003
ACH-000143,-0.250786418432
ACH-000146,-0.07489265936919999
ACH-000148,-0.165250389635
ACH-000150,-0.228337188687
ACH-000152,-0.40223445077299996
ACH-000153,-0.0119720203095
ACH-000159,-0.156174978086
ACH-000160,0.199980597938
ACH-000163,-0.119029019793
ACH-000167,0.0701348326433
ACH-000168,-0.11392155070900001
ACH-000169,-0.31855231579300003
ACH-000178,-0.15611293047900002
ACH-000182,-0.0821782669069
ACH-000183,-0.22867212486699998
ACH-000188,-0.188066034939
ACH-000189,-0.152930605777
ACH-000190,0.0428652035977
ACH-000198,-0.21728152883699997
ACH-000204,-0.041615910049600004
ACH-000206,-0.35383742508199995
ACH-000207,-0.47401102591600003
ACH-000211,-0.157108915518
ACH-000215,-0.0675106586808
ACH-000221,-0.123406212207
ACH-000222,-0.22503364694699998
ACH-000223,-0.166827861354
ACH-000226,-0.176539280961
ACH-000227,-0.195844461654
ACH-000228,-0.35890984992200003
ACH-000231,-0.019493647197599998
ACH-000232,-0.169636194629
ACH-000233,-0.306075500482
ACH-000234,-0.334740101428
ACH-000235,-0.247090749952
ACH-000237,-0.189234320749
ACH-000238,0.026213239885
ACH-000243,-0.140122780921
ACH-000244,-0.240748738609
ACH-000246,-0.145862031369
ACH-000248,-0.0443397280861
ACH-000250,-0.342614237792
ACH-000251,-0.22111126183899998
ACH-000253,-0.28061929827300003
ACH-000255,-0.215885671011
ACH-000256,-0.186830040624
ACH-000257,-0.145246849788
ACH-000258,-0.0162258304832
ACH-000259,-0.186049352942
ACH-000260,-0.254127223755
ACH-000261,-0.199193967619
ACH-000262,-0.07863891397860001
ACH-000263,-0.318480572114
ACH-000264,-0.120583774734
ACH-000265,-0.193964299757
ACH-000266,-0.192834671924
ACH-000272,-0.220396772058
ACH-000273,-0.477541162711
ACH-000274,-0.279552268156
