,RAP2A (5911)
ACH-000004,-0.197924963286
ACH-000007,-0.326504839034
ACH-000009,-0.191289338919
ACH-000011,-0.179629210391
ACH-000012,-0.378521862632
ACH-000013,-0.46580766443099997
ACH-000014,-0.346631494186
ACH-000015,-0.221740293739
ACH-000017,-0.594652761747
ACH-000018,-0.24938228767200002
ACH-000019,-0.25188525881900004
ACH-000021,-0.227906794425
ACH-000022,-0.41723664991
ACH-000025,-0.454536576881
ACH-000028,-0.33462421019099997
ACH-000030,-0.291374213075
ACH-000035,-0.263710690782
ACH-000036,-0.292160473566
ACH-000037,-0.32215693855599997
ACH-000039,-0.306409547502
ACH-000040,-0.329117446368
ACH-000041,-0.473514213209
ACH-000042,-0.235513802464
ACH-000045,-0.239708949758
ACH-000047,-0.152367380952
ACH-000052,-0.182798122038
ACH-000053,-0.268601462491
ACH-000054,-0.439535335023
ACH-000055,-0.187952657797
ACH-000060,-0.553980899554
ACH-000067,-0.547232294567
ACH-000070,-0.270525170234
ACH-000075,-0.35956895770900005
ACH-000078,-0.578641777795
ACH-000082,-0.358200429587
ACH-000085,-0.510621492485
ACH-000086,-0.5290422383
ACH-000087,-0.37088568716799997
ACH-000092,-0.255795628206
ACH-000095,-0.35285125583800003
ACH-000097,-0.32516612709000003
ACH-000098,-0.160257247225
ACH-000099,-0.551283288517
ACH-000108,-0.23970735405299998
ACH-000113,-0.37825180428000005
ACH-000115,-0.521223399581
ACH-000116,-0.5165446485199999
ACH-000118,-0.318872985991
ACH-000120,-0.429495610519
ACH-000123,-0.29845578442
ACH-000127,-0.37783344720299994
ACH-000128,-0.40919866743600003
ACH-000132,-0.41345968155699997
ACH-000133,-0.241967428497
ACH-000137,-0.274014651718
ACH-000138,-0.17917754572900002
ACH-000142,-0.18817823910599998
ACH-000143,-0.09002996196860001
ACH-000146,-0.303881343213
ACH-000148,-0.177442582366
ACH-000150,-0.40185158669699994
ACH-000152,-0.436361228975
ACH-000153,-0.30406365662900003
ACH-000159,-0.5236701107639999
ACH-000160,-0.39159138416
ACH-000163,-0.352767775695
ACH-000167,-0.582885575839
ACH-000168,-0.564015181423
ACH-000169,-0.34489584311399996
ACH-000178,-0.383346585612
ACH-000182,-0.44902097981100003
ACH-000183,-0.258544922572
ACH-000188,-0.415891625196
ACH-000189,-0.136964268196
ACH-000190,-0.282263529607
ACH-000198,-0.383802418842
ACH-000204,-0.465328646114
ACH-000206,-0.362177231396
ACH-000207,-0.429940312357
ACH-000211,-0.302024747486
ACH-000215,-0.335485517475
ACH-000221,-0.22530342296999997
ACH-000222,-0.342731840871
ACH-000223,-0.34052168851
ACH-000226,-0.132269526385
ACH-000227,-0.53277214916
ACH-000228,-0.24614062664500003
ACH-000231,-0.331673925034
ACH-000232,-0.42856105814999995
ACH-000233,-0.415823580633
ACH-000234,-0.508326503775
ACH-000235,-0.307710965687
ACH-000237,-0.434289230654
ACH-000238,-0.252741843147
ACH-000243,-0.311269368596
ACH-000244,-0.127754614943
ACH-000246,-0.250821010278
ACH-000248,-0.370278225158
ACH-000250,-0.35645602873899995
ACH-000251,-0.224237725468
ACH-000253,-0.337505702829
ACH-000255,-0.310560354124
ACH-000256,-0.325187348259
ACH-000257,-0.03953183080309999
ACH-000258,-0.49641302792099995
ACH-000259,-0.251082011596
ACH-000260,-0.365615950313
ACH-000261,-0.387787153454
ACH-000262,-0.38994492619300003
ACH-000263,-0.31396520679900003
ACH-000264,-0.436994875325
ACH-000265,-0.378857131462
ACH-000266,-0.24318733953299998
ACH-000272,-0.467798617206
ACH-000273,-0.46749332006800004
ACH-000274,-0.44068790561099996
ACH-000277,-0.22471062549600002
ACH-000278,-0.48702438046700003
ACH-000279,-0.34726677119000005
ACH-000280,-0.305752011114
ACH-000281,-0.166279268831
ACH-000288,-0.501100779254
ACH-000291,-0.35784222490999995
ACH-000293,-0.247423828094
ACH-000294,-0.26776278589
ACH-000295,-0.0964631312287
ACH-000296,-0.40967456904700006
ACH-000302,-0.324457635308
ACH-000304,-0.455780919079
ACH-000307,-0.279047784016
ACH-000308,-0.277724866867
ACH-000310,-0.7232299876430001
ACH-000311,-0.177015983712
ACH-000312,-0.235175338037
ACH-000315,-0.20650199633699998
ACH-000316,-0.205349333347
ACH-000317,-0.09543000906960002
ACH-000318,-0.453564480449
ACH-000319,-0.385843523329
ACH-000320,-0.197858822144
ACH-000322,-0.257069122667
ACH-000323,-0.557914211086
ACH-000324,-0.252919622586
ACH-000329,-0.340817052471
ACH-000330,-0.366405546426
ACH-000331,-0.21922836508699997
ACH-000332,-0.313662169985
ACH-000334,-0.423440504782
ACH-000335,-0.23171257358800001
ACH-000336,-0.25161310885
ACH-000337,-0.45753662161700004
ACH-000339,-0.361718760928
ACH-000341,-0.350141966008
ACH-000348,-0.331847415925
ACH-000350,-0.221501828086
ACH-000352,-0.284163700572
ACH-000356,-0.281005905942
ACH-000361,-0.206489921818
ACH-000362,-0.31638898365400003
ACH-000363,-0.34614769964599995
ACH-000364,-0.325631256277
ACH-000365,-0.316807062756
ACH-000366,-0.34282965848499997
ACH-000368,-0.250792231077
ACH-000374,-0.409935652392
ACH-000375,-0.12393305086300001
ACH-000376,-0.35465059560400003
ACH-000381,-0.263621396372
ACH-000383,-0.41674979338699997
ACH-000387,-0.270257460334
ACH-000389,-0.56770990494
ACH-000390,-0.412729980043
ACH-000393,-0.476044834372
ACH-000395,-0.440364631956
ACH-000397,-0.417597986474
ACH-000401,-0.196242273129
ACH-000402,-0.501658003376
ACH-000403,-0.337738041116
ACH-000404,-0.302639544291
ACH-000406,-0.25283741111900004
ACH-000407,-0.0805872163765
ACH-000408,-0.268322146468
ACH-000410,-0.39731180759
ACH-000411,-0.352940596134
ACH-000414,-0.33345144993000003
ACH-000415,-0.460591338928
ACH-000416,-0.28049405750100004
ACH-000420,-0.308810761446
ACH-000421,-0.286607184448
ACH-000424,-0.641333108075
ACH-000425,-0.246515490181
ACH-000426,-0.220685270726
ACH-000427,-0.21799860878400001
ACH-000433,-0.328767526884
ACH-000436,-0.373693079313
ACH-000444,-0.237219196945
ACH-000445,-0.360292239768
ACH-000448,-0.289263254989
ACH-000450,-0.10588927136399999
ACH-000452,-0.307075128035
ACH-000454,-0.129137550153
ACH-000458,-0.41868383166699996
ACH-000459,-0.14854204420999997
ACH-000460,-0.365691287638
ACH-000461,-0.299456000409
ACH-000463,-0.33267431081099996
ACH-000464,-0.50586992965
ACH-000466,-0.366235551727
ACH-000467,-0.38659864757600004
ACH-000468,-0.325270604064
ACH-000469,-0.288280806166
ACH-000470,-0.18478614160999998
ACH-000471,-0.38102662299400003
ACH-000472,-0.375710959801
ACH-000473,-0.19459414943599998
ACH-000475,-0.281176135049
ACH-000476,-0.31630146784
ACH-000477,-0.13170438817900001
ACH-000480,-0.27013001240400003
ACH-000481,-0.501444874798
ACH-000483,-0.28166421695099997
ACH-000484,-0.54781458317
ACH-000485,-0.328004818594
ACH-000486,-0.321246261991
ACH-000487,-0.200460265816
ACH-000488,-0.30912485723099997
ACH-000490,-0.486361806646
ACH-000491,-0.35670452702600003
