,AP1S3 (130340)
ACH-000620,-0.103576441198
ACH-000621,-0.29541028656
ACH-000622,-0.367347618462
ACH-000623,-0.24283454163
ACH-000624,-0.246673088081
ACH-000627,-0.16744093828099998
ACH-000630,-0.218131427401
ACH-000632,-0.125852093034
ACH-000633,-0.233747174169
ACH-000637,-0.239632520873
ACH-000638,-0.10730167327
ACH-000646,-0.177390853325
ACH-000647,-0.237222444854
ACH-000648,-0.195884501791
ACH-000649,-0.189068863906
ACH-000651,-0.236667943663
ACH-000652,-0.343280636734
ACH-000653,-0.29455579238
ACH-000657,-0.22819591517299997
ACH-000658,-0.215599279058
ACH-000661,-0.182532680088
ACH-000662,-0.64570618368
ACH-000663,-0.00809456177607
ACH-000665,-0.43372578966499997
ACH-000671,-0.0254583031886
ACH-000673,-0.479477429256
ACH-000676,-0.331160509948
ACH-000677,-0.10889125160999999
ACH-000681,-0.337251324129
ACH-000682,-0.126290554694
ACH-000683,-0.228122293862
ACH-000684,-0.0922455699297
ACH-000688,-0.0923742862861
ACH-000693,-0.212437712704
ACH-000694,-0.226608174069
ACH-000695,-0.456785495863
ACH-000696,-0.24163053476100002
ACH-000697,-0.215635924818
ACH-000699,-0.389196526603
ACH-000701,-0.263408112198
ACH-000706,-0.09093926701539999
ACH-000711,-0.408708488707
ACH-000713,-0.51500186727
ACH-000714,-0.18067569680300002
ACH-000718,-0.232398364706
ACH-000720,-0.208151841329
ACH-000721,-0.280999082762
ACH-000724,-0.0740219779534
ACH-000725,-0.0430982132044
ACH-000732,-0.280340269667
ACH-000734,-0.08875738222400001
ACH-000735,-0.24750911652899998
ACH-000736,-0.113916439876
ACH-000738,-0.16666155031500002
ACH-000746,-0.46608822404100003
ACH-000747,-0.273192084504
ACH-000748,-0.23080890003199997
ACH-000753,-0.38218013658
ACH-000756,-0.393448664571
ACH-000757,-0.0415187858835
ACH-000758,-0.281369451262
ACH-000760,-0.257446888495
ACH-000763,-0.260033544148
ACH-000764,0.122507132708
