,GSDMA (284110)
ACH-000004,-0.520929140591
ACH-000007,-0.472409998747
ACH-000009,-0.815922063504
ACH-000011,-0.637846805958
ACH-000012,-0.674079082534
ACH-000013,-0.422457346019
ACH-000014,-0.440729701813
ACH-000015,-0.401826649367
ACH-000017,-0.921550956118
ACH-000018,-0.335428579335
ACH-000019,-0.731040597061
ACH-000021,-0.803615330028
ACH-000022,-0.48220240935500003
ACH-000025,-0.48212607408
ACH-000028,-0.591855300969
ACH-000030,-0.55671343964
ACH-000035,-0.58140807626
ACH-000036,-0.670497079373
ACH-000037,-0.481205061501
ACH-000039,-0.743631684245
ACH-000040,-0.709314487253
ACH-000041,-0.647526692025
ACH-000042,-0.431683162936
ACH-000045,-0.556785144402
ACH-000047,-0.494451629828
ACH-000052,-0.26204230815499996
ACH-000053,-0.518668520715
ACH-000054,-0.5219099528710001
ACH-000055,-0.537055140828
ACH-000060,-0.738161129154
ACH-000067,-0.674437208337
ACH-000070,-0.45777209387699996
ACH-000075,-0.751642187998
ACH-000078,-0.750649963504
ACH-000082,-0.6786899005120001
ACH-000085,-0.50459048485
ACH-000086,-0.476992782628
ACH-000087,-0.488164068464
ACH-000092,-0.639952944157
ACH-000095,-0.6924637365090001
ACH-000097,-0.623706735273
ACH-000098,-0.646086616965
ACH-000099,-0.620679346125
ACH-000108,-0.353593126811
ACH-000113,-0.557513209529
ACH-000115,-0.447649624775
ACH-000116,-0.631742013762
ACH-000118,-0.554693873979
ACH-000120,-0.41093934484399997
ACH-000123,-0.42992783914300003
ACH-000127,-0.541081303681
ACH-000128,-0.6278088013840001
ACH-000132,-0.597297637281
ACH-000133,-0.751164315767
ACH-000137,-0.556447452955
ACH-000138,-0.737982453663
ACH-000142,-0.695143818363
ACH-000143,-0.615090617726
ACH-000146,-0.45627564298999995
ACH-000148,-0.46922395162299996
ACH-000150,-0.632536418901
ACH-000152,-0.511307740158
ACH-000153,-0.555421978944
ACH-000159,-0.638446185637
ACH-000160,-0.542691258632
ACH-000163,-0.515332723965
ACH-000167,-0.602659695864
ACH-000168,-0.604750989975
ACH-000169,-0.5507783610629999
ACH-000178,-0.513521847277
ACH-000182,-0.658131856638
ACH-000183,-0.37597444972599997
ACH-000188,-0.5874286983129999
ACH-000189,-0.352771577852
ACH-000190,-0.522640663375
ACH-000198,-0.490369907158
ACH-000204,-0.43276846223399995
ACH-000206,-0.5825599460600001
ACH-000207,-0.5770897839
ACH-000211,-0.679683859313
