,CCNT2 (905)
ACH-000004,-0.229778553094
ACH-000007,-0.406110624052
ACH-000009,-0.309564992926
ACH-000011,-0.217524894604
ACH-000012,-0.110850314943
ACH-000013,-0.178585951877
ACH-000014,-0.220022011502
ACH-000015,-0.193720610806
ACH-000017,-0.270559780308
ACH-000018,-0.25644236900600004
ACH-000019,-0.10603550082999999
ACH-000021,-0.149167074667
ACH-000022,-0.123563534824
ACH-000025,-0.129289172514
ACH-000028,-0.29559652879799997
ACH-000030,-0.204644309009
ACH-000035,-0.313278351189
ACH-000036,-0.27232429471999997
ACH-000037,-0.24850234471299998
ACH-000039,-0.420872754041
ACH-000040,0.0884582075736
ACH-000041,-0.030418895712799997
ACH-000042,-0.204000711734
ACH-000045,-0.124639478761
ACH-000047,0.009317843035709998
ACH-000052,-0.292067353543
ACH-000053,-0.28410691309
ACH-000054,-0.265133440489
ACH-000055,-0.081597128197
ACH-000060,-0.0963677581247
ACH-000067,-0.207378195817
ACH-000070,-0.0807341757487
ACH-000075,-0.300257757445
ACH-000078,-0.23799495354400002
ACH-000082,-0.0953596982595
ACH-000085,-0.0503373573708
ACH-000086,-0.0941369705692
ACH-000087,0.129307921946
ACH-000092,-0.320449729212
ACH-000095,-0.339408605082
ACH-000097,-0.11414292461200001
ACH-000098,-0.31763090538600003
ACH-000099,-0.262959899128
ACH-000108,-0.191428875775
ACH-000113,-0.343064318911
ACH-000115,0.254953929895
ACH-000116,-0.10401436087000002
ACH-000118,-0.24013474122099998
ACH-000120,-0.20712816588799998
ACH-000123,-0.328771830247
ACH-000127,-0.10202637089
ACH-000128,-0.23594062579
ACH-000132,-0.19995611072900002
ACH-000133,-0.20870823263799998
ACH-000137,-0.266373527797
ACH-000138,-0.45448656971199997
ACH-000142,-0.043625022120199995
ACH-000143,-0.34325681688799997
ACH-000146,-0.15256662595599998
ACH-000148,-0.0343922989846
ACH-000150,-0.288275057154
ACH-000152,-0.241031326501
ACH-000153,-0.177198937965
ACH-000159,-0.141848761137
ACH-000160,0.09468957883089998
ACH-000163,-0.04872848331
ACH-000167,0.246441192331
ACH-000168,-0.381816436852
ACH-000169,-0.0821813207334
ACH-000178,-0.16737807460999998
ACH-000182,-0.268812553468
ACH-000183,-0.25828320628699997
ACH-000188,-0.0689612020905
ACH-000189,-0.46474146897299995
ACH-000190,0.13058553112500002
