,CYP26C1 (340665)
ACH-000461,0.0192975923881
ACH-000463,-0.202201511867
ACH-000464,-0.16717114557
ACH-000466,-0.225264463743
ACH-000467,-0.203668301386
ACH-000468,-0.04392758920530001
ACH-000469,-0.270333531019
ACH-000470,-0.043273191001300004
ACH-000471,-0.202239223715
ACH-000472,-0.36748580224
ACH-000473,-0.107391532829
ACH-000475,-0.1058631436
ACH-000476,-0.224792613116
ACH-000477,-0.014567087827700002
ACH-000480,0.061963478271500005
ACH-000481,-0.238146929073
ACH-000483,-0.212388541772
ACH-000484,-0.00559828840341
ACH-000485,-0.38058926506800006
ACH-000486,-0.19854051966800002
ACH-000487,-0.25096289257300003
ACH-000488,-0.206225327579
ACH-000490,-0.268351160197
ACH-000491,-0.22282047663899998
ACH-000495,-0.390586498752
ACH-000496,-0.320248166133
ACH-000499,-0.26332916074499996
ACH-000500,-0.849709264565
ACH-000502,-0.08068357748660002
ACH-000503,-0.140858583796
ACH-000505,-0.335854013921
ACH-000507,-0.290743364143
ACH-000510,-0.145760045679
ACH-000511,-0.248971012357
ACH-000512,-0.510565365
ACH-000516,-0.184351917557
ACH-000517,-0.166742616307
ACH-000518,-0.190056005238
ACH-000520,-0.244660496051
ACH-000521,-0.298477966327
ACH-000522,-0.11270113798
ACH-000524,-0.0457621204129
ACH-000527,-0.215095677692
ACH-000528,-0.22995728714299998
ACH-000537,-0.334409772641
ACH-000541,-0.262912291194
ACH-000542,-0.248934727732
ACH-000544,-0.361699166384
ACH-000545,-0.5031760141439999
ACH-000547,-0.152913787282
ACH-000548,-0.192445092348
ACH-000549,-0.283564357038
ACH-000550,-0.260605182786
ACH-000552,-0.23010516647799997
ACH-000556,-0.362893301026
ACH-000557,-0.281051555707
ACH-000570,-0.158884494702
ACH-000571,-0.184555312174
ACH-000573,-0.145344524015
ACH-000576,-0.25180595045000004
ACH-000580,-0.280352640303
ACH-000584,-0.294657478335
ACH-000585,-0.18801578922200002
ACH-000588,-0.11191480707800001
ACH-000589,-0.16601603253799999
ACH-000591,-0.39111729277400004
ACH-000593,-0.23505543761300002
ACH-000600,-0.348579618729
ACH-000601,-0.114464235891
ACH-000604,-0.411905285858
ACH-000605,-0.0995478305528
ACH-000606,-0.15488851115399999
ACH-000608,-0.21089394316399998
ACH-000614,-0.0623596733775
ACH-000616,-0.394602143679
ACH-000618,-0.251527795292
ACH-000619,-0.14485458687799999
ACH-000620,-0.18376047965700001
ACH-000621,-0.156342457905
ACH-000622,-0.154420463992
ACH-000623,-0.284997029014
ACH-000624,-0.178552723186
ACH-000627,-0.159212230034
ACH-000630,-0.241035690068
