,TNKS2 (80351)
ACH-000004,-0.0751740445086
ACH-000007,0.023027781458099996
ACH-000009,-0.267260847628
ACH-000011,-0.19432693149
ACH-000012,-0.0500113201564
ACH-000013,-0.10254702185100001
ACH-000014,-0.11043444000199999
ACH-000015,-0.007301654189899999
ACH-000017,-0.11025484080999999
ACH-000018,-0.0463421407207
ACH-000019,0.120269391667
ACH-000021,0.081520150507
ACH-000022,-0.07931512335530001
ACH-000025,-0.30826952327
ACH-000028,-0.036511868760300006
ACH-000030,-0.143340552705
ACH-000035,-0.20891263016199998
ACH-000036,-0.0026098571516
ACH-000037,0.24941798682500002
ACH-000039,0.08024132300160002
ACH-000040,-0.162988521198
ACH-000041,-0.109707399476
ACH-000042,-0.203223799449
ACH-000045,-0.121042706392
ACH-000047,-0.10728643190199999
ACH-000052,-0.063105257338
ACH-000053,0.0421400392535
ACH-000054,-0.035684552722900005
ACH-000055,-0.08621555394489999
ACH-000060,-0.512897517546
ACH-000067,-0.217612514588
ACH-000070,0.027723883691099998
ACH-000075,0.039622496776
ACH-000078,-0.11257023027799999
ACH-000082,-0.030257329078000002
ACH-000085,0.154914475015
ACH-000086,-0.11687682183499999
ACH-000087,-0.0981801434459
ACH-000092,0.08483618918369999
ACH-000095,-0.0784419990736
ACH-000097,0.0100084281484
ACH-000098,0.0224927332808
ACH-000099,-0.108509547273
ACH-000108,0.132071637588
ACH-000113,-0.0951475913073
ACH-000115,-0.131159839187
ACH-000116,-0.057154561393800006
ACH-000118,-0.028799384780700002
ACH-000120,-0.061250781030400006
ACH-000123,-0.09494305560739999
ACH-000127,-0.104290004504
ACH-000128,0.029344796927400003
ACH-000132,0.027019438798000003
ACH-000133,-0.116880789594
ACH-000137,0.0106080584243
ACH-000138,-0.159676446954
ACH-000142,-0.108923432057
ACH-000143,-0.118612666562
ACH-000146,-0.010148100361000001
ACH-000148,-0.0407254109234
ACH-000150,-0.16720882296599998
ACH-000152,-0.126139100538
ACH-000153,0.164974600077
ACH-000159,0.028693610495599996
ACH-000160,0.18139501542300002
ACH-000163,-0.19894285985100002
ACH-000167,0.15911564654000002
ACH-000168,-0.344474828447
ACH-000169,-0.0491374782764
ACH-000178,-0.08136845976639999
ACH-000182,-0.25060961057
ACH-000183,-0.313288471842
ACH-000188,-0.022917799374700003
ACH-000189,0.23396692303000002
ACH-000190,0.360379575817
ACH-000198,0.0375718768518
ACH-000204,0.00596248162355
ACH-000206,-0.00947776935361
ACH-000207,-0.0613965917899
ACH-000211,-0.1136221801
ACH-000215,-0.058821102353
ACH-000221,-0.08903813364119999
ACH-000222,-0.0686963928156
ACH-000223,-0.0952824168252
ACH-000226,-0.0888736874024
ACH-000227,-0.0131125238221
ACH-000228,-0.16947483433200003
ACH-000231,-0.115669393917
ACH-000232,0.034398437778199994
ACH-000233,-0.101368573872
ACH-000234,-0.09080820508919998
