,TCEB3CL (728929)
ACH-000004,-0.379639163828
ACH-000007,-0.9124401741339999
ACH-000009,-0.652784940457
ACH-000011,-0.739498297803
ACH-000012,-0.637167736845
ACH-000013,-0.566488835317
ACH-000014,-0.7701815972339999
ACH-000015,-0.792113334111
ACH-000017,-0.551737361466
ACH-000018,-0.687521086576
ACH-000019,-0.75505240939
ACH-000021,-0.5700374508680001
ACH-000022,-0.492790952864
ACH-000025,-0.8289328750180001
ACH-000028,-0.570284756907
ACH-000030,-0.77763877837
ACH-000035,-0.536334493051
ACH-000036,-0.397773018505
ACH-000037,-0.574125229223
ACH-000039,-0.6726144886830001
ACH-000040,-0.739214894954
ACH-000041,-0.635587806141
ACH-000042,-0.608813236291
ACH-000045,-0.611405957037
ACH-000047,-0.579918972341
ACH-000052,-0.7832862559880001
ACH-000053,-0.500082763391
ACH-000054,-0.795082984456
ACH-000055,-0.7882981598980001
ACH-000060,-0.5303391085
ACH-000067,-0.515973341752
ACH-000070,-0.772986281366
ACH-000075,-0.410931420126
ACH-000078,-0.522638110238
ACH-000082,-0.535583786161
ACH-000085,-0.7022200139129999
ACH-000086,-0.578103075061
ACH-000087,-0.8582512902089999
ACH-000092,-0.45976462842699994
ACH-000095,-0.54813182728
ACH-000097,-0.802959148468
ACH-000098,-0.591676664791
ACH-000099,-0.7151888881749999
ACH-000108,-0.496932073051
ACH-000113,-0.9477339568809999
ACH-000115,-0.644821382877
ACH-000116,-0.671043131707
ACH-000118,-0.49793220853299996
ACH-000120,-0.6822571427240001
ACH-000123,-0.79216348094
ACH-000127,-0.691053147105
ACH-000128,-0.421761991699
ACH-000132,-0.844217745372
ACH-000133,-0.42754447386699995
ACH-000137,-0.500326414644
ACH-000138,-0.836399188382
ACH-000142,-0.5710259449189999
ACH-000143,-0.634412990846
ACH-000146,-0.648244286029
ACH-000148,-0.539216350457
ACH-000150,-0.590591650115
ACH-000152,-0.552093244873
ACH-000153,-0.913731770792
ACH-000159,-0.7063177471750001
ACH-000160,0.034128161195400006
ACH-000163,-0.7125345662970001
ACH-000167,-0.5365679713279999
ACH-000168,-1.00683813192
ACH-000169,-0.737390148497
ACH-000178,-0.758888154963
ACH-000182,-0.7061130913279999
ACH-000183,-0.5360255415649999
ACH-000188,-0.616011401899
ACH-000189,-1.0337217660299998
ACH-000190,-0.99465970975
ACH-000198,-0.636973811675
ACH-000204,-0.7633368289579999
ACH-000206,-0.563371299693
ACH-000207,-0.19557113116500002
ACH-000211,-0.869456347976
ACH-000215,-0.854580057561
ACH-000221,-0.7248860707250001
ACH-000222,-0.801073303941
ACH-000223,-0.7476694155529999
ACH-000226,-0.50705836829
ACH-000227,-0.43555164890500003
ACH-000228,-0.664609893053
ACH-000231,-0.44704510123700003
ACH-000232,-0.5502028078369999
ACH-000233,-0.663451277957
