,SYNDIG1L (646658)
ACH-000265,0.0263547800477
ACH-000266,-0.147126296804
ACH-000272,-0.130426462299
ACH-000273,-0.114721751808
ACH-000274,-0.272396088449
ACH-000277,-0.223464469324
ACH-000278,-0.240380847778
ACH-000279,-0.168011971173
ACH-000280,-0.206030489063
ACH-000281,-0.118221087057
ACH-000288,-0.195172691298
ACH-000291,-0.045822695519000006
ACH-000293,-0.230794005254
ACH-000294,-0.07772247932630001
ACH-000295,-0.235637234005
ACH-000296,-0.111735811645
ACH-000302,0.0484186332895
ACH-000304,-0.274931326777
ACH-000307,-0.174908398212
ACH-000308,-0.0232007020788
ACH-000310,-0.0806408973477
ACH-000311,-0.247837680031
ACH-000312,-0.023621278258799998
ACH-000315,-0.31547745002099997
ACH-000316,-0.04873272515319999
ACH-000317,-0.178982355251
ACH-000318,0.01589285667
ACH-000319,-0.0887117341608
ACH-000320,-0.0326555949329
ACH-000322,-0.26952409411999995
ACH-000323,-0.0683031265598
ACH-000324,-0.163161065149
ACH-000329,-0.197433331046
ACH-000330,-0.07495448287010001
ACH-000331,-0.139654548637
ACH-000332,-0.160813139223
ACH-000334,-0.242881391562
ACH-000335,-0.11231931116699999
ACH-000336,-0.13567649291300002
ACH-000337,-0.13981635644999998
ACH-000339,-0.25197577730799997
ACH-000341,0.0777597408473
ACH-000348,-0.140079606943
ACH-000350,-0.147158498341
ACH-000352,0.0650370611453
ACH-000356,-0.24484418319
ACH-000361,-0.029347675527800002
ACH-000362,-0.124321560242
ACH-000363,-0.37610920900300004
ACH-000364,0.0593038158887
ACH-000365,-0.12659515088099998
ACH-000366,-0.0711393962847
ACH-000368,-0.27137904963599996
ACH-000374,0.0895382943364
ACH-000375,-0.341910087037
ACH-000376,-0.126970602073
ACH-000381,-0.261338215071
ACH-000383,-0.201068710622
ACH-000387,0.016072162677100002
ACH-000389,-0.24834422077100002
ACH-000390,-0.061616333922499995
ACH-000393,-0.17285994729600002
ACH-000395,-0.205607118393
ACH-000397,-0.151215835275
ACH-000401,-0.0744932140446
ACH-000402,0.015578086365700001
ACH-000403,-0.24200931426999997
ACH-000404,-0.039614523983
ACH-000406,-0.139848830764
ACH-000407,-0.171310629907
ACH-000408,-0.211244691387
ACH-000410,-0.156806955666
ACH-000411,-0.06624871812369999
ACH-000414,-0.09347142490869999
ACH-000415,-0.131047741774
ACH-000416,-0.0163680114475
ACH-000420,-0.12433100457599999
ACH-000421,0.0603115341758
ACH-000424,0.0522534332325
ACH-000425,-0.130422654966
ACH-000426,0.12382878369000001
ACH-000427,-0.38718302129
ACH-000433,-0.17413775775600002
ACH-000436,-0.162172304711
ACH-000444,-0.24820036405499998
ACH-000445,-0.0746917589665
ACH-000448,-0.148827822798
ACH-000450,-0.19355722105300002
ACH-000452,-0.20568189965599998
ACH-000454,-0.195260119862
ACH-000458,-0.218326783141
ACH-000459,-0.134963117519
ACH-000460,-0.0760384032443
ACH-000461,0.20345564552099998
ACH-000463,0.0235530768629
ACH-000464,-0.174294457715
ACH-000466,-0.264654397863
ACH-000467,-0.265054757706
ACH-000468,-0.19186601053
ACH-000469,-0.25865034533000003
ACH-000470,0.0716703944755
ACH-000471,-0.04053629955119999
ACH-000472,-0.183193243597
ACH-000473,0.113701565438
ACH-000475,-0.128984646436
ACH-000476,-0.18090387615800002
ACH-000477,-0.10815691794500001
ACH-000480,-0.307555674847
ACH-000481,-0.186518210053
ACH-000483,-0.202062579102
ACH-000484,-0.114978174024
ACH-000485,-0.217916442934
ACH-000486,-0.051833928202900004
ACH-000487,0.0107572602684
ACH-000488,-0.211985496121
ACH-000490,-0.25499602859000003
ACH-000491,-0.310957040462
ACH-000495,-0.204007541754
ACH-000496,-0.181271685535
ACH-000499,-0.213739120968
ACH-000500,0.0512003569541
ACH-000502,-0.09499122187100001
ACH-000503,0.08579788492460001
ACH-000505,-0.219833398932
ACH-000507,-0.139428892827
ACH-000510,-0.031656912940700006
ACH-000511,-0.170299697751
ACH-000512,-0.182357106961
ACH-000516,0.10446113951199999
ACH-000517,-0.24693437747400002
ACH-000518,-0.174301551178
ACH-000520,-0.04476972077909999
ACH-000521,-0.090475918218
ACH-000522,-0.012621052483899999
