,SYNC (81493)
ACH-000004,-0.228091276242
ACH-000007,-0.0219004125183
ACH-000009,-0.0827440021581
ACH-000011,0.19895054186500002
ACH-000012,-0.0052547781875
ACH-000013,-0.10779259277
ACH-000014,-0.00387578238097
ACH-000015,-0.0542019061247
ACH-000017,0.0685214997533
ACH-000018,0.033280140481599996
ACH-000019,-0.211767689671
ACH-000021,0.020387384617299997
ACH-000022,-0.019979298147
ACH-000025,-0.13761978314099998
ACH-000028,0.025775233265999998
ACH-000030,0.056512140642400004
ACH-000035,-0.291761516635
ACH-000036,0.10245551125800001
ACH-000037,-0.0049057543868
ACH-000039,-0.060755882832500004
ACH-000040,-0.0142726351259
ACH-000041,-0.00876766482337
ACH-000042,0.045958729695499995
ACH-000045,-0.164138248186
ACH-000047,-0.20479905432599999
ACH-000052,-0.37440413781599996
ACH-000053,-0.0019897928575399997
ACH-000054,-0.121478651272
ACH-000055,-0.18394291243799998
ACH-000060,-0.062256536789600005
ACH-000067,-0.106643285229
ACH-000070,-0.0412555153939
ACH-000075,-0.09929840160140001
ACH-000078,-0.151691550098
ACH-000082,-0.0229647141067
ACH-000085,-0.170057133006
ACH-000086,-0.060256850826000005
ACH-000087,0.147736695745
ACH-000092,-0.2627086766
ACH-000095,-0.0575973979276
ACH-000097,-0.00945968382208
ACH-000098,0.09163486538389999
ACH-000099,-0.00496642250067
ACH-000108,0.028197035416200004
ACH-000113,0.0629459300486
ACH-000115,-0.034775583407300005
ACH-000116,-0.0786671699464
ACH-000118,-0.0167252063351
ACH-000120,-0.167349590613
ACH-000123,-0.0987271482459
ACH-000127,-0.056548227225000004
ACH-000128,-0.254479773385
ACH-000132,-0.0506432657345
ACH-000133,-0.0391815060634
ACH-000137,-0.19021234434300002
ACH-000138,-0.0828915714028
ACH-000142,-0.142376350087
ACH-000143,0.00185150727194
ACH-000146,-0.0955952383574
ACH-000148,0.035542982383
ACH-000150,-0.31542088142200003
ACH-000152,-0.138200832583
ACH-000153,-0.23064439403200002
ACH-000159,0.0869278853503
ACH-000160,-0.167444818556
ACH-000163,-0.009122134134540001
ACH-000167,-0.19527213872000002
