,SUPT6H (6830)
ACH-000004,-1.7718417855200002
ACH-000007,-1.38013085842
ACH-000009,-1.6352541599200001
ACH-000011,-1.60517276817
ACH-000012,-1.65338559196
ACH-000013,-1.6797869955899998
ACH-000014,-1.8720810582900003
ACH-000015,-1.4196419469400001
ACH-000017,-1.54200412256
ACH-000018,-1.52341929238
ACH-000019,-1.7910396488299998
ACH-000021,-1.5385662185299998
ACH-000022,-1.7043666338699999
ACH-000025,-1.67880870996
ACH-000028,-1.4544786128799998
ACH-000030,-1.7033837578400002
ACH-000035,-1.4946463090200002
ACH-000036,-1.4673128105700002
ACH-000037,-2.0486410680000002
ACH-000039,-1.3230328662200002
ACH-000040,-1.6303824158899998
ACH-000041,-1.5232997160799997
ACH-000042,-1.43829534092
ACH-000045,-1.7248072466099997
ACH-000047,-1.9137649153
ACH-000052,-1.4171700464399999
ACH-000053,-1.7772504663900004
ACH-000054,-1.57148105581
ACH-000055,-1.3630519841600002
ACH-000060,-1.52226421023
ACH-000067,-1.1626240321799999
ACH-000070,-1.60597350484
ACH-000075,-1.6000739470200003
ACH-000078,-1.67019859678
ACH-000082,-1.74041407651
ACH-000085,-1.58696603593
ACH-000086,-1.58367295613
ACH-000087,-1.43484613662
ACH-000092,-1.33394963102
ACH-000095,-1.58048358158
ACH-000097,-1.55582295913
ACH-000098,-1.60450730179
ACH-000099,-1.7701739420400002
ACH-000108,-1.4970164867200002
ACH-000113,-1.88858771132
ACH-000115,-1.76097898723
ACH-000116,-1.48375051589
ACH-000118,-1.56495842099
ACH-000120,-1.48036521
ACH-000123,-1.5414658672
ACH-000127,-1.6527867119
ACH-000128,-1.53388448944
ACH-000132,-1.5420398919100002
ACH-000133,-1.5207193009600002
ACH-000137,-1.7096958647299998
ACH-000138,-1.6268117578499999
ACH-000142,-1.53757500329
ACH-000143,-1.63366627613
ACH-000146,-1.6466946489899998
ACH-000148,-1.8216288345700002
ACH-000150,-1.4670889152899997
ACH-000152,-1.56954202277
ACH-000153,-1.36633100241
ACH-000159,-1.45327031574
ACH-000160,-1.1980966178899999
ACH-000163,-1.08394541181
ACH-000167,-1.46170806482
ACH-000168,-1.4317359756999999
ACH-000169,-1.51460810335
ACH-000178,-1.61149314357
ACH-000182,-1.67062927438
ACH-000183,-1.6607659475
ACH-000188,-1.6086362095
ACH-000189,-1.51092790448
ACH-000190,-1.17785271071
ACH-000198,-1.7090151462399998
ACH-000204,-1.65817862357
