,TTYH2 (94015)
ACH-000004,-0.289738804467
ACH-000007,0.053760438370599996
ACH-000009,-0.173141129622
ACH-000011,-0.281748095332
ACH-000012,-0.24730313109299998
ACH-000013,-0.28788313503199997
ACH-000014,-0.193739331994
ACH-000015,-0.22795947889499998
ACH-000017,-0.35384305086900003
ACH-000018,-0.076674534789
ACH-000019,-0.6259010081949999
ACH-000021,-0.07227004034260001
ACH-000022,-0.250773395235
ACH-000025,-0.322847343392
ACH-000028,-0.25947233501
ACH-000030,-0.0874830544575
ACH-000035,-0.045023207981099996
ACH-000036,-0.24037046796999997
ACH-000037,-0.0440545899619
ACH-000039,-0.2227046781
ACH-000040,-0.322552120711
ACH-000041,-0.194779473067
ACH-000042,-0.34004771208400003
ACH-000045,-0.293029776013
ACH-000047,-0.23731050721500002
ACH-000052,-0.309842454091
ACH-000053,-0.10910736569499999
ACH-000054,-0.24025037640500002
ACH-000055,-0.062484873612900005
ACH-000060,-0.3279885757
ACH-000067,-0.244936271146
ACH-000070,-0.209522835444
ACH-000075,-0.207901824895
ACH-000078,-0.23591619862500002
ACH-000082,-0.192331922094
ACH-000085,-0.211644631662
ACH-000086,-0.09445244520950001
ACH-000087,-0.254039888473
ACH-000092,-0.068567239096
ACH-000095,-0.16420140114600001
ACH-000097,-0.131372087801
ACH-000098,-0.00515786674276
ACH-000099,-0.114491146367
ACH-000108,-0.145397609939
ACH-000113,-0.248633271268
ACH-000115,-0.127480713685
ACH-000116,-0.08877958890399999
ACH-000118,-0.248673391311
ACH-000120,-0.25426837970800004
ACH-000123,-0.109193942237
ACH-000127,-0.193505031665
ACH-000128,-0.116633297072
ACH-000132,-0.28630941076
ACH-000133,-0.22096835958299998
ACH-000137,-0.226086965247
ACH-000138,-0.206368214357
ACH-000142,-0.24164862706
ACH-000143,-0.423328810951
ACH-000146,-0.170543525481
ACH-000148,0.0257710166707
ACH-000150,-0.169377932583
ACH-000152,-0.314705570792
ACH-000153,-0.33436939356199996
ACH-000159,-0.446829268114
ACH-000160,0.107748239727
ACH-000163,-0.19392374758
ACH-000167,-0.296108277246
ACH-000168,-0.318957450461
ACH-000169,-0.308726742128
ACH-000178,-0.372420017945
ACH-000182,-0.154687587318
ACH-000183,-0.27528515149099997
ACH-000188,-0.204260358919
ACH-000189,-0.104304448888
ACH-000190,-0.20357359423799998
ACH-000198,-0.150974633307
ACH-000204,0.025507611227700004
ACH-000206,0.259984443931
ACH-000207,-0.0462051297021
ACH-000211,-0.26566307688900004
ACH-000215,-0.202139804599
ACH-000221,-0.20287238745299999
ACH-000222,-0.11639165067900001
ACH-000223,-0.360200230648
ACH-000226,-0.215088917704
ACH-000227,-0.317332078493
ACH-000228,-0.06647972582690001
ACH-000231,-0.230922195108
ACH-000232,-0.00983201090707
ACH-000233,-0.164339993162
ACH-000234,-0.103198731202
ACH-000235,-0.154634095679
ACH-000237,-0.0602539969654
ACH-000238,-0.243124421796
ACH-000243,-0.0670625480947
ACH-000244,-0.44963780362499994
ACH-000246,-0.204533102878
ACH-000248,-0.313213043338
ACH-000250,-0.314057866813
ACH-000251,-0.355867395188
ACH-000253,-0.239966604464
ACH-000255,-0.419135924428
ACH-000256,-0.200688538248
ACH-000257,-0.293332275407
ACH-000258,0.111136027372
ACH-000259,-0.22846140080400001
ACH-000260,-0.322379084231
ACH-000261,-0.350275228632
ACH-000262,-0.201604957757
ACH-000263,-0.652133755387
ACH-000264,-0.256002388233
ACH-000265,-0.04595012523030001
ACH-000266,-0.1452566636
ACH-000272,-0.23666924152199997
ACH-000273,-0.0517423394778
ACH-000274,-0.07327084932610001
ACH-000277,-0.20320255439399998
ACH-000278,-0.0983924401134
ACH-000279,-0.304459375488
ACH-000280,-0.234253680015
ACH-000281,-0.488990844546
ACH-000288,-0.26021556697299997
ACH-000291,-0.07287355249710001
ACH-000293,0.022078178653199998
ACH-000294,0.00595797922978
ACH-000295,-0.133744249362
ACH-000296,-0.475791443179
ACH-000302,-0.138985598801
ACH-000304,-0.013867659969799998
ACH-000307,-0.37155849297399995
ACH-000308,-0.0874877092113
ACH-000310,-0.200889593561
ACH-000311,-0.197292992745
ACH-000312,-0.118904271128
ACH-000315,-0.036556850721999996
ACH-000316,-0.450754177293
ACH-000317,-0.25773889119300003
ACH-000318,-0.12042982000199999
ACH-000319,-0.39045668828599994
ACH-000320,-0.10824585901599999
ACH-000322,-0.305457618462
ACH-000323,-0.307458688877
ACH-000324,-0.17510549425000002
ACH-000329,-0.203647745531
ACH-000330,-0.143286918574
ACH-000331,-0.0820261052642
ACH-000332,-0.14897497238399998
ACH-000334,-0.182549671296
ACH-000335,-0.301856593984
ACH-000336,-0.290378777654
ACH-000337,-0.0843517168482
ACH-000339,-0.08037050842289999
ACH-000341,-0.11453246831700001
ACH-000348,-0.25904201014
ACH-000350,-0.20432023151
ACH-000352,-0.4869546630899999
ACH-000356,-0.332671715553
ACH-000361,-0.12404849147199999
ACH-000362,-0.17443707147999998
ACH-000363,-0.164338226777
ACH-000364,-0.244433864642
ACH-000365,-0.14348448462000002
ACH-000366,-0.176770855722
ACH-000368,-0.215360779462
ACH-000374,-0.163147607799
ACH-000375,-0.333500979441
ACH-000376,-0.173554506807
ACH-000381,-0.44751642263499997
ACH-000383,-0.21633173587299998
ACH-000387,-0.228526558072
ACH-000389,-0.358296179428
ACH-000390,-0.263270506572
ACH-000393,-0.133645029936
ACH-000395,-0.297319333345
ACH-000397,-0.19177223295499998
ACH-000401,-0.0829718456463
ACH-000402,-0.29861798795600003
ACH-000403,-0.336363501617
ACH-000404,-0.0335129107508
ACH-000406,-0.165975511025
ACH-000407,-0.24358192030499998
ACH-000408,0.016742957332
ACH-000410,-0.16962098513
ACH-000411,-0.22705570202300002
ACH-000414,0.0196759684335
ACH-000415,-0.133499509016
ACH-000416,-0.19000505776299997
ACH-000420,-0.201015903026
ACH-000421,-0.33539341694200003
ACH-000424,-0.007716458073359999
ACH-000425,-0.18243446547699999
ACH-000426,-0.34396734113899996
ACH-000427,-0.23296357853799998
ACH-000433,-0.249649920552
ACH-000436,-0.163077187882
ACH-000444,-0.311029625987
ACH-000445,-0.661774193334
ACH-000448,0.05144560856319999
ACH-000450,-0.22772617705899997
ACH-000452,-0.15776640312999998
ACH-000454,-0.0223299699122
ACH-000458,-0.24945671932900002
ACH-000459,0.00047394232619900003
ACH-000460,-0.287361479666
ACH-000461,-0.27959835858800003
ACH-000463,-0.260560620044
ACH-000464,-0.137331016439
ACH-000466,-0.052396980948
ACH-000467,-0.301748104471
ACH-000468,-0.467343937567
ACH-000469,-0.123932906621
ACH-000470,-0.377236553845
ACH-000471,-0.205771082993
ACH-000472,-0.239356565312
ACH-000473,-0.314779507209
ACH-000475,-0.167851149427
ACH-000476,-0.30942484786999996
ACH-000477,-0.372909650987
ACH-000480,-0.242704191164
ACH-000481,-0.20204490239599998
ACH-000483,-0.335750802981
ACH-000484,0.0888648485774
ACH-000485,-0.333041035418
ACH-000486,-0.0812292051412
ACH-000487,-0.12908043246099998
ACH-000488,-0.24444982196400003
