,RAET1E (135250)
ACH-000004,0.14351683142000002
ACH-000007,0.135552794792
ACH-000009,0.230942593751
ACH-000011,0.207267100718
ACH-000012,0.14038140297
ACH-000013,0.24208573290899998
ACH-000014,0.293033395648
ACH-000015,0.225388862676
ACH-000017,0.26728174749
ACH-000018,0.215023657595
ACH-000019,0.26154905967500003
ACH-000021,-0.0550560634076
ACH-000022,0.26342185693000003
ACH-000025,0.314110826459
ACH-000028,0.117340074564
ACH-000030,0.246167408451
ACH-000035,0.151041670035
ACH-000036,0.147021365721
ACH-000037,0.39986305716700005
ACH-000039,-0.00148890371533
ACH-000040,0.0353956530381
ACH-000041,0.134809708575
ACH-000042,0.0350095891929
ACH-000045,0.198475200779
ACH-000047,0.231208106734
ACH-000052,0.029093935064500004
ACH-000053,0.136074781988
ACH-000054,0.0848754184233
ACH-000055,0.022273515032599996
ACH-000060,0.09448939887880001
ACH-000067,0.122975666765
ACH-000070,0.072352177507
ACH-000075,0.216960810422
ACH-000078,0.163161512615
ACH-000082,0.205641064946
ACH-000085,0.17395449923300002
ACH-000086,0.0942478867191
ACH-000087,0.298957953444
ACH-000092,0.132976160626
ACH-000095,0.257472112051
ACH-000097,0.107105095878
ACH-000098,0.155635178067
ACH-000099,0.24473753973200002
ACH-000108,0.07916207655469999
ACH-000113,0.26379553107500003
ACH-000115,0.26846165524099996
ACH-000116,0.191624403735
ACH-000118,0.12847278177000002
ACH-000120,0.364558079754
ACH-000123,0.186603237419
ACH-000127,0.256797220757
ACH-000128,0.0289272592955
ACH-000132,0.136977050176
ACH-000133,0.180968664076
ACH-000137,0.34448339452699994
ACH-000138,0.308939855641
ACH-000142,0.205814493609
ACH-000143,0.276974597717
ACH-000146,0.112321683576
ACH-000148,0.210700420577
ACH-000150,0.28596701036999994
ACH-000152,0.0904053177358
ACH-000153,0.260314064437
ACH-000159,0.332900604454
ACH-000160,0.111548962822
ACH-000163,0.17329620152300002
ACH-000167,0.300958910942
ACH-000168,0.23244508951600001
ACH-000169,0.287834871767
ACH-000178,0.15599736612
ACH-000182,0.23032350515099997
ACH-000183,0.134348068456
ACH-000188,0.277660827564
ACH-000189,0.07164977785410001
ACH-000190,0.22298057910900002
ACH-000198,0.138439762991
ACH-000204,0.457041441979
ACH-000206,0.0379804868673
ACH-000207,0.175969457513
ACH-000211,0.189991405286
ACH-000215,0.19714027494300002
ACH-000221,0.148026045617
ACH-000222,0.25955705965799997
ACH-000223,0.20116011834000003
