,RPS27A (6233)
ACH-000004,-1.4486683520899999
ACH-000007,-1.40650727963
ACH-000009,-1.11903615245
ACH-000011,-1.39242869636
ACH-000012,-1.18104609053
ACH-000013,-1.2604885770999998
ACH-000014,-1.4825678042299997
ACH-000015,-1.30950545278
ACH-000017,-1.27982653634
ACH-000018,-1.16031656482
ACH-000019,-1.0669871045100001
ACH-000021,-1.45156883984
ACH-000022,-1.15919448389
ACH-000025,-1.3501296652399999
ACH-000028,-1.4082585836700001
ACH-000030,-1.24340761919
ACH-000035,-1.18370975651
ACH-000036,-1.4434236131799998
ACH-000037,-1.96740086583
ACH-000039,-1.20400729279
ACH-000040,-1.37805311758
ACH-000041,-1.33903773935
ACH-000042,-1.3346936845100001
ACH-000045,-1.74374962037
ACH-000047,-1.08886891645
ACH-000052,-1.13486377987
ACH-000053,-1.31412382016
ACH-000054,-1.5833880175600001
ACH-000055,-1.5747258386200003
ACH-000060,-1.17123768605
ACH-000067,-1.2957509792
ACH-000070,-1.48397535055
ACH-000075,-1.79625427787
ACH-000078,-1.2421548139299998
ACH-000082,-1.33880345182
ACH-000085,-1.47825338669
ACH-000086,-1.3206705486299999
ACH-000087,-1.32365698402
ACH-000092,-1.4811540303900002
ACH-000095,-1.5729314006900001
ACH-000097,-1.4388557135799998
ACH-000098,-1.6011727872100001
ACH-000099,-1.4457838404499999
ACH-000108,-1.07914500825
ACH-000113,-1.40759336708
ACH-000115,-1.7741640561099996
ACH-000116,-1.29524931484
ACH-000118,-1.11304002151
ACH-000120,-1.2185118717799999
ACH-000123,-1.47415847488
ACH-000127,-1.17625363579
ACH-000128,-1.3975585720200001
ACH-000132,-1.4515640918900001
ACH-000133,-1.43815224706
ACH-000137,-1.18780144024
ACH-000138,-1.3753661298
ACH-000142,-1.4002967487
ACH-000143,-1.21765812384
ACH-000146,-1.5590349906299998
ACH-000148,-1.53589430148
ACH-000150,-1.46071503385
ACH-000152,-1.31700737291
ACH-000153,-1.623979407
ACH-000159,-1.70054994111
ACH-000160,-1.47205336588
ACH-000163,-1.4225706995899998
ACH-000167,-0.45033633117399996
ACH-000168,-1.27549719547
ACH-000169,-1.2958413709999999
ACH-000178,-1.32970655337
ACH-000182,-1.48984967363
ACH-000183,-1.49098014438
ACH-000188,-1.48936996516
ACH-000189,-1.2436836739700001
ACH-000190,-1.44519436817
ACH-000198,-1.59772136425
ACH-000204,-1.23891468831
ACH-000206,-1.73013658154
ACH-000207,-1.2959327662200002
ACH-000211,-1.3914074484999999
ACH-000215,-1.54573331629
ACH-000221,-1.10029362562
ACH-000222,-1.16487659517
ACH-000223,-1.17393870676
ACH-000226,-1.1284878447600002
ACH-000227,-1.67383458094
ACH-000228,-1.25204011394
ACH-000231,-1.36467002871
ACH-000232,-1.42716009292
ACH-000233,-1.40760672864
ACH-000234,-1.34316109127
ACH-000235,-1.19007919045
ACH-000237,-1.44078487439
ACH-000238,-1.40690086019
ACH-000243,-1.2505815517799999
ACH-000244,-1.3612608335299998
ACH-000246,-1.3722726954700002
ACH-000248,-1.16320585377
ACH-000250,-1.3447930555599998
ACH-000251,-1.6867878703299999
ACH-000253,-1.4627399179700002
ACH-000255,-1.22630192139
ACH-000256,-1.19874147069
ACH-000257,-1.47062432218
ACH-000258,-1.26094226672
ACH-000259,-1.3568367327700002
ACH-000260,-1.2957413434
ACH-000261,-1.42817738132
ACH-000262,-1.3779899480000002
ACH-000263,-1.38766020204
ACH-000264,-1.52801987171
ACH-000265,-1.37919719473
ACH-000266,-1.1765215439499999
ACH-000272,-1.51876055267
ACH-000273,-1.6511895120299998
ACH-000274,-1.810260749
ACH-000277,-1.40953252057
ACH-000278,-1.34038942056
ACH-000279,-1.69668421706
ACH-000280,-1.03282789631
ACH-000281,-1.13404755958
ACH-000288,-1.47957021527
ACH-000291,-1.3136512657
ACH-000293,-1.4988257575100001
ACH-000294,-1.4680534216999999
ACH-000295,-1.2420687243700002
ACH-000296,-1.0592319953
ACH-000302,-1.17042767817
ACH-000304,-1.59264672307
ACH-000307,-1.3125752691099999
ACH-000308,-1.26345480182
ACH-000310,-1.45768913021
ACH-000311,-1.32412371801
ACH-000312,-1.4086144572600001
ACH-000315,-1.43139379817
ACH-000316,-1.2073783656000001
ACH-000317,-1.2381980993100001
ACH-000318,-1.29225674872
ACH-000319,-1.28507585784
ACH-000320,-1.1166520684899999
ACH-000322,-1.2369091748799999
ACH-000323,-1.15679587177
ACH-000324,-1.2919516556200001
ACH-000329,-1.5539049556
