,STAC3 (246329)
ACH-000004,-0.20790536258499998
ACH-000007,-0.446262597916
ACH-000009,-0.23180090554299998
ACH-000011,-0.245399230863
ACH-000012,-0.21383442029199998
ACH-000013,-0.127528804056
ACH-000014,-0.0415444262693
ACH-000015,-0.252714704786
ACH-000017,-0.165033807493
ACH-000018,-0.144445175074
ACH-000019,-0.00843928618216
ACH-000021,-0.328956839698
ACH-000022,-0.20309961363200002
ACH-000025,-0.386893825351
ACH-000028,-0.513691685135
ACH-000030,-0.15258259145199998
ACH-000035,-0.187924829422
ACH-000036,-0.139732396552
ACH-000037,-0.267410377188
ACH-000039,-0.47195518016500004
ACH-000040,-0.175753527951
ACH-000041,-0.19059287498799998
ACH-000042,-0.113667121087
ACH-000045,-0.13731780097000001
ACH-000047,-0.214033120319
ACH-000052,-0.35675083627
ACH-000053,-0.168720816141
ACH-000054,-0.193107840063
ACH-000055,-0.414231219666
ACH-000060,-0.0836543081311
ACH-000067,-0.250877124685
ACH-000070,-0.13173528708499999
ACH-000075,-0.143296099803
ACH-000078,-0.24890818734700002
ACH-000082,-0.21324456407200001
ACH-000085,-0.367282824449
ACH-000086,-0.341881928498
ACH-000087,-0.038864878439300005
ACH-000092,-0.262508585902
ACH-000095,-0.093599212647
ACH-000097,-0.20422440192000002
ACH-000098,-0.00902510072766
ACH-000099,-0.107693331413
ACH-000108,-0.132385991018
ACH-000113,-0.199589588864
ACH-000115,0.0732394461608
ACH-000116,-0.255318873088
ACH-000118,-0.431002712497
ACH-000120,-0.074424835542
ACH-000123,-0.35491762992799997
ACH-000127,-0.117521725719
ACH-000128,-0.134739126736
ACH-000132,0.0043525013252
ACH-000133,-0.48500131945
ACH-000137,-0.509300928081
ACH-000138,-0.299062198035
ACH-000142,-0.138173089434
ACH-000143,-0.201187402324
ACH-000146,-0.157063578111
ACH-000148,-0.22049073923300003
ACH-000150,-0.49843268473200003
ACH-000152,-0.265394856279
ACH-000153,-0.464689897495
ACH-000159,-0.16901195954700002
ACH-000160,-0.24844347784899998
ACH-000163,-0.31336566395300003
ACH-000167,-0.194080411743
