,FTSJ2 (29960)
ACH-000004,-0.301406653207
ACH-000007,-0.5106929358300001
ACH-000009,-0.552785440163
ACH-000011,-0.116557544384
ACH-000012,-0.599041371065
ACH-000013,-0.572929307212
ACH-000014,-0.46386288907799994
ACH-000015,-0.73772531567
ACH-000017,-0.397999266964
ACH-000018,-0.16015070408600002
ACH-000019,-0.4473623228
ACH-000021,-0.422681732707
ACH-000022,-0.570710803786
ACH-000025,-0.671645272413
ACH-000028,-0.705344653187
ACH-000030,-0.336700616821
ACH-000035,-0.42964267911000004
ACH-000036,-0.268743714123
ACH-000037,-0.501985728755
ACH-000039,-0.361841663908
ACH-000040,-0.510523043896
ACH-000041,-0.36809982631
ACH-000042,-0.5736323235090001
ACH-000045,-0.8391535650759999
ACH-000047,-0.649821298952
ACH-000052,-0.284245416649
ACH-000053,-0.317412845972
ACH-000054,-0.40988976617600004
ACH-000055,-0.230266477333
ACH-000060,-0.47074777636500004
ACH-000067,-0.101664724367
ACH-000070,-0.45800164675099997
ACH-000075,-0.460826044361
ACH-000078,-0.436214968959
ACH-000082,-0.669910595525
ACH-000085,-0.41326434157499997
ACH-000086,-0.680952394647
ACH-000087,-0.7836848261220001
ACH-000092,-0.450045606277
ACH-000095,-0.458977599877
ACH-000097,-0.320097531133
ACH-000098,-0.45786696164499996
ACH-000099,-0.695405117756
ACH-000108,-0.535931591406
ACH-000113,-0.902880017978
ACH-000115,-0.639225828236
ACH-000116,-0.559897119701
ACH-000118,-0.697599107641
ACH-000120,-0.491268215945
ACH-000123,-0.8871593487970001
ACH-000127,-0.610497015064
ACH-000128,-1.0550616539700002
ACH-000132,-0.48668226142800003
ACH-000133,-0.397582662422
ACH-000137,-0.31731033274
ACH-000138,-0.48971734358400004
ACH-000142,-0.271674804424
ACH-000143,-0.45709080985
ACH-000146,-0.39374199076300004
ACH-000148,-0.5525113673250001
ACH-000150,-0.607855370565
ACH-000152,-0.356332880149
ACH-000153,-0.28212442358199996
ACH-000159,-0.457026255345
ACH-000160,-0.934455595612
ACH-000163,-0.30809534566999996
ACH-000167,-0.12215476538799999
ACH-000168,-0.238721151629
ACH-000169,-0.56449571775
ACH-000178,-0.348584679248
ACH-000182,-0.5050678063
ACH-000183,-0.44559661483400004
ACH-000188,-0.35350765061399997
ACH-000189,-0.35313591684600004
ACH-000190,-0.462320141641
ACH-000198,-0.613610983051
ACH-000204,-0.411073621496
ACH-000206,-0.24199966854200003
ACH-000207,-0.858507593004
ACH-000211,-0.552580498335
ACH-000215,-0.532618812851
ACH-000221,-1.18407464904
ACH-000222,-0.345590923379
ACH-000223,-0.661072293491
ACH-000226,-0.107253435373
ACH-000227,-0.532757401458
ACH-000228,-0.365469000615
ACH-000231,-0.436692054939
ACH-000232,-0.540444187527
ACH-000233,-0.417588186752
ACH-000234,-0.509474674186
ACH-000235,-0.42104499367200005
ACH-000237,-0.20712607840999997
ACH-000238,-0.410150612417
ACH-000243,-0.403331385481
ACH-000244,-0.5592639467399999
ACH-000246,-0.6904696908939999
ACH-000248,-0.6254387338899999
ACH-000250,-0.170536495555
ACH-000251,-0.461621698422
ACH-000253,-0.374534210952
ACH-000255,-0.41910449293000007
ACH-000256,-0.23077692397100003
ACH-000257,-0.672235978187
ACH-000258,-0.597420703404
ACH-000259,-0.8608395117540001
ACH-000260,-0.22279488425799998
ACH-000261,-0.181508513821
ACH-000262,-0.351702597768
ACH-000263,-0.6374789206360001
ACH-000264,-0.40688833302500005
ACH-000265,-0.924546936257
ACH-000266,-0.5035657624100001
ACH-000272,-0.335862718772
ACH-000273,-0.453231648579
ACH-000274,-0.600100229494
ACH-000277,-0.433132239297
ACH-000278,-0.22491842682399998
ACH-000279,-0.693113008759
ACH-000280,-0.384417797688
ACH-000281,-1.07582187417
ACH-000288,-0.611559554327
ACH-000291,-0.5186283249
ACH-000293,-0.41960250291699996
ACH-000294,-0.236484304308
ACH-000295,-0.291250681739
