,MSGN1 (343930)
ACH-000004,0.226420314743
ACH-000007,-0.18426757481800002
ACH-000009,0.0449709291072
ACH-000011,0.0623497116619
ACH-000012,0.160116973296
ACH-000013,0.152251178915
ACH-000014,-0.00706564513085
ACH-000015,0.203574293912
ACH-000017,0.139276031714
ACH-000018,0.15067570781300002
ACH-000019,-0.0402098006006
ACH-000021,0.17571281848499998
ACH-000022,-0.00764697673082
ACH-000025,0.07277738617710001
ACH-000028,0.034978700968
ACH-000030,0.09969151792580001
ACH-000035,0.015444609426799998
ACH-000036,-0.125695748036
ACH-000037,0.07330306356439999
ACH-000039,0.053544417375699996
ACH-000040,0.120012957529
ACH-000041,-0.0914817904088
ACH-000042,0.18891525228300002
ACH-000045,0.0
ACH-000047,-0.034243961350400004
ACH-000052,0.121022965306
ACH-000053,0.083852690833
ACH-000054,0.17475396397
ACH-000055,0.058604295253999995
ACH-000060,0.030446250369299998
ACH-000067,0.272176804016
ACH-000070,-0.055719925606199996
ACH-000075,0.49309028748899997
ACH-000078,0.261766545058
ACH-000082,0.12777664826
ACH-000085,-0.0903777486751
ACH-000086,-0.09575392082800001
ACH-000087,-0.105587791892
ACH-000092,-0.108110608631
ACH-000095,-0.0054387521542100005
ACH-000097,-0.123359458987
ACH-000098,0.123388367212
ACH-000099,0.152789610356
ACH-000108,0.07391780963160001
ACH-000113,-0.0358340748352
ACH-000115,0.019319708047200002
ACH-000116,0.153077233226
ACH-000118,0.0959574807332
ACH-000120,-0.101133641009
ACH-000123,-0.0337499104874
ACH-000127,0.028624411593999997
ACH-000128,-0.0485405948281
ACH-000132,0.18621437333000002
ACH-000133,0.167984684876
ACH-000137,0.116523594406
ACH-000138,0.101052848695
ACH-000142,-0.149205234562
ACH-000143,-0.124916848531
ACH-000146,-0.023367937286
ACH-000148,0.125580828545
ACH-000150,0.117021862984
ACH-000152,0.14463390072
ACH-000153,0.327249890678
ACH-000159,-0.11346936618799999
ACH-000160,0.127230609925
ACH-000163,0.059964497872099995
ACH-000167,0.012394164388899998
ACH-000168,-0.09912136248600001
