,ENDOV (284131)
ACH-000004,0.124214400877
ACH-000007,-0.10636739560799999
ACH-000009,-0.216872062888
ACH-000011,-0.314464653981
ACH-000012,-0.0819759578635
ACH-000013,-0.09303888550210002
ACH-000014,-0.052338294057
ACH-000015,-0.09046595092819999
ACH-000017,-0.330677865394
ACH-000018,0.034804925810800004
ACH-000019,0.005907998299029999
ACH-000021,-0.0246453936588
ACH-000022,-0.0838925791542
ACH-000025,-0.00731494286131
ACH-000028,-0.08091766375010001
ACH-000030,-0.043193608707300005
ACH-000035,-0.190451897399
ACH-000036,-0.0525929184001
ACH-000037,-0.120478295068
ACH-000039,-0.33557186085100005
ACH-000040,-0.00885534036808
ACH-000041,-0.24923708688700003
ACH-000042,-0.18600969226
ACH-000045,-0.113073849047
ACH-000047,-0.0010822971866300002
ACH-000052,0.171964388015
ACH-000053,-0.095800476426
ACH-000054,-0.0673302670093
ACH-000055,-0.145148278789
ACH-000060,-0.30807175040600004
ACH-000067,-0.03153911179
ACH-000070,-0.023435228530099998
ACH-000075,-0.0978399764875
ACH-000078,-0.142652882281
ACH-000082,-0.0646340546181
ACH-000085,0.0210788994515
ACH-000086,-0.229252845657
ACH-000087,-0.12764674456800001
ACH-000092,-0.09170798330610001
ACH-000095,-0.261306701295
ACH-000097,-0.04489313949990001
ACH-000098,-0.0921166997057
ACH-000099,-0.222288940788
ACH-000108,-0.194497455682
ACH-000113,-0.036010319386300005
ACH-000115,0.151120058552
ACH-000116,-0.214635660693
ACH-000118,-0.105137025802
ACH-000120,-0.31705931864799997
ACH-000123,-0.130995093767
ACH-000127,-0.20265810631499998
ACH-000128,-0.133995544428
ACH-000132,-0.252375490798
ACH-000133,-0.00225868266745
ACH-000137,-0.14943337509500002
ACH-000138,0.026851426037099998
ACH-000142,-0.192222492295
ACH-000143,0.0169626195801
ACH-000146,-0.0844244298067
ACH-000148,-0.0213250910978
ACH-000150,-0.104129206909
ACH-000152,-0.356125508169
ACH-000153,0.0763988672841
ACH-000159,-0.202485450793
