,FAM98C (147965)
ACH-000004,-0.2160086093
ACH-000007,-0.20670615874899997
ACH-000009,-0.36251783131899995
ACH-000011,-0.43136454262699997
ACH-000012,-0.306420742699
ACH-000013,-0.836152968223
ACH-000014,-0.09824365093410001
ACH-000015,-0.38263352283
ACH-000017,-0.262229497768
ACH-000018,-0.105904700291
ACH-000019,-0.306294325786
ACH-000021,-0.30781624338
ACH-000022,-0.517989955809
ACH-000025,-0.169437190112
ACH-000028,-0.258890979606
ACH-000030,-0.42783402625600003
ACH-000035,-0.423157314649
ACH-000036,-0.0393835620852
ACH-000037,-0.48690579295
ACH-000039,-0.08896638101960001
ACH-000040,0.0097912036761
ACH-000041,-0.237413494384
ACH-000042,-0.194549380529
ACH-000045,-0.19293909068
ACH-000047,-0.35731580216200004
ACH-000052,-0.326622602799
ACH-000053,-0.22242678851199998
ACH-000054,-0.242305201837
ACH-000055,-0.338689854258
ACH-000060,-0.260528353151
ACH-000067,-0.0614510390847
ACH-000070,-0.24723678473000002
ACH-000075,0.090679982463
ACH-000078,0.027395327991499997
ACH-000082,-0.309677233196
ACH-000085,-0.262902762008
ACH-000086,-0.232445336177
ACH-000087,-0.421342477239
ACH-000092,-0.351741439783
ACH-000095,-0.145113717887
ACH-000097,-0.37323328084799995
ACH-000098,-0.257735961747
ACH-000099,-0.300721737953
ACH-000108,-0.21117439815699998
ACH-000113,-0.291082269835
ACH-000115,-0.310921426304
ACH-000116,-0.231947339784
ACH-000118,-0.15430832816
ACH-000120,-0.17749465289900002
ACH-000123,-0.226022549147
ACH-000127,-0.39591718357
ACH-000128,-0.178369341363
ACH-000132,-0.172624315712
ACH-000133,-0.338816053674
ACH-000137,-0.7476206400130001
ACH-000138,-0.242335603049
ACH-000142,-0.356522953556
ACH-000143,-0.440214071559
ACH-000146,-0.199574941602
ACH-000148,-0.137022674122
ACH-000150,-0.296919066836
ACH-000152,-0.140841583986
ACH-000153,-0.45589845567599996
ACH-000159,-0.10665573433499999
ACH-000160,-0.35610002093299997
ACH-000163,-0.299021490459
ACH-000167,0.0434470449763
ACH-000168,-0.0595737439089
ACH-000169,-0.26903172006299997
ACH-000178,-0.09626359186519999
ACH-000182,-0.146017333113
ACH-000183,-0.080552608138
ACH-000188,-0.148019711282
ACH-000189,-0.538433312121
ACH-000190,-0.271564807455
ACH-000198,-0.248070662099
ACH-000204,-0.129868477847
ACH-000206,-0.355162497957
ACH-000207,0.0825866856829
