,LRR1 (122769)
ACH-000004,-1.8465486303
ACH-000007,-1.56447797
ACH-000009,-1.6899741567
ACH-000011,-1.6698254340399998
ACH-000012,-1.6103569634700001
ACH-000013,-1.58710042523
ACH-000014,-1.91225621597
ACH-000015,-1.60333281788
ACH-000017,-1.7368845052400002
ACH-000018,-1.48380337395
ACH-000019,-1.61362187611
ACH-000021,-1.7504758201900001
ACH-000022,-1.8533046155500001
ACH-000025,-1.5475924192500001
ACH-000028,-1.5485897859200002
ACH-000030,-1.60507267109
ACH-000035,-1.4922378422799998
ACH-000036,-1.8273228960900003
ACH-000037,-2.38898874065
ACH-000039,-1.7671670206099999
ACH-000040,-1.8003962357499999
ACH-000041,-1.99779793503
ACH-000042,-1.4487090596799999
ACH-000045,-1.6854953470899998
ACH-000047,-1.85869055562
ACH-000052,-1.5050694060799998
ACH-000053,-1.71481808939
ACH-000054,-1.56090771282
ACH-000055,-1.81841831395
ACH-000060,-1.69310476424
ACH-000067,-1.9533770034599998
ACH-000070,-1.58378856921
ACH-000075,-1.6906332813
ACH-000078,-1.79057482225
ACH-000082,-1.575859638
ACH-000085,-1.6669763457799998
ACH-000086,-1.4483694384099999
ACH-000087,-1.47387595382
ACH-000092,-1.6170948057799999
ACH-000095,-1.5702174990600002
ACH-000097,-1.7559262481599998
ACH-000098,-1.79858172915
ACH-000099,-1.5413328039200003
ACH-000108,-1.58095319243
ACH-000113,-1.50752122175
ACH-000115,-2.25775898362
ACH-000116,-1.8029759107599999
ACH-000118,-1.5887850989200003
ACH-000120,-1.68855595132
ACH-000123,-1.57755882485
ACH-000127,-1.8294052532099998
ACH-000128,-1.31293080544
ACH-000132,-1.53488992691
ACH-000133,-1.7693368158200002
ACH-000137,-1.51155987949
ACH-000138,-1.59765711492
ACH-000142,-1.50946965611
ACH-000143,-1.5045602792500001
ACH-000146,-2.33288490203
ACH-000148,-1.8545530954400002
ACH-000150,-1.61346687283
ACH-000152,-1.41602232921
ACH-000153,-1.6838105002000001
ACH-000159,-1.98937646597
ACH-000160,-2.05334951775
ACH-000163,-1.87699256838
ACH-000167,-2.03961354921
ACH-000168,-1.7062306676199999
ACH-000169,-1.56944541845
ACH-000178,-1.70667883704
ACH-000182,-1.83420466218
ACH-000183,-2.01516941618
ACH-000188,-1.46355153311
ACH-000189,-1.6555449628999999
ACH-000190,-1.54134867155
ACH-000198,-1.76044725194
ACH-000204,-1.8551051791099997
ACH-000206,-1.6166151944799998
ACH-000207,-1.24942902763
ACH-000211,-1.52658833368
ACH-000215,-1.57266354372
ACH-000221,-1.5021860272499998
ACH-000222,-2.04453770141
ACH-000223,-1.24031265788
ACH-000226,-1.61920193954
ACH-000227,-1.7853001313900003
ACH-000228,-1.930290818
ACH-000231,-1.68212076136
ACH-000232,-1.9435785760799997
ACH-000233,-1.9653945794499998
ACH-000234,-1.4345968666600002
ACH-000235,-1.6037883405000002
ACH-000237,-1.37992758873
ACH-000238,-1.5619712353200002
ACH-000243,-1.55972648384
ACH-000244,-1.59731821438
ACH-000246,-1.8777993866599998
ACH-000248,-1.6339252125200001
ACH-000250,-1.6969258377599998
ACH-000251,-1.3365916373200002
ACH-000253,-1.71301259845
ACH-000255,-1.57617175083
ACH-000256,-1.31592457473
ACH-000257,-1.98682133428
ACH-000258,-1.4787488997
ACH-000259,-1.7155170023800002
ACH-000260,-1.61787713791
ACH-000261,-1.66515493815
ACH-000262,-1.7190085096099998
ACH-000263,-1.8658543669
ACH-000264,-1.61190041321
ACH-000265,-1.60380822425
ACH-000266,-1.7028068173100002
ACH-000272,-1.89822052751
ACH-000273,-1.62136729367
ACH-000274,-2.04682134918
ACH-000277,-2.10483922745
ACH-000278,-1.7598032521200002
ACH-000279,-1.68932711179
ACH-000280,-1.27774485218
ACH-000281,-1.66240823723
ACH-000288,-1.6546405308
ACH-000291,-1.48862424625
ACH-000293,-1.41056589623
ACH-000294,-1.60211838421
ACH-000295,-1.8391904767200002
ACH-000296,-1.4395091823100001
ACH-000302,-1.76348266246
ACH-000304,-1.8469784492400003
ACH-000307,-1.68400264352
ACH-000308,-1.57288569091
ACH-000310,-1.9459895767299997
ACH-000311,-1.63292977964
ACH-000312,-1.73330012845
ACH-000315,-1.6529934716799999
ACH-000316,-2.03506200533
ACH-000317,-2.22330424255
ACH-000318,-1.46252634005
ACH-000319,-1.57589192527
ACH-000320,-1.51449246693
ACH-000322,-1.5209839171700001
ACH-000323,-1.4397932829799998
ACH-000324,-1.6536375028
ACH-000329,-1.90860132199
ACH-000330,-1.62244755219
ACH-000331,-1.6541811503900001
ACH-000332,-1.5606763358899998
ACH-000334,-2.3027019813900003
ACH-000335,-1.4447664265399998
ACH-000336,-1.5733938463100001
ACH-000337,-1.49276341076
ACH-000339,-1.58420398605
ACH-000341,-2.38542678508
ACH-000348,-1.82088020758
ACH-000350,-2.14005748195
ACH-000352,-1.5056351321099999
ACH-000356,-1.40207013546
ACH-000361,-1.5813863788
ACH-000362,-1.8537086247299999
ACH-000363,-2.10629909602
ACH-000364,-1.70662309997
ACH-000365,-1.8194266707299998
ACH-000366,-1.81856946283
ACH-000368,-1.58247570366
ACH-000374,-1.49064789115
ACH-000375,-1.8248007014400003
ACH-000376,-1.8435978566799998
ACH-000381,-1.5579416131900001
ACH-000383,-1.8320618519599998
ACH-000387,-1.74484127337
ACH-000389,-1.54251326023
ACH-000390,-1.46226577326
ACH-000393,-1.7566477746400002
ACH-000395,-1.3842225196399998
ACH-000397,-1.6443705284099999
ACH-000401,-1.73347930185
ACH-000402,-2.45735485127
ACH-000403,-2.09929041439
ACH-000404,-1.9116986003
ACH-000406,-1.9145827091900003
ACH-000407,-1.7344354325799998
ACH-000408,-1.1206474745000001
ACH-000410,-1.5864285318399998
ACH-000411,-1.7845342335900003
ACH-000414,-1.77429472651
ACH-000415,-1.6602873654799999
ACH-000416,-1.5734040808399998
ACH-000420,-1.72099501338
ACH-000421,-1.62915922204
ACH-000424,-1.60310749118
ACH-000425,-1.4296138960299998
ACH-000426,-2.2787710152000002
ACH-000427,-1.78576956973
ACH-000433,-1.4647698003
ACH-000436,-1.7670698154700002
ACH-000444,-1.7620444516099998
ACH-000445,-1.40872110847
ACH-000448,-1.67447295127
ACH-000450,-1.70968994681
ACH-000452,-1.7548498470900002
ACH-000454,-1.44242071132
ACH-000458,-1.5702537565099999
ACH-000459,-1.2734920190799999
ACH-000460,-1.49375831345
ACH-000461,-1.6144349836399998
ACH-000463,-1.55166181847
ACH-000464,-1.73536421437
ACH-000466,-1.47450937503
ACH-000467,-1.63943632288
ACH-000468,-1.7158351836599999
ACH-000469,-1.7964263109999998
ACH-000470,-1.68248495084
ACH-000471,-1.7125056513699999
ACH-000472,-1.5222877777700001
ACH-000473,-1.8237951758900002
