,CENPJ (55835)
ACH-000004,-0.628275690375
ACH-000007,-0.48003159820600005
ACH-000009,-0.36989887120399995
ACH-000011,-0.6941069002339999
ACH-000012,-0.44246415619999996
ACH-000013,-0.562061269034
ACH-000014,-0.457024620704
ACH-000015,-0.776859621655
ACH-000017,-0.241710646898
ACH-000018,-0.16484256658
ACH-000019,-0.289466804045
ACH-000021,-0.5308712628410001
ACH-000022,-0.16449657567700002
ACH-000025,-0.324774299401
ACH-000028,-0.527316430626
ACH-000030,-0.39734484585
ACH-000035,-0.520187016285
ACH-000036,-0.23570118073600002
ACH-000037,-0.548990773438
ACH-000039,-0.127967148561
ACH-000040,-0.138300401225
ACH-000041,-0.5704957676919999
ACH-000042,-0.765347968829
ACH-000045,-0.25824432553599996
ACH-000047,-0.517299951537
ACH-000052,-0.470806854724
ACH-000053,-0.5466630773110001
ACH-000054,-0.43178227027599997
ACH-000055,-0.269384453756
ACH-000060,-0.522626232386
ACH-000067,-0.557525545018
ACH-000070,-0.266700977675
ACH-000075,-0.559139677718
ACH-000078,-0.264183493895
ACH-000082,-0.31926021138599997
ACH-000085,-0.636415065056
ACH-000086,-0.523633397365
ACH-000087,-0.39565122565899996
ACH-000092,-0.0851470948055
ACH-000095,-0.329694589816
ACH-000097,-0.324612270153
ACH-000098,-0.33351680060899996
ACH-000099,-0.298672606556
ACH-000108,-0.274050083628
ACH-000113,-0.366601439168
ACH-000115,-0.605403493504
ACH-000116,-0.325085085324
ACH-000118,-0.30217408844300003
ACH-000120,-0.5939981256310001
ACH-000123,-0.462453433084
ACH-000127,-0.307347819395
ACH-000128,-0.239379882698
ACH-000132,-0.40105734512900004
ACH-000133,-0.013081201117
ACH-000137,-0.67903113132
ACH-000138,-0.463922920429
ACH-000142,-0.44924330785300004
ACH-000143,-0.629579913183
ACH-000146,-0.231356695257
ACH-000148,-0.33461566371999996
ACH-000150,-0.336803142543
ACH-000152,-0.406640844489
ACH-000153,-0.48013171093699997
ACH-000159,-0.4965637762100001
ACH-000160,-0.461150641133
ACH-000163,-0.718620179673
ACH-000167,-0.36010658537100004
ACH-000168,0.2778620094
ACH-000169,-0.538053836691
ACH-000178,-0.201629382386
ACH-000182,-0.590910790548
ACH-000183,-0.34907955937
ACH-000188,-0.186351880165
ACH-000189,-0.07306608032310001
ACH-000190,-0.318417796509
ACH-000198,-0.319384567522
ACH-000204,-0.356103695586
ACH-000206,-0.280824864366
ACH-000207,-0.39706012514399996
ACH-000211,-0.587539905337
ACH-000215,-0.320360452705
ACH-000221,-0.701545739375
ACH-000222,-0.404504723709
ACH-000223,-0.17908255999400002
ACH-000226,-0.508294727659
ACH-000227,-0.37341773318599997
ACH-000228,-0.5210990853999999
ACH-000231,-0.34327093115999996
ACH-000232,-0.562220309357
ACH-000233,-0.419331960932
ACH-000234,-0.47175964721
ACH-000235,-0.341294394293
ACH-000237,-0.561351032887
ACH-000238,-0.290597071129
ACH-000243,-0.381253201306
ACH-000244,-0.507833860912
ACH-000246,-0.47199579561000005
ACH-000248,-0.395621496261
ACH-000250,-0.562209846607
ACH-000251,-0.6962897719810001
ACH-000253,-0.263038530997
ACH-000255,-0.523828494637
ACH-000256,-0.30827159030900003
ACH-000257,-0.223835009196
ACH-000258,-0.522209338643
ACH-000259,-0.35526358738700003
ACH-000260,-0.41448234743900003
ACH-000261,-0.20865207540199998
ACH-000262,-0.6120680440699999
ACH-000263,-0.5666781452449999
ACH-000264,-0.528570498807
ACH-000265,-0.5167203870920001
ACH-000266,-0.373248046069
ACH-000272,-0.328164634688
ACH-000273,-0.263692891263
ACH-000274,-0.427699780638
ACH-000277,-0.0847392294529
ACH-000278,-0.613521325291
ACH-000279,-0.35958546481
ACH-000280,-0.45337792596999993
ACH-000281,-0.308355493051
ACH-000288,-0.297519374989
ACH-000291,-0.511108128083
ACH-000293,-0.47980261655100004
ACH-000294,-0.175018982274
ACH-000295,0.043146882637
ACH-000296,-0.367763621415
ACH-000302,-0.515647077577
ACH-000304,-0.41262477478500004
ACH-000307,-0.47707149973000007
ACH-000308,-0.598073797218
ACH-000310,-0.892293031311
ACH-000311,-0.57120811994
ACH-000312,-0.398288486867
ACH-000315,0.09563654719350001
ACH-000316,-0.541318224928
ACH-000317,-0.44005057143799997
ACH-000318,-0.45342626822099996
ACH-000319,-0.292910165438
ACH-000320,-0.36388287269599995
ACH-000322,0.07798344781769999
ACH-000323,-0.26485162593600003
ACH-000324,-0.64723986094
ACH-000329,0.0128577994798
ACH-000330,-0.308156834456
ACH-000331,-0.705481747143
ACH-000332,-0.481646748119
ACH-000334,-0.158347644438
