,HNRNPH3 (3189)
ACH-000004,-0.146715186119
ACH-000007,-0.129628629174
ACH-000009,-0.306008847863
ACH-000011,0.041708438451900004
ACH-000012,-0.240091009534
ACH-000013,-0.130202873739
ACH-000014,-0.312168469478
ACH-000015,-0.315327788486
ACH-000017,-0.23533357203400002
ACH-000018,-0.232317953472
ACH-000019,-0.42750349967699997
ACH-000021,-0.366782083145
ACH-000022,-0.156155213003
ACH-000025,-0.39274137566699996
ACH-000028,-0.0741412175717
ACH-000030,-0.0776546560597
ACH-000035,-0.260245704575
ACH-000036,-0.18032541385099998
ACH-000037,-0.123161755778
ACH-000039,-0.522803293601
ACH-000040,-0.37432705360299995
ACH-000041,-0.26941382959800003
ACH-000042,-0.218394584563
ACH-000045,0.0746792436197
ACH-000047,0.0128729777093
ACH-000052,-0.5484272542499999
ACH-000053,-0.21588405279
ACH-000054,-0.31394804258000003
ACH-000055,-0.5243171121019999
ACH-000060,-0.0910188617435
ACH-000067,-0.343401870874
ACH-000070,-0.194288847078
ACH-000075,-0.537555198882
ACH-000078,-0.532279297431
ACH-000082,-0.29725001813900004
ACH-000085,-0.22521894440600002
ACH-000086,-0.392944581246
ACH-000087,-0.0111492550315
ACH-000092,-0.20555539508600001
ACH-000095,-0.38014481701200004
ACH-000097,-0.142705094427
ACH-000098,-0.131516530769
ACH-000099,-0.15679516115599998
ACH-000108,-0.0056884951182799995
ACH-000113,-0.033930121237
ACH-000115,-0.259279485584
ACH-000116,-0.245159171595
ACH-000118,-0.113014646578
ACH-000120,0.09226427426410001
ACH-000123,-0.0970423973535
ACH-000127,-0.293295039941
ACH-000128,0.054327173744800006
ACH-000132,0.21776601205200002
ACH-000133,-0.37568471672799997
ACH-000137,-0.20914385575999997
ACH-000138,-0.0767341836837
ACH-000142,-0.421612190384
ACH-000143,-0.18119353180999997
ACH-000146,-0.16946191405799998
ACH-000148,-0.300036076981
ACH-000150,-0.165579452722
ACH-000152,0.0707606705474
ACH-000153,-0.0429112309965
ACH-000159,-0.276186457773
ACH-000160,0.206673567418
ACH-000163,-0.381664207756
ACH-000167,0.990607253677
ACH-000168,-0.130583900708
ACH-000169,-0.40414889535400006
ACH-000178,-0.28401773503
ACH-000182,-0.47582852290700006
ACH-000183,-0.079588421849
ACH-000188,-0.528287169477
ACH-000189,-0.07971475044969999
ACH-000190,-0.666172823103
ACH-000198,-0.18255519787399999
ACH-000204,-0.362109656481
ACH-000206,-0.36237085184600004
ACH-000207,0.08711800184260002
ACH-000211,-0.7099964394149999
ACH-000215,-0.30897953846799997
ACH-000221,0.013208385734700002
ACH-000222,-0.017286190031599997
ACH-000223,-0.07103957408739998
ACH-000226,-0.333250116144
ACH-000227,-0.424890202249
ACH-000228,-0.374198006339
ACH-000231,-0.326003284898
ACH-000232,-0.281061773086
ACH-000233,-0.17474034485
ACH-000234,-0.309493897916
ACH-000235,-0.07215627762960002
ACH-000237,-0.436323387397
ACH-000238,-0.044692932889300006
ACH-000243,-0.449967784001
ACH-000244,-0.18456961325500001
ACH-000246,-0.0574112146978
ACH-000248,-0.192136168592
ACH-000250,-0.33931002651500003
ACH-000251,-0.12072553491699999
ACH-000253,-0.104150819548
ACH-000255,-0.42042160167099996
ACH-000256,-0.434062363434
ACH-000257,-0.310387676507
ACH-000258,-0.37583506312799997
ACH-000259,-0.538254217134
ACH-000260,-0.39099268335799997
ACH-000261,-0.474769540046
ACH-000262,-0.542783432036
ACH-000263,-0.30709400029100004
ACH-000264,-0.370770782844
ACH-000265,-0.408440611962
ACH-000266,-0.12977760486099998
ACH-000272,-0.286150934349
ACH-000273,-0.502743043622
ACH-000274,-0.215814054158
ACH-000277,-0.265746142955
ACH-000278,-0.19811002423500002
ACH-000279,-0.37629364666599996
ACH-000280,-0.116591833012
ACH-000281,0.10769108734999999
ACH-000288,-0.13414439218000002
ACH-000291,-0.207465033536
ACH-000293,-0.38126692433799997
ACH-000294,-0.0367674686757
ACH-000295,-0.098170605876
ACH-000296,-0.392875112705
ACH-000302,-0.511640239488
ACH-000304,-0.153914669463
ACH-000307,-0.09937925317929999
ACH-000308,-0.45975855704499996
ACH-000310,-0.28276103913899997
ACH-000311,-0.344606097787
ACH-000312,-0.19531436843400002
ACH-000315,0.17485985061200002
ACH-000316,-0.11047474931500001
ACH-000317,-0.255897688094
ACH-000318,-0.33427968403299996
ACH-000319,-0.0368109980136
ACH-000320,-0.279998604919
ACH-000322,-0.23520356292199998
ACH-000323,-0.260595079454
ACH-000324,-0.35020393684100004
ACH-000329,-0.0782364124288
ACH-000330,-0.25133730506900004
ACH-000331,-0.49205995585900003
ACH-000332,-0.250046904978
ACH-000334,-0.376772775731
ACH-000335,0.21168744702999998
ACH-000336,-0.00505632734281
ACH-000337,-0.361162810331
ACH-000339,-0.283757447614
ACH-000341,-0.5404347509790001
ACH-000348,-0.17200635189
ACH-000350,-0.194397351136
ACH-000352,-0.19007113397199998
ACH-000356,-0.0304971642915
ACH-000361,-0.110489996264
ACH-000362,-0.141005915569
ACH-000363,-0.173238801405
ACH-000364,-0.477734586774
ACH-000365,-0.325417423874
ACH-000366,-0.40439227514700005
ACH-000368,-0.341261830322
