,RASA4 (10156)
ACH-000004,-0.146671770748
ACH-000007,-0.449762643125
ACH-000009,-0.0610951371449
ACH-000011,-0.563124033913
ACH-000012,-0.165189089046
ACH-000013,-0.29579069321199997
ACH-000014,-0.23003135501699998
ACH-000015,-0.153693242303
ACH-000017,-0.032239668694599995
ACH-000018,-0.232013130436
ACH-000019,-0.158423672751
ACH-000021,-0.413079748355
ACH-000022,-0.389657606586
ACH-000025,-0.286445462562
ACH-000028,-0.341042664018
ACH-000030,-0.032354133139
ACH-000035,-0.17032284563
ACH-000036,-0.440702875414
ACH-000037,-0.395429650741
ACH-000039,0.0340179760897
ACH-000040,-0.192247555149
ACH-000041,-0.382897087692
ACH-000042,-0.29918571296199997
ACH-000045,-0.12615277935
ACH-000047,-0.281136413955
ACH-000052,-0.135734805393
ACH-000053,-0.27449990577399996
ACH-000054,-0.542449221318
ACH-000055,-0.032001812471699996
ACH-000060,-0.579797215276
ACH-000067,-0.16473313453299998
ACH-000070,-0.246797670629
ACH-000075,-0.38360289263499997
ACH-000078,-0.392215498159
ACH-000082,-0.332472429673
ACH-000085,-0.455411355254
ACH-000086,-0.04591527679690001
ACH-000087,-0.33481423466
ACH-000092,-0.0394885290616
ACH-000095,-0.302761562675
ACH-000097,-0.29954749888
ACH-000098,-0.20301161997499997
ACH-000099,-0.31203547956300004
ACH-000108,-0.226169293138
ACH-000113,-0.199735810273
ACH-000115,-0.261920725874
ACH-000116,-0.196401465484
ACH-000118,-0.198901037964
ACH-000120,-0.340854092606
ACH-000123,-0.256074983013
ACH-000127,-0.23839107246599997
ACH-000128,-0.41134898220399996
ACH-000132,-0.147844431793
ACH-000133,-0.26807732223999997
ACH-000137,-0.272648522222
ACH-000138,-0.190691245988
ACH-000142,-0.6899770126610001
ACH-000143,-0.246219088175
ACH-000146,-0.24907884188
ACH-000148,-0.26029362359999997
ACH-000150,-0.264140537251
ACH-000152,-0.096242608676
ACH-000153,-0.144249993355
ACH-000159,-0.37351883706699995
ACH-000160,-0.12208809793400001
ACH-000163,-0.055021974374400005
ACH-000167,-0.530951448383
ACH-000168,-0.469338809775
ACH-000169,-0.34290625058799995
ACH-000178,-0.047208474104199996
ACH-000182,-0.0273638742456
ACH-000183,-0.19098303122299998
ACH-000188,-0.115860122928
ACH-000189,-0.555169818584
ACH-000190,-0.239752649223
ACH-000198,-0.11991839316
ACH-000204,-0.251443626677
ACH-000206,0.125659231645
ACH-000207,-0.021877422836400002
ACH-000211,-0.49054640344300005
ACH-000215,-0.296082990951
ACH-000221,-0.056400703825900005
ACH-000222,-0.116348566241
ACH-000223,-0.032288021430700004
ACH-000226,-0.24537520501999996
ACH-000227,-0.0917470000851
ACH-000228,-0.288000049465
ACH-000231,-0.140669904382
ACH-000232,-0.174033954578
ACH-000233,-0.252985403618
ACH-000234,-0.20975534667399998
ACH-000235,-0.123185484828
ACH-000237,-0.472606938042
ACH-000238,-0.305903943239
ACH-000243,-0.0339208343033
ACH-000244,-0.7269876982179999
ACH-000246,-0.212154335889
ACH-000248,0.112723504955
ACH-000250,-0.512922656461
ACH-000251,-0.025092926505400005
ACH-000253,-0.243447799711
ACH-000255,-0.376722403745
ACH-000256,-0.427026938493
ACH-000257,-0.291181330308
ACH-000258,-0.324162756276
ACH-000259,-0.286292280099
ACH-000260,-0.302778683808
ACH-000261,-0.211611419799
ACH-000262,-0.360263173443
ACH-000263,-0.521364688508
ACH-000264,-0.12480253220000001
ACH-000265,-0.110088973142
ACH-000266,-0.270215141123
ACH-000272,-0.347931994261
ACH-000273,-0.34608870973399997
ACH-000274,-0.182885037012
ACH-000277,-0.0073021827707399995
ACH-000278,-0.365001256562
ACH-000279,-0.258846189918
ACH-000280,-0.290715625173
ACH-000281,-0.36140941250200004
ACH-000288,-0.235999837222
ACH-000291,-0.467768454063
ACH-000293,-0.34288585723399995
ACH-000294,-0.44765606635899996
ACH-000295,-0.694081029887
ACH-000296,-0.491360836882
ACH-000302,-0.120834729179
ACH-000304,-0.134366965127
ACH-000307,-0.353397206194
ACH-000308,-0.45563420799800003
ACH-000310,-0.00218711686954
ACH-000311,-0.408988624631
ACH-000312,-0.0619685225583
ACH-000315,-0.18778669401099998
ACH-000316,-0.506940991311
ACH-000317,0.053164568400300004
ACH-000318,-0.12551793421399998
ACH-000319,-0.290018032809
ACH-000320,0.0273080598422
ACH-000322,-0.149601287279
ACH-000323,-0.06139528178880001
ACH-000324,-0.396700480664
ACH-000329,-0.0976534506295
ACH-000330,-0.0827089382625
ACH-000331,-0.21920989622499998
ACH-000332,-0.153905795024
ACH-000334,0.0577657483268
ACH-000335,-0.0109350181107
ACH-000336,-0.554334869396
ACH-000337,-0.209832834646
ACH-000339,-0.213751264489
ACH-000341,-0.28214930857799997
ACH-000348,-0.20994825056400002
ACH-000350,-0.381306544922
ACH-000352,-0.21441014596400002
ACH-000356,-0.398194572441
ACH-000361,-0.48460673115
ACH-000362,-0.18682578398400002
ACH-000363,-0.0219707170718
ACH-000364,-0.347308532682
ACH-000365,-0.31154292854800003
ACH-000366,-0.27520955477
ACH-000368,-0.456310647672
ACH-000374,-0.21811611782200002
ACH-000375,-0.19666872927999998
ACH-000376,-0.297988199575
ACH-000381,-0.255386335718
ACH-000383,-0.45447196247599997
ACH-000387,-0.151299172082
ACH-000389,-0.349779347223
ACH-000390,-0.468069146219
ACH-000393,-0.469467242028
ACH-000395,-0.469432034767
ACH-000397,-0.31868028353
ACH-000401,-0.571844126206
ACH-000402,-0.337742083628
ACH-000403,-0.0905456433567
ACH-000404,-0.48509701662199994
ACH-000406,-0.120052914339
ACH-000407,-0.19429229496599998
ACH-000408,-0.116790614133
ACH-000410,-0.37811154291599997
ACH-000411,-0.509745654311
ACH-000414,0.00875629937058
ACH-000415,-0.42973008275200003
ACH-000416,-0.314891808178
ACH-000420,-0.17109332399
ACH-000421,-0.15493559091700002
ACH-000424,-0.23989778278700002
ACH-000425,-0.242985505985
ACH-000426,-0.189076857496
ACH-000427,-0.144002136612
ACH-000433,-0.44468108238700005
ACH-000436,-0.076249734406
ACH-000444,-0.108668849212
ACH-000445,-0.14124622227
ACH-000448,-0.152775996246
ACH-000450,-0.470743719346
ACH-000452,-0.43402154648900004
ACH-000454,-0.094053520223
ACH-000458,-0.23757599203699997
ACH-000459,-0.2737856728
ACH-000460,-0.21343793872900002
ACH-000461,-0.300759248972
ACH-000463,-0.5189134561909999
ACH-000464,-0.316872238825
ACH-000466,-0.621657785056
ACH-000467,-0.132142836145
ACH-000468,-0.248243953885
ACH-000469,-0.372612198771
ACH-000470,-0.110857210015
ACH-000471,-0.10565274011600001
ACH-000472,-0.125767389853
ACH-000473,-0.454757243817
ACH-000475,-0.323046017937
ACH-000476,-0.561208934454
ACH-000477,-0.251136813832
ACH-000480,-0.547613909384
ACH-000481,-0.332506893473
ACH-000483,-0.258350884677
ACH-000484,-0.283777267941
ACH-000485,-0.17542763179999998
ACH-000486,-0.360172635832
ACH-000487,-0.141916010352
ACH-000488,-0.260722897538
ACH-000490,-0.0789306311957
ACH-000491,-0.19637813592300002
ACH-000495,-0.6750412250200001
ACH-000496,-0.0621268989659
ACH-000499,-0.151513151609
ACH-000500,0.190123480566
ACH-000502,-0.269702591908
ACH-000503,-0.375520234972
ACH-000505,-0.166180466912
ACH-000507,-0.08014794035419999
ACH-000510,-0.315168665821
ACH-000511,-0.184762064049
ACH-000512,-0.009561816408790001
ACH-000516,-0.44878618302100004
ACH-000517,-0.257657337432
ACH-000518,-0.22148965734
ACH-000520,-0.35630113228
ACH-000521,-0.00263494769841
ACH-000522,-0.258999682481
ACH-000524,-0.338855971749
ACH-000527,-0.142186342793
ACH-000528,-0.09129140354319999
ACH-000537,-0.287017225155
ACH-000541,-0.23577603523200003
ACH-000542,-0.0226721180408
ACH-000544,-0.421780050044
ACH-000545,-0.139373878276
ACH-000547,-0.363699836738
ACH-000548,-0.27852618612
ACH-000549,-0.165877963657
ACH-000550,-0.392645554625
ACH-000552,-0.128323292017
ACH-000556,-0.17059774009599998
ACH-000557,-0.142655701034
ACH-000570,-0.346148838302
ACH-000571,-0.0936130728414
ACH-000573,-0.061089107762199994
ACH-000576,-0.016584218477700002
ACH-000580,-0.140926891383
ACH-000584,-0.335096812944
ACH-000585,-0.40735717973700003
ACH-000588,-0.346645887186
ACH-000589,-0.0192832335142
ACH-000591,-0.374644507362
ACH-000593,-0.199131643292
ACH-000600,-0.41160106658100004
ACH-000601,-0.10490083988900001
ACH-000604,-0.050880337462800004
ACH-000605,-0.12146105883700001
ACH-000606,-0.275839261871
ACH-000608,-0.42384497702600005
ACH-000614,-0.431117662176
ACH-000616,-0.182191586284
ACH-000618,-0.0761271505073
ACH-000619,-0.42150104130599997
ACH-000620,-0.17701239896499998
ACH-000621,-0.34224659312
ACH-000622,-0.48832875956699995
ACH-000623,-0.07644514407089999
ACH-000624,-0.285804290331
ACH-000627,-0.38491268081299995
ACH-000630,-0.28558746158000003
ACH-000632,-0.384005981861
ACH-000633,-0.306502988678
ACH-000637,-0.0205775190815
ACH-000638,-0.395800081082
ACH-000646,-0.287846421536
ACH-000647,-0.0956305259375
ACH-000648,-0.306415538722
ACH-000649,-0.149471619516
ACH-000651,-0.134177129861
ACH-000652,-0.253037344469
ACH-000653,-0.18359832042399998
ACH-000657,-0.223136424496
