,CIAPIN1 (57019)
ACH-000004,-1.55057119211
ACH-000007,-1.1848328606899998
ACH-000009,-0.861017227193
ACH-000011,-1.3994157662399997
ACH-000012,-1.09904317945
ACH-000013,-1.17738320904
ACH-000014,-1.4259437226299998
ACH-000015,-1.05314477055
ACH-000017,-1.1506431640700001
ACH-000018,-1.22795565011
ACH-000019,-1.00467235883
ACH-000021,-0.994029292841
ACH-000022,-0.8599981620980001
ACH-000025,-1.17202197459
ACH-000028,-1.01515060274
ACH-000030,-1.15816421295
ACH-000035,-1.06200393665
ACH-000036,-1.28552079197
ACH-000037,-0.746237315598
ACH-000039,-1.2150007621799999
ACH-000040,-1.02516030841
ACH-000041,-1.03865700811
ACH-000042,-0.992746291587
ACH-000045,-1.02754555514
ACH-000047,-1.01314533095
ACH-000052,-0.9519339489920001
ACH-000053,-1.02113466839
ACH-000054,-1.1443265719
ACH-000055,-1.25741408361
ACH-000060,-0.952741142071
ACH-000067,-0.920341544376
ACH-000070,-1.06797869749
ACH-000075,-1.20660656223
ACH-000078,-1.13005842365
ACH-000082,-1.2408138616
ACH-000085,-0.775953834322
ACH-000086,-1.10865912809
ACH-000087,-1.06689407133
ACH-000092,-1.1898352751
ACH-000095,-0.9333150569259999
ACH-000097,-1.06978543202
ACH-000098,-1.2490891315000001
ACH-000099,-1.09436614218
ACH-000108,-0.7925497657709999
ACH-000113,-1.2257024726999999
ACH-000115,-0.6791307129809999
ACH-000116,-1.0540380214899998
ACH-000118,-0.862558907465
ACH-000120,-0.913050851544
ACH-000123,-1.04058555514
ACH-000127,-1.2546124192399999
ACH-000128,-0.8545070430399999
ACH-000132,-1.45697713704
ACH-000133,-1.10607402877
ACH-000137,-1.33289775088
ACH-000138,-1.07015165427
ACH-000142,-1.10704380786
ACH-000143,-1.1489590461
ACH-000146,-1.10164694041
ACH-000148,-1.17329750137
ACH-000150,-0.921933962488
ACH-000152,-1.0556760069
ACH-000153,-0.806374144709
ACH-000159,-1.17721442377
ACH-000160,-0.940806289519
ACH-000163,-0.930090452306
ACH-000167,-1.19419166104
ACH-000168,-1.1089028793
ACH-000169,-1.10729612985
ACH-000178,-0.889345735135
ACH-000182,-0.99540688529
ACH-000183,-1.05249300231
ACH-000188,-1.05995122428
ACH-000189,-0.964516675056
ACH-000190,-1.26679865759
ACH-000198,-1.13829613679
ACH-000204,-0.844630986457
ACH-000206,-1.03030347146
ACH-000207,-0.669487413065
ACH-000211,-1.25415074178
ACH-000215,-1.2193899793
