,MCEE (84693)
ACH-000004,-0.0842177712608
ACH-000007,-0.231744093112
ACH-000009,-0.139630236143
ACH-000011,-0.31795014279
ACH-000012,-0.17617204530699998
ACH-000013,-0.257532591046
ACH-000014,-0.0417163870079
ACH-000015,-0.177518601478
ACH-000017,-0.27673951294300003
ACH-000018,-0.19002513766399998
ACH-000019,-0.399793694158
ACH-000021,-0.18887136398899998
ACH-000022,-0.292386145794
ACH-000025,-0.097190101024
ACH-000028,-0.301194303812
ACH-000030,-0.2179503511
ACH-000035,-0.19694646859200002
ACH-000036,-0.395498260957
ACH-000037,-0.130976160432
ACH-000039,-0.09967693966980001
ACH-000040,-0.424494224388
ACH-000041,-0.050766971987199996
ACH-000042,-0.27487184347300003
ACH-000045,-0.12801882217
ACH-000047,-0.281843067512
ACH-000052,-0.234162277616
ACH-000053,-0.308110613333
ACH-000054,-0.35526321364600005
ACH-000055,-0.40615177686
ACH-000060,-0.279397989534
ACH-000067,-0.34261173301
ACH-000070,-0.115400049519
ACH-000075,-0.36057727244300003
ACH-000078,-0.0806412885927
ACH-000082,-0.22000699944899998
ACH-000085,-0.45696426871000007
ACH-000086,-0.21994912579300002
ACH-000087,-0.123679447699
ACH-000092,-0.302338351554
ACH-000095,-0.264150212412
ACH-000097,-0.35049575194300003
ACH-000098,-0.206265483548
ACH-000099,-0.15895703468800002
ACH-000108,-0.29570367620099997
ACH-000113,-0.38092137776600005
ACH-000115,-0.11523497970100001
ACH-000116,-0.32829251013
ACH-000118,-0.295027330284
ACH-000120,-0.298996406318
ACH-000123,-0.006754051557640001
ACH-000127,-0.171930482207
ACH-000128,-0.30671056044399997
ACH-000132,-0.157248283456
ACH-000133,-0.348351449182
ACH-000137,-0.4449970598
ACH-000138,-0.253859665917
ACH-000142,-0.19921218108
ACH-000143,-0.298641321729
ACH-000146,-0.33747019744999995
ACH-000148,-0.352423896695
ACH-000150,-0.24988917986099998
ACH-000152,-0.34104421186800005
ACH-000153,0.0801840478142
ACH-000159,-0.194026572583
ACH-000160,0.0390597074467
