,UROD (7389)
ACH-000004,-1.00845388525
ACH-000007,-0.97069793229
ACH-000009,-0.657028153658
ACH-000011,-0.0571525626423
ACH-000012,-0.8780858649529999
ACH-000013,-0.529601909446
ACH-000014,-0.623361905382
ACH-000015,-0.595460747316
ACH-000017,-1.17122463774
ACH-000018,-0.8512358005159999
ACH-000019,-0.568664973159
ACH-000021,-1.4567267398600001
ACH-000022,-0.610165957348
ACH-000025,-0.641042039867
ACH-000028,-0.6928475417129999
ACH-000030,-1.10650028635
ACH-000035,-1.20360971582
ACH-000036,-0.271979393629
ACH-000037,-0.710341149441
ACH-000039,-0.612527828676
ACH-000040,-0.732507636551
ACH-000041,-0.334719176778
ACH-000042,-0.975231432456
ACH-000045,-0.8808842188179999
ACH-000047,-0.909145091252
ACH-000052,-0.652611902975
ACH-000053,-1.27746849356
ACH-000054,-1.0543863603399999
ACH-000055,-1.22360930894
ACH-000060,-0.825567383847
ACH-000067,-0.621706734056
ACH-000070,-1.00761417388
ACH-000075,-0.609690242479
ACH-000078,-0.35786439459799996
ACH-000082,-0.587381605974
ACH-000085,-0.83333863299
ACH-000086,-0.300851871536
ACH-000087,-1.15002537129
ACH-000092,-0.795332606241
ACH-000095,-0.298586251373
ACH-000097,-0.577113687166
ACH-000098,-0.610800200414
ACH-000099,-0.821012438635
ACH-000108,-0.796168295596
ACH-000113,-0.73910439567
ACH-000115,-0.512084780484
ACH-000116,-1.01024137657
ACH-000118,-1.02480655078
ACH-000120,-1.1795633810600001
ACH-000123,-0.531561680287
ACH-000127,-0.9498823300020001
ACH-000128,-0.631854228724
ACH-000132,-0.5685607934179999
ACH-000133,-0.46745725221999995
ACH-000137,-0.74989246264
ACH-000138,-0.629330285103
ACH-000142,-0.8832828858030001
ACH-000143,-0.365821779749
ACH-000146,-1.24635083052
ACH-000148,-0.686481789919
ACH-000150,-0.8872719620299999
ACH-000152,-0.5759768452130001
ACH-000153,-1.18730335801
ACH-000159,-0.508971260681
ACH-000160,-0.527045478261
ACH-000163,-0.5241204040899999
ACH-000167,-1.22650506565
ACH-000168,-0.744809983433
ACH-000169,-0.651271958051
ACH-000178,-0.690536184601
ACH-000182,-0.456500212772
ACH-000183,-1.1092415101200002
ACH-000188,-0.8266417499050001
ACH-000189,-0.79878743829
ACH-000190,-0.77925595327
ACH-000198,-0.867172999246
ACH-000204,-0.347164820469
ACH-000206,-0.631588717076
ACH-000207,-0.8406394507539999
ACH-000211,-0.39714973229999995
ACH-000215,-0.188271265181
ACH-000221,-0.827808173541
ACH-000222,-0.790865768761
ACH-000223,-1.13326501354
ACH-000226,-1.0322842880299998
ACH-000227,-0.43645234318899995
ACH-000228,-0.560012654679
ACH-000231,-0.837683486162
ACH-000232,-0.316815862391
ACH-000233,-1.2597895274600002
ACH-000234,-0.7008233125660001
ACH-000235,-1.0068967260200001
ACH-000237,-0.517280501253
ACH-000238,-0.7453550461599999
ACH-000243,-0.9310646838969999
ACH-000244,-0.197419281142
ACH-000246,-0.323182102504
ACH-000248,-0.880497356041
ACH-000250,-0.34302156348000007
ACH-000251,-1.1100331525700002
ACH-000253,-1.1643584694
ACH-000255,-0.34383229799099996
ACH-000256,-0.45820032604999994
ACH-000257,-0.639216071292
ACH-000258,-0.7070198524410001
ACH-000259,-1.00123754246
ACH-000260,-0.30725784271400003
ACH-000261,-0.549724851809
ACH-000262,-0.352743656168
ACH-000263,-0.890887459896
ACH-000264,-0.822107720729
ACH-000265,-0.8969490855329999
ACH-000266,-0.5717741872209999
ACH-000272,-0.644650524458
ACH-000273,-0.6979334296449999
ACH-000274,-0.442930585235
ACH-000277,-1.17234272196
ACH-000278,-0.620508294103
ACH-000279,-0.974543237889
ACH-000280,-0.675240510005
ACH-000281,-1.31066761213
ACH-000288,-0.8261673704090001
ACH-000291,-0.23729561241500002
ACH-000293,-0.7703675643000001
ACH-000294,-1.1969449893200002
ACH-000295,-1.42085249206
ACH-000296,-0.678891887357
ACH-000302,-0.925080575957
ACH-000304,-0.6762391730769999
ACH-000307,-0.6690566352130001
ACH-000308,-0.516538737377
ACH-000310,-0.596963176
ACH-000311,-0.852815830209
ACH-000312,-0.515845727098
ACH-000315,-1.10001355643
ACH-000316,-0.534583833534
ACH-000317,-0.758425965919
ACH-000318,-0.677517073239
ACH-000319,-0.647387548987
ACH-000320,-1.14199503991
ACH-000322,-0.789687430969
ACH-000323,-0.38365197083700003
ACH-000324,-0.41594064567199995
ACH-000329,-0.753980349929
ACH-000330,-1.27084184385
ACH-000331,-0.23084711886999998
ACH-000332,-0.42095871685099995
ACH-000334,-1.4959078336700002
ACH-000335,-0.575130379034
ACH-000336,-0.931656454928
ACH-000337,-0.777611094265
ACH-000339,-1.09850556656
ACH-000341,-0.619213962302
ACH-000348,-0.716765863199
ACH-000350,-0.609325851875
ACH-000352,-0.538588295549
ACH-000356,-0.756807204386
ACH-000361,-0.0747783538446
ACH-000362,-1.15873239651
ACH-000363,-0.406195291969
ACH-000364,-0.46772052838699996
ACH-000365,-1.10381578751
ACH-000366,-0.299784525865
ACH-000368,-0.5807116412009999
ACH-000374,-0.942456428824
ACH-000375,-1.18030603112
ACH-000376,-0.643892413454
ACH-000381,-0.7664948830149999
ACH-000383,-1.0771715265100001
ACH-000387,-0.883277549393
ACH-000389,-0.23452254238899997
ACH-000390,-0.730322412226
ACH-000393,-0.523097809679
ACH-000395,-0.908023648423
ACH-000397,-1.3357452239399998
ACH-000401,-0.49909369202200005
ACH-000402,-0.986739734734
ACH-000403,-0.512586802002
ACH-000404,-0.47885639485
ACH-000406,-1.17565899495
ACH-000407,-0.705611683792
ACH-000408,-0.8244149939550001
ACH-000410,-1.11881455605
ACH-000411,-0.374223634554
ACH-000414,-0.683388120865
ACH-000415,-0.594343045441
ACH-000416,-0.9469845831129999
ACH-000420,-0.429303425708
ACH-000421,-0.901433560801
ACH-000424,-0.6279232438319999
ACH-000425,-0.588755785684
ACH-000426,-1.2584899573700001
ACH-000427,-0.5750454207600001
ACH-000433,-0.466661099113
ACH-000436,-1.0417912440100001
ACH-000444,-0.6794570868109999
ACH-000445,-0.631064850216
ACH-000448,-0.42746281591799995
ACH-000450,-0.7569061942199999
ACH-000452,-0.5499261805560001
ACH-000454,-0.9058722254260001
ACH-000458,-0.685832672879
ACH-000459,-1.33548216602
ACH-000460,-1.0713554681200002
ACH-000461,-1.38105915982
ACH-000463,-0.34815580132
ACH-000464,-0.7224364201360001
ACH-000466,-1.04627787324
ACH-000467,-0.837156875289
ACH-000468,-1.7724252586200002
ACH-000469,-0.426867330194
ACH-000470,-1.5905837429299998
ACH-000471,-0.49900165463
ACH-000472,-0.7900430691660001
ACH-000473,-0.483145562549
ACH-000475,-0.530558105554
ACH-000476,-0.21751342487300002
ACH-000477,-0.865145805908
ACH-000480,-0.6116433103360001
ACH-000481,-0.693165915231
ACH-000483,-0.564239915899
ACH-000484,-0.295269370229
ACH-000485,-1.41661374688
ACH-000486,-1.0255531895
ACH-000487,-0.7253458655480001
ACH-000488,-0.736117994014
ACH-000490,-0.36167919123000003
ACH-000491,-0.796868726786
ACH-000495,-0.61000642131
ACH-000496,-0.734417322555
ACH-000499,-0.640470294221
ACH-000500,-0.969156443264
ACH-000502,-1.28259982624
ACH-000503,-0.401005799158
ACH-000505,-0.845144687526
ACH-000507,-0.8381580411249999
ACH-000510,-0.972062220625
ACH-000511,-0.377997508045
ACH-000512,-1.26761602814
ACH-000516,-0.397393691531
ACH-000517,-0.5979055486689999
ACH-000518,-0.208035703343
ACH-000520,-0.294980076333
ACH-000521,-1.3056789330299998
ACH-000522,-1.3115379942799998
ACH-000524,-0.532424457982
ACH-000527,-0.9474126216750001
ACH-000528,-1.24892647281
ACH-000537,-0.443892554053
ACH-000541,-0.8228441013529999
ACH-000542,-0.9112934329000001
ACH-000544,-0.779798123987
ACH-000545,-0.427973214414
ACH-000547,-1.00798923026
ACH-000548,-0.7476178865790001
ACH-000549,-0.589635095342
ACH-000550,-0.7581144669300001
ACH-000552,-0.8029929566670001
ACH-000556,-0.594187229277
ACH-000557,-1.55504124085
ACH-000570,-0.32273505195
ACH-000571,-0.737859010248
ACH-000573,-0.903815894164
ACH-000576,-1.06219206417
ACH-000580,-1.12936109873
ACH-000584,-1.33697862392
ACH-000585,-0.793511385994
ACH-000588,-1.12908339829
ACH-000589,-0.820099867109
ACH-000591,-0.50464058158
ACH-000593,-1.1333920884200002
ACH-000600,-0.38230600517499996
ACH-000601,-0.9799182970010001
ACH-000604,-0.472764742315
ACH-000605,-0.697273349471
ACH-000606,-0.476553403536
ACH-000608,-0.6953952486239999
ACH-000614,-0.814153456381
ACH-000616,-0.5861842449319999
ACH-000618,-0.6980013253020001
ACH-000619,-0.596605573797
ACH-000620,-0.609344500183
ACH-000621,-0.6766124408149999
ACH-000622,-0.6764287943889999
ACH-000623,-0.644165364312
ACH-000624,-0.552777159523
ACH-000627,-0.94604367768
ACH-000630,-0.646014168571
ACH-000632,-0.652471838133
ACH-000633,-0.990880837985
ACH-000637,-0.472730682067
ACH-000638,-1.09472468168
ACH-000646,-0.575856645902
ACH-000647,-0.645855226669
ACH-000648,-0.965614257827
ACH-000649,-0.426531375545
ACH-000651,-0.681240952428
ACH-000652,-1.19408652157
ACH-000653,-0.529808024504
ACH-000657,-0.580143969685
ACH-000658,-1.50831170403
ACH-000661,-0.796320961314
ACH-000662,-1.37228733289
