,DBF4 (10926)
ACH-000004,-0.958649675882
ACH-000007,-1.11776459615
ACH-000009,-0.896528211484
ACH-000011,-0.942637533764
ACH-000012,-0.871106611757
ACH-000013,-1.03448228401
ACH-000014,-0.9317177005
ACH-000015,-0.748706173632
ACH-000017,-0.35377982077200004
ACH-000018,-0.43662933096199996
ACH-000019,-0.6027078929199999
ACH-000021,-0.652740751967
ACH-000022,-1.24418185639
ACH-000025,-0.968292551193
ACH-000028,-0.7458774793940001
ACH-000030,-0.778660339181
ACH-000035,-0.726858728008
ACH-000036,-0.6747095637649999
ACH-000037,-0.644293454579
ACH-000039,-1.0273080404600001
ACH-000040,-0.932702459156
ACH-000041,-0.729310188337
ACH-000042,-1.27378406288
ACH-000045,-0.638755834828
ACH-000047,-0.748156030756
ACH-000052,-1.63243563394
ACH-000053,-0.12150122986999999
ACH-000054,-0.610892320684
ACH-000055,-1.1765575561100001
ACH-000060,-0.8151456236810001
ACH-000067,-1.211761017
ACH-000070,-0.872270855383
ACH-000075,-0.885482620917
ACH-000078,-0.43380141915200005
ACH-000082,-0.752248997889
ACH-000085,-1.1087840449700002
ACH-000086,-0.782258378061
ACH-000087,-1.18795441049
ACH-000092,-0.875655912579
ACH-000095,-0.9968487002940001
ACH-000097,-0.8028519603450001
ACH-000098,-0.5145626502530001
ACH-000099,-0.683218021603
ACH-000108,-0.676388822279
ACH-000113,-0.6100141573
ACH-000115,-0.0233355072975
ACH-000116,-0.8764139678039999
ACH-000118,-0.930245899007
ACH-000120,-0.5876145239289999
ACH-000123,-0.559806775354
ACH-000127,-0.46142630597900003
ACH-000128,-0.6897581519820001
ACH-000132,-0.636204784342
ACH-000133,-0.773450552713
ACH-000137,-0.676646349945
ACH-000138,-0.581068505785
ACH-000142,-0.656369956779
ACH-000143,-0.8965128908810001
ACH-000146,-0.760777768552
ACH-000148,-0.486016739014
ACH-000150,-0.7371791491609999
ACH-000152,-0.9888752439569999
ACH-000153,-1.0714502779100001
ACH-000159,-0.881589990335
ACH-000160,-1.20916102086
ACH-000163,-1.06063896764
ACH-000167,-1.06516763316
ACH-000168,-0.756954244344
ACH-000169,-0.643942521456
ACH-000178,-1.05530554576
ACH-000182,-0.758984628992
ACH-000183,-0.856505201147
ACH-000188,-0.665787609283
ACH-000189,-1.01793829688
ACH-000190,-0.7969971835699999
ACH-000198,-0.32307840016
ACH-000204,-0.44105046126
ACH-000206,-0.648073511289
ACH-000207,-1.09627213138
ACH-000211,-1.26618453033
ACH-000215,-0.498517027883
ACH-000221,-0.765364126785
ACH-000222,-0.905419853451
ACH-000223,-1.58425587292
ACH-000226,-0.814363301908
ACH-000227,-1.05891104342
ACH-000228,-0.797247916647
ACH-000231,-0.562665921224
ACH-000232,-0.8470365681800001
ACH-000233,-0.32686510599199997
ACH-000234,-0.429800652719
ACH-000235,-0.765934361022
ACH-000237,-0.60436243033
ACH-000238,-0.7145513448849999
ACH-000243,-0.435986387786
ACH-000244,-0.840569262519
ACH-000246,-0.29796524487
ACH-000248,-0.377276186446
ACH-000250,-0.448573534264
ACH-000251,-0.70947378433
ACH-000253,-1.0865756608600001
ACH-000255,-0.7448058889040001
ACH-000256,-1.05793997724
ACH-000257,-0.5162034275680001
