,BUB1B (701)
ACH-000004,-1.68572213582
ACH-000007,-1.3553812286000002
ACH-000009,-1.4078211142800001
ACH-000011,-1.31276052514
ACH-000012,-1.69235791107
ACH-000013,-1.41179062348
ACH-000014,-1.3991190483899998
ACH-000015,-1.52098826889
ACH-000017,-1.4300732907799998
ACH-000018,-1.1888948930399998
ACH-000019,-1.8549936982799997
ACH-000021,-1.7416632954900002
ACH-000022,-1.5286813607499998
ACH-000025,-1.3363248691
ACH-000028,-1.4107125148700002
ACH-000030,-1.41994142361
ACH-000035,-1.52819708595
ACH-000036,-1.506253782
ACH-000037,-0.4667166582399999
ACH-000039,-1.82524710646
ACH-000040,-1.33697211589
ACH-000041,-1.68222004777
ACH-000042,-1.39439210039
ACH-000045,-1.3564000275499999
ACH-000047,-1.5490900457299999
ACH-000052,-1.62255931669
ACH-000053,-1.6342682384
ACH-000054,-1.36607958634
ACH-000055,-1.5120785738
ACH-000060,-1.14175596654
ACH-000067,-1.0588931439700002
ACH-000070,-0.8221742163660001
ACH-000075,-1.6709651362600002
ACH-000078,-1.6356948409099998
ACH-000082,-1.3951357619999998
ACH-000085,-1.5068135095500002
ACH-000086,-1.4069700897100001
ACH-000087,-1.61769247274
ACH-000092,-1.3341163736200001
ACH-000095,-1.53629288096
ACH-000097,-1.3047425971200002
ACH-000098,-0.9281096954160001
ACH-000099,-1.39760138787
ACH-000108,-1.57861360379
ACH-000113,-1.4666621066699999
ACH-000115,-1.9774447827200001
ACH-000116,-1.67263455971
ACH-000118,-1.43251371623
ACH-000120,-1.3427347903799998
ACH-000123,-1.4427672484099998
ACH-000127,-1.51323203295
ACH-000128,-1.8623771782900003
ACH-000132,-1.7925915780400001
ACH-000133,-1.31924002287
ACH-000137,-1.7211032769499999
ACH-000138,-1.39413636352
ACH-000142,-1.31794498546
ACH-000143,-1.0582398425700001
ACH-000146,-2.04317679747
ACH-000148,-1.5899075680399999
ACH-000150,-1.2490420260600001
ACH-000152,-1.39685552207
ACH-000153,-1.9737064016699999
ACH-000159,-1.4625444562999999
ACH-000160,-1.8521999894999999
ACH-000163,-1.7342143386200002
ACH-000167,-1.7892178548700002
ACH-000168,-1.62825458664
ACH-000169,-1.40295290291
ACH-000178,-1.5080794607299999
ACH-000182,-1.38536387683
ACH-000183,-1.51126905651
ACH-000188,-1.15395481348
ACH-000189,-1.33181179604
ACH-000190,-1.5641555848
ACH-000198,-1.5285982066400001
ACH-000204,-1.10255949901
ACH-000206,-1.14182634325
ACH-000207,-1.46525968067
ACH-000211,-1.4581711132
ACH-000215,-1.41306268343
ACH-000221,-1.3168168796700002
ACH-000222,-1.44586718527
ACH-000223,-1.61865356132
ACH-000226,-1.27272242021
ACH-000227,-1.98824674262
ACH-000228,-1.5499301927000002
ACH-000231,-1.3181472506899998
ACH-000232,-1.59742216157
ACH-000233,-1.60584211287
ACH-000234,-1.4282588460499999
ACH-000235,-1.4207035613499999
ACH-000237,-1.44925528167
ACH-000238,-1.3822557746000002
ACH-000243,-1.59935452013
ACH-000244,-1.11301161309
ACH-000246,-1.26516222376
ACH-000248,-1.38229871915
ACH-000250,-1.09742336687
ACH-000251,-1.19590198045
ACH-000253,-1.38369549264
ACH-000255,-1.35547361445
ACH-000256,-1.83473475682
ACH-000257,-1.7787754356099998
ACH-000258,-1.5555413237
ACH-000259,-1.47713806333
ACH-000260,-1.40224282497
ACH-000261,-1.45147116676
ACH-000262,-1.41433567723
ACH-000263,-1.9078175323299997
ACH-000264,-1.33928139817
ACH-000265,-1.56236684893
ACH-000266,-1.61891797972
ACH-000272,-1.48941169657
ACH-000273,-1.3076683101
ACH-000274,-1.1179099383700002
ACH-000277,-1.4163413562399998
ACH-000278,-1.7861675832
ACH-000279,-1.48040813511
ACH-000280,-1.52738112103
ACH-000281,-1.42646187783
ACH-000288,-1.50211583039
ACH-000291,-1.42112239307
ACH-000293,-1.30688285737
ACH-000294,-1.62956117089
ACH-000295,-1.69077382097
ACH-000296,-1.36147837977
ACH-000302,-1.9213791843
ACH-000304,-1.3474414389899998
ACH-000307,-1.46426264722
ACH-000308,-1.70031282462
ACH-000310,-1.8134685172
ACH-000311,-1.29917035669
ACH-000312,-1.39281307493
ACH-000315,-1.5278881327899998
ACH-000316,-1.41944605394
ACH-000317,-1.1579493940799999
ACH-000318,-1.41079441889
ACH-000319,-1.6828868260699998
ACH-000320,-1.48712497524
ACH-000322,-0.796453505179
ACH-000323,-1.35273128342
ACH-000324,-1.72855343156
ACH-000329,-1.2990578431
ACH-000330,-1.5044386838400001
ACH-000331,-1.29744460581
ACH-000332,-1.4285901492299997
ACH-000334,-1.64198628642
ACH-000335,-1.31949977349
ACH-000336,-1.7533557583400001
ACH-000337,-1.31902522158
ACH-000339,-1.37164312896
ACH-000341,-1.51957512863
ACH-000348,-1.2875030341299998
ACH-000350,-1.54273522322
ACH-000352,-1.7575063274
ACH-000356,-1.67529655725
ACH-000361,-1.58836369632
ACH-000362,-1.44088923204
ACH-000363,-1.6253785497100002
ACH-000364,-1.45649706743
ACH-000365,-1.3742210164700002
ACH-000366,-1.4607043530500001
ACH-000368,-1.50096784465
ACH-000374,-1.7069841432600001
ACH-000375,-1.4043042791299998
ACH-000376,-1.38891227898
ACH-000381,-1.2245697172
ACH-000383,-1.5203493490399997
ACH-000387,-1.9215215561599999
ACH-000389,-1.42143645539
ACH-000390,-1.0685956289899998
ACH-000393,-1.44494048185
ACH-000395,-1.99280905865
ACH-000397,-1.17440137403
ACH-000401,-1.43559215296
ACH-000402,-1.34038180633
ACH-000403,-1.89012917869
ACH-000404,-1.38724328553
ACH-000406,-1.4522247974200002
ACH-000407,-1.30403519549
ACH-000408,-1.42575594233
ACH-000410,-1.22352129812
ACH-000411,-1.3679403102
ACH-000414,-1.4744526165799998
ACH-000415,-1.37327863615
ACH-000416,-1.4188608554700002
ACH-000420,-1.51323426523
ACH-000421,-1.4522302311700002
ACH-000424,-1.6478868548199999
ACH-000425,-1.53587276521
ACH-000426,-0.9856281208600001
ACH-000427,-1.53213161551
ACH-000433,-1.4132732169
ACH-000436,-1.3959595963799998
ACH-000444,-1.2492730677200001
ACH-000445,-1.2400501352200002
ACH-000448,-1.32649437308
ACH-000450,-1.35019001219
ACH-000452,-1.66879470574
ACH-000454,-1.00973910112
ACH-000458,-1.243193508
ACH-000459,-0.718058896844
ACH-000460,-1.4949694220200003
ACH-000461,-1.98884234681
ACH-000463,-1.3535612893900002
ACH-000464,-1.3566817457
ACH-000466,-1.4047611674200002
ACH-000467,-1.2095630622
ACH-000468,-1.77871351021
ACH-000469,-1.43367307082
ACH-000470,-2.42625926544
ACH-000471,-1.4195844501600001
ACH-000472,-1.8681019049599998
ACH-000473,-1.46066415691
ACH-000475,-1.28448851277
ACH-000476,-1.41533157168
ACH-000477,-0.9296676762039999
ACH-000480,-1.27064391346
ACH-000481,-1.81730915433
ACH-000483,-1.55099268753
ACH-000484,-1.6731748273
ACH-000485,-1.31635404906
ACH-000486,-1.23009716714
ACH-000487,-1.13979967858
ACH-000488,-1.38619094871
ACH-000490,-1.29906777166
ACH-000491,-1.50399449432
ACH-000495,-1.2125914454
ACH-000496,-1.4328349362000001
ACH-000499,-1.5214304242200003
ACH-000500,-1.51140645115
ACH-000502,-1.5253646577700002
ACH-000503,-1.7487576980300001
ACH-000505,-1.32473163285
ACH-000507,-1.46802581853
ACH-000510,-1.5639676748299998
ACH-000511,-1.59449414024
ACH-000512,-1.35738670084
ACH-000516,-1.48790883134
ACH-000517,-1.94817378719
ACH-000518,-1.40679215401
ACH-000520,-1.67638769632
ACH-000521,-1.170657785
ACH-000522,-1.45997253629
ACH-000524,-1.5938545734099998
ACH-000527,-1.66178907018
ACH-000528,-1.36303291269
ACH-000537,-1.2199602162899998
ACH-000541,-1.31471888782
ACH-000542,-1.68432535576
ACH-000544,-1.51413057391
ACH-000545,-1.37474290067
ACH-000547,-1.7832439614400002
ACH-000548,-1.52301614406
ACH-000549,-1.5328357312600003
ACH-000550,-1.3660336998299998
ACH-000552,-1.27733058506
ACH-000556,-1.7418139542500002
ACH-000557,-1.83187498254
ACH-000570,-1.2031666282100002
ACH-000571,-1.9048454899400002
ACH-000573,-1.41782776322
ACH-000576,-1.3094613647799997
ACH-000580,-1.08323467624
ACH-000584,-1.4661678526700002
ACH-000585,-1.6527264746099999
ACH-000588,-1.61965136609
ACH-000589,-1.28113311099
ACH-000591,-1.2384224444499998
ACH-000593,-1.3963877470800001
ACH-000600,-1.5628199777
ACH-000601,-1.5296754226700002
ACH-000604,-1.38660783581
ACH-000605,-1.58040301873
ACH-000606,-1.26011685387
ACH-000608,-1.9193122834
ACH-000614,-1.2623863011799998
ACH-000616,-1.24173785408
ACH-000618,-1.1740551179899998
ACH-000619,-1.63371088618
ACH-000620,-1.57233689393
ACH-000621,-1.9993918879400003
ACH-000622,-1.25764119325
ACH-000623,-1.09694628215
ACH-000624,-1.34010778169
ACH-000627,-1.55234219018
ACH-000630,-1.56740424567
ACH-000632,-1.3942929638
ACH-000633,-1.6196509343099998
ACH-000637,-1.52128820708
ACH-000638,-1.45599298259
ACH-000646,-1.52964767699
ACH-000647,-1.78334564181
ACH-000648,-1.06693104661
ACH-000649,-1.36801596521
ACH-000651,-1.26276358636
ACH-000652,-1.37346819132
ACH-000653,-1.52340288157
ACH-000657,-1.4246803973
ACH-000658,-1.00255661934
ACH-000661,-1.4627537388299998
ACH-000662,-1.26998336961
ACH-000663,-1.72355607593
ACH-000665,-1.4362886806600001
ACH-000671,-1.3504109424500002
ACH-000673,-1.27192613936
ACH-000676,-1.59671848654
ACH-000677,-1.23723771956
ACH-000681,-1.49079222658
ACH-000682,-1.7658536366599997
ACH-000683,-1.6036958621000001
ACH-000684,-1.3838278603799998
ACH-000688,-0.838435264675
ACH-000693,-1.4907378092399999
ACH-000694,-1.42827276821
ACH-000695,-1.16113332526
ACH-000696,-1.4443153517299998
ACH-000697,-1.22142287456
ACH-000699,-0.986403030085
ACH-000701,-1.88477127635
ACH-000706,-1.57765228339
ACH-000711,-1.4700348288
ACH-000713,-1.5676014650499999
ACH-000714,-1.28828655255
ACH-000718,-1.7083991580000002
ACH-000720,-1.5031037377899998
ACH-000721,-1.3968589495800001
ACH-000724,-1.7692641509400002
ACH-000725,-1.29736656449
ACH-000732,-1.37427434554
ACH-000734,-1.43232192914
ACH-000735,-1.5364805245299997
ACH-000736,-1.37798115873
ACH-000738,-1.3857309972100003
ACH-000746,-1.93403391561
ACH-000747,-1.41056974962
ACH-000748,-1.44809052052
ACH-000753,-1.72971067569
ACH-000756,-1.71068558959
ACH-000757,-1.7309126180599999
ACH-000758,-1.23420686261
ACH-000760,-1.6223290115900002
ACH-000763,-1.06825220724
ACH-000764,-1.3298571052700001
ACH-000765,-1.18081742286
ACH-000766,-1.58699751346
ACH-000767,-1.59039731458
ACH-000768,-1.4281688560899999
ACH-000769,-1.39640488252
ACH-000770,-1.48826155262
ACH-000771,-1.44383023035
ACH-000773,-1.25544286441
ACH-000776,-1.40867987473
ACH-000777,-1.66311070321
ACH-000778,-2.01035741813
ACH-000781,-1.4491445405399999
ACH-000782,-1.36342197331
ACH-000783,-1.46317302295
ACH-000784,-1.56378111134
ACH-000785,-1.87851685562
ACH-000787,-1.5416693108300001
ACH-000788,-1.61412306567
ACH-000791,-1.5812906738799999
ACH-000792,-1.31610247563
ACH-000794,-1.57492310735
ACH-000796,-1.61024893495
ACH-000799,-1.3416298415999999
ACH-000800,-1.57406161463
ACH-000802,-1.51648121365
ACH-000804,-1.1489554312899999
ACH-000805,-1.7063536937900001
ACH-000809,-1.3750888804299999
ACH-000810,-1.8248427241499998
ACH-000811,-1.41615441179
ACH-000817,-1.27966426395
ACH-000819,-1.47639908157
ACH-000820,-1.5277938775400002
ACH-000821,-1.6315474857499999
ACH-000822,-1.36729568893
ACH-000823,-1.66093907532
ACH-000824,-1.7537607470599996
ACH-000827,-1.39095685322
ACH-000829,-1.56549790488
ACH-000831,-1.55026675558
ACH-000832,-1.2934016472
ACH-000833,-1.4305980470100002
ACH-000834,-1.42646904473
ACH-000835,-1.3545145486399999
ACH-000836,-1.7509839062099999
ACH-000837,-1.20265942673
ACH-000838,-1.4191382396899999
ACH-000839,-1.4829289608200003
ACH-000840,0.0104129551825
ACH-000841,-1.5744188636200003
ACH-000843,-1.26343354701
ACH-000846,-1.6390429640900002
ACH-000847,-1.6370697157299998
ACH-000848,-1.42670557308
ACH-000849,-1.6920108024200002
ACH-000851,-1.6335171153
ACH-000855,-1.27325660926
ACH-000856,-1.50850386877
ACH-000858,-1.21917344248
ACH-000859,-1.4085565284000001
ACH-000861,-1.5427190329
ACH-000862,-1.41072643377
ACH-000865,-1.4186416587900001
ACH-000866,-1.6027477103499999
ACH-000867,-1.92060462957
ACH-000869,-1.0949292087
ACH-000872,-0.585036249855
ACH-000873,-1.5398981721
ACH-000876,-1.3545668368700001
ACH-000878,-1.39483745178
ACH-000880,-1.22455091466
ACH-000881,-1.3317589804799999
ACH-000882,-1.45684368602
ACH-000884,-1.4234626440600002
ACH-000885,-1.32396417882
ACH-000887,-1.77079226662
ACH-000888,-1.10518620868
ACH-000889,-1.2896563405500001
ACH-000890,-1.61679982254
ACH-000896,-1.46907937587
ACH-000898,-1.4568065703400002
ACH-000900,-1.4841800182299998
ACH-000901,-1.61134952739
ACH-000905,-1.42248142417
ACH-000906,-1.39617083159
ACH-000907,-0.74430418284
ACH-000910,-1.18688436542
ACH-000911,-1.3243597730299999
ACH-000912,-1.3746448455000002
ACH-000913,-1.36049327663
ACH-000915,-1.22801517553
ACH-000916,-0.9606133172560001
ACH-000917,-1.01067846616
ACH-000921,-1.6601006685
ACH-000924,-1.5780376174000001
ACH-000926,-1.55111529331
ACH-000928,-1.3373967067499999
ACH-000929,-1.46017662342
ACH-000932,-1.33447003555
ACH-000935,-1.12207470471
ACH-000936,-1.35137980655
ACH-000937,-1.45548171104
ACH-000938,-1.32445568653
ACH-000939,-1.4133511553600002
ACH-000941,-1.4839638617700002
ACH-000943,-1.36736175514
ACH-000946,-1.38049024345
ACH-000947,-1.50779564537
ACH-000948,-1.4866051544799999
ACH-000950,-1.2836270444
ACH-000953,-1.4251678744
ACH-000957,-1.5535372598500001
ACH-000958,-1.53274581973
ACH-000960,-1.16624206479
ACH-000963,-1.7747483957900003
ACH-000968,-1.3246548197399999
ACH-000969,-1.32518177372
ACH-000973,-1.44008943087
