,SETD2 (29072)
ACH-000004,-0.667808134078
ACH-000007,-0.665108918004
ACH-000009,-0.750365345176
ACH-000011,-0.328346186435
ACH-000012,-0.709286362238
ACH-000013,-0.758299324468
ACH-000014,-0.830025925295
ACH-000015,-0.604881280962
ACH-000017,-0.786088065362
ACH-000018,-0.664644874293
ACH-000019,-0.32134924895399997
ACH-000021,-0.453663764108
ACH-000022,-0.591645100614
ACH-000025,-0.921340043999
ACH-000028,-0.6714282363609999
ACH-000030,-0.598125788481
ACH-000035,-0.673473511391
ACH-000036,-0.606052129215
ACH-000037,-0.43413710394500005
ACH-000039,0.012975844015899999
ACH-000040,-0.75108604327
ACH-000041,-0.435743899131
ACH-000042,-0.8981796311049999
ACH-000045,-0.78587076132
ACH-000047,-0.7107373509
ACH-000052,-1.15570730854
ACH-000053,-0.506942865692
ACH-000054,-0.862083586632
ACH-000055,-0.55439076779
ACH-000060,-0.767779323611
ACH-000067,-0.733111048919
ACH-000070,-0.322902354585
ACH-000075,-0.6536715599499999
ACH-000078,-0.660104883494
ACH-000082,-0.7695625469149999
ACH-000085,-1.09908051921
ACH-000086,-0.7575072498459999
ACH-000087,-0.9060754223340001
ACH-000092,-0.522063076453
ACH-000095,-0.516128837838
ACH-000097,-0.520853226711
ACH-000098,-0.32675056079500003
ACH-000099,-0.156817064403
ACH-000108,-0.7102767374240001
ACH-000113,-0.60574284834
ACH-000115,-0.6695108705349999
ACH-000116,-0.674101223771
ACH-000118,-0.648023753674
ACH-000120,-0.585488173244
ACH-000123,-0.789254974721
ACH-000127,-0.48647567012500004
ACH-000128,-0.639369729317
ACH-000132,-0.654463427309
ACH-000133,-0.647918424893
ACH-000137,-0.480216834375
ACH-000138,-0.8370667725669999
ACH-000142,-0.218594254637
ACH-000143,-0.7554045919140001
ACH-000146,-0.576914078398
ACH-000148,-0.43188897129299997
ACH-000150,-0.931309719961
ACH-000152,-0.587306137584
ACH-000153,-0.23074684496999998
ACH-000159,-0.7148519202570001
ACH-000160,-0.03836587926730001
ACH-000163,-0.866431870243
ACH-000167,0.217288474549
ACH-000168,-0.736085682726
ACH-000169,-0.6357634408199999
ACH-000178,-0.60476617962
ACH-000182,-0.568947143609
ACH-000183,-0.62910631689
ACH-000188,-0.809405416438
ACH-000189,-0.47884245462499997
ACH-000190,0.08370524773310001
ACH-000198,-0.691889759519
ACH-000204,-0.5087051710080001
ACH-000206,-0.9471725610289999
ACH-000207,-0.931341890015
ACH-000211,-0.688546482125
ACH-000215,-0.55627980353
ACH-000221,-0.316457910048
ACH-000222,-0.746716294381
ACH-000223,-0.7062819278560001
ACH-000226,-0.438083936575
ACH-000227,-0.615355992147
ACH-000228,-0.43934319683300005
ACH-000231,-0.253892681722
ACH-000232,-0.6622474051839999
ACH-000233,-0.611013964606
ACH-000234,-0.7952928386
ACH-000235,-0.5999134058910001
ACH-000237,-0.662075424907
ACH-000238,-0.739073679689
ACH-000243,-0.6660215634100001
ACH-000244,-0.8813369628309999
ACH-000246,-0.6244248989310001
ACH-000248,-0.43969554429700003
ACH-000250,-0.608647888245
ACH-000251,-0.889448427355
ACH-000253,-0.548120905699
ACH-000255,-0.768614798696
ACH-000256,-0.546499859803
ACH-000257,-0.7444861785789999
ACH-000258,-0.319208392033
ACH-000259,-0.664994868926
ACH-000260,-0.8174774567059999
ACH-000261,-0.333287009386
ACH-000262,-0.977523791291
ACH-000263,-0.38566596036600004
ACH-000264,-0.21345820156800002
ACH-000265,-0.596258972248
ACH-000266,-0.845429865245
ACH-000272,-0.329122425683
ACH-000273,-0.526288533628
ACH-000274,-0.593526964628
ACH-000277,-0.498595637392
ACH-000278,-0.417986165953
ACH-000279,-0.602192703167
ACH-000280,-0.428633752828
ACH-000281,-0.830352778706
ACH-000288,-0.39420297592500003
ACH-000291,-0.895895715924
ACH-000293,-0.7356897369259999
ACH-000294,-0.618716113506
ACH-000295,-0.591714612778
ACH-000296,-0.668811498415
ACH-000302,-0.662686736771
ACH-000304,-0.303690873149
ACH-000307,-0.780634903768
