,SCTR (6344)
ACH-000004,0.024610095655099997
ACH-000007,-0.36163051038599997
ACH-000009,-0.12546966328700002
ACH-000011,-0.167284383595
ACH-000012,-0.21521155327599997
ACH-000013,-0.145226851042
ACH-000014,-0.246973304766
ACH-000015,-0.278063726162
ACH-000017,-0.31883950527800003
ACH-000018,-0.44611423947400003
ACH-000019,-0.024506157685700004
ACH-000021,-0.0024329234362699998
ACH-000022,-0.365491314339
ACH-000025,-0.13365986460100002
ACH-000028,-0.237915960712
ACH-000030,-0.214851327209
ACH-000035,-0.34133645973899995
ACH-000036,-0.07186425615730001
ACH-000037,-0.428102150083
ACH-000039,-0.5561843875729999
ACH-000040,-0.07197492261289999
ACH-000041,-0.20244276344999998
ACH-000042,-0.18630213168600002
ACH-000045,-0.227096608198
ACH-000047,-0.24962188180199998
ACH-000052,-0.5231756916820001
ACH-000053,-0.326744509058
ACH-000054,-0.19041293653900002
ACH-000055,-0.349083494837
ACH-000060,-0.27473398737599997
ACH-000067,-0.226970075193
ACH-000070,-0.189569619625
ACH-000075,-0.21517743708099998
ACH-000078,-0.192002828849
ACH-000082,-0.267724931509
ACH-000085,-0.23078518255600003
ACH-000086,-0.149974649139
ACH-000087,-0.144249739545
ACH-000092,-0.352192395783
ACH-000095,-0.150602534521
ACH-000097,-0.155001767443
ACH-000098,-0.335105044648
ACH-000099,-0.136459657078
ACH-000108,-0.150690808259
ACH-000113,-0.192875326437
ACH-000115,-0.247828009557
ACH-000116,-0.20318435686900002
ACH-000118,-0.249014611406
ACH-000120,-0.227364112399
ACH-000123,-0.26884237721099996
ACH-000127,-0.23363194254099998
ACH-000128,-0.14798627437
ACH-000132,-0.0430741618685
ACH-000133,-0.19455368405999998
ACH-000137,-0.148245976803
ACH-000138,-0.253841809004
ACH-000142,-0.271080253648
ACH-000143,-0.208901716127
ACH-000146,-0.373612366473
ACH-000148,0.08476832296560001
ACH-000150,-0.141591510674
ACH-000152,-0.288834104599
ACH-000153,-0.173088463169
ACH-000159,-0.295291422026
ACH-000160,-0.0768731000513
ACH-000163,-0.204511427652
ACH-000167,-0.102581754856
ACH-000168,-0.0860367444987
ACH-000169,-0.107743565107
ACH-000178,-0.23042379241
ACH-000182,-0.20900996311500003
ACH-000183,-0.20639545452
ACH-000188,-0.116435484955
ACH-000189,-0.323831580725
ACH-000190,-0.41638166208599997
ACH-000198,-0.194716602338
ACH-000204,-0.41647813109399995
ACH-000206,-0.005433345410739999
ACH-000207,-0.34257690382100003
ACH-000211,-0.176488541681
ACH-000215,-0.21616392072700003
ACH-000221,-0.363641436646
ACH-000222,-0.520391536501
ACH-000223,-0.294735012159
ACH-000226,-0.461556076728
ACH-000227,0.0192000437369
ACH-000228,-0.214561083889
ACH-000231,-0.139427330692
ACH-000232,-0.184367885528
ACH-000233,-0.274745464198
ACH-000234,-0.596666815409
ACH-000235,-0.216798524566
ACH-000237,-0.0881203658726
ACH-000238,-0.10353749002599999
ACH-000243,-0.27305993374000004
ACH-000244,0.099427972841
ACH-000246,-0.0497178296608
ACH-000248,-0.110287007368
ACH-000250,-0.218347870012
ACH-000251,-0.17661217410399999
ACH-000253,-0.18951149616500002
ACH-000255,-0.5081516227049999
ACH-000256,-0.142528713157
ACH-000257,-0.15333686090999998
ACH-000258,-0.38203558765
ACH-000259,-0.224577391466
ACH-000260,-0.23860881460900002
ACH-000261,-0.13617985557
ACH-000262,-0.111381930655
ACH-000263,-0.167848604764
ACH-000264,-0.141294451526
ACH-000265,-0.365623272196
ACH-000266,-0.233418402572
ACH-000272,-0.220654133959
ACH-000273,-0.10796261366800002
ACH-000274,-0.194571393358
ACH-000277,0.009010494628650001
ACH-000278,-0.0281948708055
ACH-000279,-0.247365680871
ACH-000280,-0.17572646209800002
ACH-000281,-0.013370964238499998
ACH-000288,-0.144267857793
