,DHFR (1719)
ACH-000004,-1.27570369903
ACH-000007,-0.546177622692
ACH-000009,-0.571647450112
ACH-000011,-1.0225638771799999
ACH-000012,-0.896547183055
ACH-000013,-0.153736049054
ACH-000014,-0.873800428187
ACH-000015,-0.642740820526
ACH-000017,-1.10923209919
ACH-000018,-0.666481539708
ACH-000019,-0.909916881443
ACH-000021,-0.276979522187
ACH-000022,-1.323568064
ACH-000025,-0.813631496323
ACH-000028,-0.746468833157
ACH-000030,-1.1119649052399998
ACH-000035,-0.611347191181
ACH-000036,-0.637150501242
ACH-000037,-0.382947324511
ACH-000039,-0.379750586298
ACH-000040,-0.374428921528
ACH-000041,-0.660200708677
ACH-000042,-0.6753531287350001
ACH-000045,-0.844454576635
ACH-000047,-0.8401549062639999
ACH-000052,-0.916421904396
ACH-000053,-0.950386536119
ACH-000054,-0.08845357523019999
ACH-000055,0.05493381908980001
ACH-000060,-0.41769177162
ACH-000067,-1.0651056779
ACH-000070,-0.9849810383130001
ACH-000075,-0.311196126113
ACH-000078,-0.7961662943279999
ACH-000082,-0.317048911558
ACH-000085,-0.504140736489
ACH-000086,-0.242302890066
ACH-000087,-0.7541981480169999
ACH-000092,-1.03133163781
ACH-000095,-0.800347963729
ACH-000097,-0.912334710343
ACH-000098,-0.255035617849
ACH-000099,-0.7390659989139999
ACH-000108,-0.93389976737
ACH-000113,-0.14707314621099998
ACH-000115,-1.5200645053600002
ACH-000116,-0.151344481005
ACH-000118,-0.104295679302
ACH-000120,-0.413049198737
ACH-000123,-0.669724241823
ACH-000127,-0.8822338208849999
ACH-000128,-0.529889991628
ACH-000132,-0.30634764181400004
ACH-000133,-0.511340790823
ACH-000137,-0.604610098989
ACH-000138,-0.849138870703
ACH-000142,-0.867545661558
ACH-000143,-0.42039524661300004
ACH-000146,-1.19662880662
ACH-000148,-0.347275191394
ACH-000150,-0.328134974039
ACH-000152,-0.291081749922
ACH-000153,-0.681746318425
ACH-000159,-1.00370887892
ACH-000160,-0.471990197765
ACH-000163,-0.412095172041
ACH-000167,-0.8873438041060001
ACH-000168,-0.513245286475
ACH-000169,-0.521535534397
ACH-000178,-0.7134580135140001
ACH-000182,-1.02427029842
ACH-000183,-0.9157187596870001
ACH-000188,-0.93550953391
ACH-000189,-1.1489215265200001
ACH-000190,-0.20859611234499997
ACH-000198,-0.691053959127
ACH-000204,-0.529419055172
ACH-000206,-0.662163285374
ACH-000207,-0.835274793309
ACH-000211,-0.192445147165
ACH-000215,-0.276714409328
ACH-000221,-0.35554603766500004
ACH-000222,-0.8731890480779999
ACH-000223,-0.7230957021359999
ACH-000226,-0.914066958018
ACH-000227,-0.753955092469
ACH-000228,-0.355940258731
ACH-000231,-0.299817674179
ACH-000232,-0.6265486503909999
ACH-000233,-0.816123217639
ACH-000234,-0.612671327696
ACH-000235,-1.09808041772
ACH-000237,-0.0532049796363
ACH-000238,-0.765146718757
ACH-000243,-0.508768291296
ACH-000244,-0.315709960382
ACH-000246,-0.145365242634
ACH-000248,-0.884374695543
ACH-000250,-0.624788612046
ACH-000251,-0.356092175799
ACH-000253,-1.09519813506
ACH-000255,-0.580796811864
ACH-000256,-0.657084592214
ACH-000257,-0.7294002895399999
ACH-000258,-0.958573577007
ACH-000259,-0.9429113828219999
ACH-000260,-0.35038979594499997
ACH-000261,-0.470542760374
ACH-000262,-0.9602409046029999
ACH-000263,-1.0115875860799999
ACH-000264,-0.591417542881
ACH-000265,-0.31947985359000003
ACH-000266,-0.8827727060439999
ACH-000272,-1.04472525961
ACH-000273,-1.08813273896
ACH-000274,-0.628295780963
ACH-000277,-0.886390770859
ACH-000278,-0.502411721595
ACH-000279,-1.1563252535700002
ACH-000280,-0.4911957993
ACH-000281,-0.698312521729
ACH-000288,-0.446341534213
ACH-000291,-0.335565965514
ACH-000293,-0.42545310395
ACH-000294,-1.00854977854
ACH-000295,-0.766003207252
ACH-000296,-0.598662765056
ACH-000302,-0.341499919134
ACH-000304,-0.577814487661
ACH-000307,-0.848583259841
ACH-000308,-0.5540188787479999
ACH-000310,-0.745125734652
ACH-000311,-0.734511518775
ACH-000312,-0.579390487495
ACH-000315,-0.721607983911
ACH-000316,-0.320059215108
ACH-000317,-1.23826715968
ACH-000318,-1.12755664625
ACH-000319,-0.43437809759499996
ACH-000320,-0.37681551825000004
ACH-000322,-0.57153770464
ACH-000323,-0.216544517998
ACH-000324,-0.582641707425
ACH-000329,-0.579273666957
ACH-000330,-0.738311916315
ACH-000331,-0.349878439305
ACH-000332,-0.333242669661
ACH-000334,-1.17633221985
ACH-000335,-0.835695494666
