,TM2D2 (83877)
ACH-000004,-0.125250032181
ACH-000007,-0.7324971502779999
ACH-000009,-0.0970574900053
ACH-000011,0.0325607384188
ACH-000012,-0.10283216765900001
ACH-000013,-0.361201231039
ACH-000014,-0.710755698033
ACH-000015,-0.34447111348000004
ACH-000017,-0.5731613034740001
ACH-000018,-0.35162512316
ACH-000019,-0.523480593475
ACH-000021,-0.177644010134
ACH-000022,-0.350292339002
ACH-000025,-0.40576040163099997
ACH-000028,-0.578590965052
ACH-000030,-0.310016792216
ACH-000035,-0.695905253306
ACH-000036,-0.666029366606
ACH-000037,-0.30849072710700004
ACH-000039,-0.694289243741
ACH-000040,-0.36093108146499997
ACH-000041,-0.126284695059
ACH-000042,-0.901012364212
ACH-000045,-0.325882857004
ACH-000047,-0.0572262048917
ACH-000052,-0.39731495908
ACH-000053,-0.11411563605999998
ACH-000054,-0.504215257465
ACH-000055,-0.144656772184
ACH-000060,-1.03744808203
ACH-000067,-0.6831468401459999
ACH-000070,-0.47662450480499996
ACH-000075,-0.436325189889
ACH-000078,-0.202925638444
ACH-000082,-0.347033640493
ACH-000085,-0.523654923032
ACH-000086,-0.164625684612
ACH-000087,-0.7652331178820001
ACH-000092,-0.08417283874939999
ACH-000095,-0.258641458166
ACH-000097,-0.37957095091399995
ACH-000098,-0.344156174868
ACH-000099,-0.276507552861
ACH-000108,-0.48135861100199995
ACH-000113,-0.25341758279300003
ACH-000115,-0.00674346018552
ACH-000116,-0.6151690051550001
ACH-000118,-0.373124296
ACH-000120,-0.378958128209
ACH-000123,-0.5102089301280001
ACH-000127,-0.376952477251
ACH-000128,-0.34929956289999997
ACH-000132,-0.329778433692
ACH-000133,-0.251172873526
ACH-000137,-0.661039851158
ACH-000138,-0.543623806276
ACH-000142,-0.549440764937
ACH-000143,-0.368157090968
ACH-000146,-0.504146422321
ACH-000148,-0.43450919954800005
ACH-000150,-0.196873293532
ACH-000152,-0.6027158696989999
ACH-000153,-0.274426693165
ACH-000159,-0.382111358137
ACH-000160,-0.232303302782
ACH-000163,-0.490788144174
ACH-000167,-0.24977046710499998
ACH-000168,-0.591395901038
ACH-000169,-0.278866812414
ACH-000178,-0.443589984833
ACH-000182,-0.00118815786482
ACH-000183,0.321632144135
ACH-000188,-0.46569448402900004
ACH-000189,-0.18851211670499998
ACH-000190,-0.322024991309
ACH-000198,-0.9276528463779999
ACH-000204,-0.35232179810500003
ACH-000206,-0.127211881901
ACH-000207,-0.7063134673810001
ACH-000211,-0.440372290254
ACH-000215,-0.35873516259000005
ACH-000221,-0.15073338045999998
ACH-000222,-0.305299312384
ACH-000223,-0.428753594427
ACH-000226,-0.168172423956
ACH-000227,-0.134427872117
ACH-000228,-0.880411492841
ACH-000231,-0.40725632103500004
