,LEPRE1 (64175)
ACH-000004,-0.372271548792
ACH-000007,-0.277026248569
ACH-000009,-0.37393958078100004
ACH-000011,-0.474181330889
ACH-000012,-0.485228391919
ACH-000013,-0.400366174747
ACH-000014,-0.161616228768
ACH-000015,-0.29798914711999996
ACH-000017,-0.46389326239600004
ACH-000018,-0.36287601010799997
ACH-000019,-0.304149474299
ACH-000021,-0.31488601459300003
ACH-000022,-0.232598638574
ACH-000025,-0.525182115882
ACH-000028,-0.407131502584
ACH-000030,-0.272468067276
ACH-000035,-0.422122808843
ACH-000036,-0.39947036355300003
ACH-000037,-0.320913969508
ACH-000039,-0.331248340293
ACH-000040,-0.372896949419
ACH-000041,-0.24945598866399998
ACH-000042,-0.179199150705
ACH-000045,-0.501123727667
ACH-000047,-0.29790016228300004
ACH-000052,-0.37741887953000003
ACH-000053,-0.295748342305
ACH-000054,-0.225300834714
ACH-000055,-0.314359753642
ACH-000060,-0.272997677324
ACH-000067,-0.42994663539800004
ACH-000070,-0.322012628052
ACH-000075,-0.237663725453
ACH-000078,-0.61290860249
ACH-000082,-0.145108015792
ACH-000085,-0.46191176187700006
ACH-000086,-0.42244159716300006
ACH-000087,-0.413462743489
ACH-000092,-0.456747514185
ACH-000095,-0.363589766593
ACH-000097,-0.277158073264
ACH-000098,-0.187568121687
ACH-000099,-0.44526370081200006
ACH-000108,-0.248414789095
ACH-000113,-0.302266865584
ACH-000115,-0.389854536977
ACH-000116,-0.412874980871
ACH-000118,-0.327581829111
ACH-000120,-0.523835389867
ACH-000123,-0.354866022308
ACH-000127,-0.239144513896
ACH-000128,-0.43298503965
ACH-000132,-0.291710729384
ACH-000133,-0.18607783239300002
ACH-000137,-0.33858993966
ACH-000138,-0.216177258868
ACH-000142,-0.43543837605499996
ACH-000143,-0.320592888649
ACH-000146,-0.6100358655229999
ACH-000148,-0.178677845912
ACH-000150,-0.5268891881009999
ACH-000152,-0.43975451618600003
ACH-000153,-0.770186847672
ACH-000159,-0.30511710884599996
ACH-000160,0.091479795826
ACH-000163,-0.33675801025300006
ACH-000167,-0.178836379429
ACH-000168,-0.229774683597
ACH-000169,-0.44333089135
ACH-000178,-0.415465399299
ACH-000182,-0.357607788414
ACH-000183,-0.278486794306
ACH-000188,-0.502761465254
ACH-000189,-0.20915651156800003
ACH-000190,-0.153595545586
ACH-000198,-0.325858689928
ACH-000204,-0.375109391564
ACH-000206,-0.0885543184618
ACH-000207,-0.419941306016
ACH-000211,-0.08662178149830001
ACH-000215,-0.270045749198
ACH-000221,-0.17861254726599998
ACH-000222,-0.37636253288099997
ACH-000223,-0.302920736227
ACH-000226,-0.223169603802
ACH-000227,-0.235873647313
ACH-000228,-0.0942792132265
ACH-000231,-0.246040112638
ACH-000232,-0.332058847025
ACH-000233,-0.0681259464456
ACH-000234,-0.23086440484700002
ACH-000235,-0.165200054045
ACH-000237,-0.30416723977
ACH-000238,-0.33129998198000005
ACH-000243,-0.335368579507
ACH-000244,-0.19381648529399997
ACH-000246,-0.424997055763
ACH-000248,-0.271187283033
ACH-000250,-0.273302266197
ACH-000251,-0.33076560429900004
ACH-000253,-0.3967999091800001
ACH-000255,-0.384617526082
ACH-000256,-0.38926392579700003
ACH-000257,-0.325535737702
ACH-000258,-0.49206639259999996
ACH-000259,-0.321636109792
ACH-000260,-0.29272701683
ACH-000261,-0.34473808193300004
ACH-000262,-0.536089179269
ACH-000263,0.015819474187499998
ACH-000264,-0.25181277380399997
ACH-000265,-0.274666234871
ACH-000266,-0.257143604954
ACH-000272,-0.44782122465199997
ACH-000273,-0.300966710402
ACH-000274,-0.40421264309199995
ACH-000277,-0.381676144047
ACH-000278,-0.171752089146
ACH-000279,-0.373418228354
ACH-000280,-0.266661249811
ACH-000281,-0.262583686103
ACH-000288,-0.332575910328
ACH-000291,-0.241184416104
ACH-000293,-0.484555969728
ACH-000294,-0.102886303239
ACH-000295,0.026749699084400003
ACH-000296,-0.484563068905
ACH-000302,-0.369337247186
ACH-000304,-0.30543390320999997
ACH-000307,-0.167606078807
ACH-000308,-0.26225658239300004
ACH-000310,-0.20012296759300002
ACH-000311,-0.177371611156
ACH-000312,-0.45200208011299997
ACH-000315,-0.335638422934
ACH-000316,-0.151071976346
ACH-000317,0.0168958676398
ACH-000318,-0.21337495973099999
ACH-000319,-0.266124842155
ACH-000320,-0.594265005473
ACH-000322,-0.40705151639799997
ACH-000323,-0.601124956239
ACH-000324,-0.246189319041
ACH-000329,-0.401240379948
ACH-000330,-0.264543458354
ACH-000331,-0.228533075627
ACH-000332,-0.300068517295
ACH-000334,-0.422320598856
ACH-000335,-0.18785724421
ACH-000336,-0.26312107318000005
ACH-000337,-0.32781020678399997
ACH-000339,-0.105877758346
ACH-000341,-0.372716432552
ACH-000348,-0.34159056653000003
ACH-000350,-0.268347124861
ACH-000352,-0.346165285578
ACH-000356,-0.34268734019599995
ACH-000361,-0.14930334525699998
ACH-000362,-0.0657099110242
ACH-000363,-0.132355123022
ACH-000364,-0.24253619169799998
ACH-000365,-0.16367988478
ACH-000366,-0.40449191045599997
ACH-000368,-0.574902175037
ACH-000374,-0.25272056380999997
ACH-000375,-0.14851381049100001
ACH-000376,-0.476356407148
ACH-000381,-0.138129467033
ACH-000383,-0.189501269444
ACH-000387,-0.283769990905
ACH-000389,-0.468592819988
ACH-000390,-0.254244281464
ACH-000393,-0.269202115963
ACH-000395,-0.186370186358
ACH-000397,-0.312686817685
ACH-000401,-0.35385168677199996
ACH-000402,-0.6835147133600001
ACH-000403,-0.110663470132
ACH-000404,-0.012904678585299999
ACH-000406,-0.148605332924
ACH-000407,-0.35918641392800005
ACH-000408,-0.397267558294
ACH-000410,-0.0653278803146
ACH-000411,-0.45181981740500005
ACH-000414,-0.16623822397399998
ACH-000415,-0.284132009377
ACH-000416,-0.272036730696
ACH-000420,-0.288965397109
ACH-000421,-0.26439924482
ACH-000424,-0.234371670447
ACH-000425,-0.23704348458799998
ACH-000426,-0.120035531917
ACH-000427,-0.470964988922
ACH-000433,-0.332684962742
ACH-000436,-0.13557492513
ACH-000444,-0.145129265098
ACH-000445,-0.487454572405
ACH-000448,-0.42014504234800004
ACH-000450,-0.377501456951
ACH-000452,-0.211386953977
ACH-000454,-0.30100077516
ACH-000458,-0.48709269378200004
ACH-000459,-0.145472211777
ACH-000460,-0.152706208286
ACH-000461,-0.337245396912
ACH-000463,-0.196580429461
ACH-000464,-0.37247250643299995
ACH-000466,-0.26173424279
ACH-000467,-0.275600717487
ACH-000468,-0.09253794716199999
ACH-000469,-0.471753433509
ACH-000470,0.0722462102134
ACH-000471,-0.294386638227
ACH-000472,-0.17828233578699998
ACH-000473,-0.373662872282
ACH-000475,-0.40267474496699995
ACH-000476,-0.147916365028
ACH-000477,-0.085771514142
ACH-000480,-0.101767016301
ACH-000481,-0.168418064573
ACH-000483,-0.30197347221
ACH-000484,-0.453324841539
ACH-000485,-0.301033838113
ACH-000486,-0.333586794516
ACH-000487,-0.313986607592
ACH-000488,-0.22743441809700002
ACH-000490,-0.251758176167
ACH-000491,-0.18036894365800002
ACH-000495,-0.565297051895
ACH-000496,-0.368621395523
ACH-000499,-0.39834605600699996
ACH-000500,-0.44094587033699995
ACH-000502,-0.255036362275
ACH-000503,-0.327386289945
ACH-000505,-0.180328255879
ACH-000507,-0.39765325919399996
ACH-000510,-0.252767899584
ACH-000511,-0.42042445479400004
ACH-000512,0.00633408679006
ACH-000516,-0.327485743338
ACH-000517,-0.26012463494800003
ACH-000518,-0.155019179404
ACH-000520,-0.33711823783699996
ACH-000521,-0.44860172058200004
ACH-000522,-0.400681049344
ACH-000524,-0.26807607277600004
ACH-000527,-0.335635044131
ACH-000528,-0.267485810393
ACH-000537,-0.399769293818
ACH-000541,-0.47315085055
ACH-000542,-0.40722192093500004
ACH-000544,-0.128877566953
ACH-000545,-0.354478986429
ACH-000547,-0.49322921930299995
ACH-000548,-0.430852173888
ACH-000549,-0.00924289927926
ACH-000550,-0.37343416416599995
ACH-000552,-0.283268076664
