,MCAT (27349)
ACH-000004,-0.243773221395
ACH-000007,-0.19223547126200002
ACH-000009,-0.261906723115
ACH-000011,-0.0145721128309
ACH-000012,-0.344471045006
ACH-000013,-0.42948458556599994
ACH-000014,-0.262729014689
ACH-000015,-0.414812362068
ACH-000017,-0.295930704407
ACH-000018,-0.041246493360000004
ACH-000019,-0.24826304837699997
ACH-000021,-0.199196201569
ACH-000022,-0.197837702273
ACH-000025,-0.40521351156900004
ACH-000028,-0.45475547802
ACH-000030,-0.23420196586199998
ACH-000035,-0.317879529625
ACH-000036,-0.0385172610059
ACH-000037,-0.27024603913899997
ACH-000039,0.0228261196124
ACH-000040,-0.143279396613
ACH-000041,-0.37253389173600004
ACH-000042,-0.312017616549
ACH-000045,-0.458920840005
ACH-000047,-0.36579952131099996
ACH-000052,-0.25399809967099996
ACH-000053,0.123424503075
ACH-000054,-0.08395425327169999
ACH-000055,-0.19625829686500001
ACH-000060,-0.385720527389
ACH-000067,-0.282842289294
ACH-000070,-0.450304491146
ACH-000075,-0.0450354531103
ACH-000078,-0.191851843457
ACH-000082,-0.06854449861190001
ACH-000085,-0.175648533827
ACH-000086,-0.26280493349399997
ACH-000087,-0.297049268565
ACH-000092,-0.176578016199
ACH-000095,-0.154869752207
ACH-000097,-0.114803283227
ACH-000098,-0.28238000536200003
ACH-000099,-0.181685993308
ACH-000108,-0.33953624147399997
ACH-000113,-0.487117579718
ACH-000115,-0.124840122763
ACH-000116,-0.43485000799900003
ACH-000118,-0.521184713244
ACH-000120,-0.18896549680799998
ACH-000123,-0.249396262832
ACH-000127,-0.078658442509
ACH-000128,-0.41676392083400005
ACH-000132,-0.114823926683
ACH-000133,-0.07099082264960001
ACH-000137,-0.0806356163145
ACH-000138,-0.100952751732
ACH-000142,-0.0903217697222
ACH-000143,-0.40900444903899996
ACH-000146,-0.141577017582
ACH-000148,-0.5019927017220001
ACH-000150,-0.544613584473
ACH-000152,-0.159999349205
ACH-000153,-0.0116951748127
ACH-000159,-0.23865017463100002
ACH-000160,-0.323872459675
ACH-000163,-0.511319340346
ACH-000167,-0.383331894595
ACH-000168,0.19323661565000003
ACH-000169,-0.288417456822
ACH-000178,-0.156555076186
ACH-000182,-0.25830991213599996
ACH-000183,-0.273396867427
ACH-000188,-0.130089389804
ACH-000189,-0.41270212176200005
ACH-000190,-0.142941414168
ACH-000198,-0.340374505048
ACH-000204,-0.330570921884
ACH-000206,-0.105749116538
ACH-000207,-0.436634763342
ACH-000211,-0.11416675533500001
ACH-000215,-0.251994316887
ACH-000221,-0.6964868565369999
ACH-000222,-0.182928964204
ACH-000223,-0.18733194027199998
ACH-000226,-0.13828124062
ACH-000227,-0.413712953646
ACH-000228,-0.34426950443000004
ACH-000231,-0.38965545266699997
ACH-000232,-0.379943335072
ACH-000233,-0.445368269335
ACH-000234,-0.459124040867
ACH-000235,-0.150361515961
ACH-000237,-0.101375229493
ACH-000238,-0.256370055154
ACH-000243,-0.161857560067
ACH-000244,-0.109152840293
ACH-000246,-0.132190376695
ACH-000248,-0.204454309947
ACH-000250,-0.0547311664011
ACH-000251,-0.209227935267
ACH-000253,-0.202951517714
ACH-000255,-0.377920782075
ACH-000256,-0.14069714799900002
ACH-000257,-0.294708390236
ACH-000258,-0.5033121717629999
ACH-000259,-0.41910134585600006
ACH-000260,-0.24092245536899998
ACH-000261,-0.12200985800400001
ACH-000262,-0.442865404287
ACH-000263,-0.134716062821
ACH-000264,-0.238202674861
ACH-000265,-0.6446936400909999
ACH-000266,-0.28564424853
ACH-000272,-0.353270061502
ACH-000273,-0.101701043466
ACH-000274,-0.255824746917
ACH-000277,-0.163097745835
ACH-000278,-0.213777048574
ACH-000279,-0.27609121846900003
ACH-000280,-0.18199599784200002
ACH-000281,-0.404633608422
ACH-000288,-0.37131582999300006
ACH-000291,-0.241930084711
ACH-000293,-0.49116550740599996
ACH-000294,0.248128362878
ACH-000295,0.08424940188279999
ACH-000296,-0.18974890287700003
ACH-000302,-0.431154725571
ACH-000304,-0.32795497221500003
ACH-000307,-0.19148176399500003
ACH-000308,-0.16002416580999998
ACH-000310,0.0162258149841
ACH-000311,-0.333883537541
ACH-000312,-0.202553316124
ACH-000315,-0.443292373541
ACH-000316,-0.36565934653899995
ACH-000317,-0.214230652931
ACH-000318,-0.0582936745146
ACH-000319,-0.402806250273
ACH-000320,-0.16333856811699998
ACH-000322,-0.319045427597
ACH-000323,-0.290761896238
ACH-000324,-0.0731620034185
ACH-000329,-0.222917240324
ACH-000330,-0.340944156307
ACH-000331,-0.359333566867
ACH-000332,-0.195078549417
ACH-000334,0.313234148098
ACH-000335,-0.347785157958
ACH-000336,-0.611290742075
ACH-000337,-0.13062364710000002
ACH-000339,-0.0973872989229
ACH-000341,-0.07760237945689999
ACH-000348,-0.17504334843299998
ACH-000350,-0.356792128301
ACH-000352,-0.34400772836099996
ACH-000356,-0.28321332826699996
ACH-000361,0.000567340037253
ACH-000362,0.186560442379
ACH-000363,-0.108810489385
ACH-000364,-0.542437186743
ACH-000365,-0.276291119452
ACH-000366,-0.0869035432797
ACH-000368,-0.174488484945
ACH-000374,-0.27040551740400004
ACH-000375,-0.367363636244
ACH-000376,-0.449793703558
ACH-000381,-0.29216859933600003
ACH-000383,-0.191277618613
ACH-000387,-0.150366745552
ACH-000389,-0.084804349843
ACH-000390,-0.202243871299
ACH-000393,-0.307263958131
ACH-000395,0.07558271285139999
ACH-000397,-0.15474902392
ACH-000401,-0.157065814667
