,SOWAHB (345079)
ACH-000004,-0.09253156720010002
ACH-000007,-0.25001855814199997
ACH-000009,-0.204835688662
ACH-000011,-0.12446869373
ACH-000012,-0.301106675811
ACH-000013,-0.09010827829710001
ACH-000014,-0.0467496713541
ACH-000015,-0.0432193773434
ACH-000017,-0.24107614701299998
ACH-000018,-0.00638702207463
ACH-000019,-0.20709837727400002
ACH-000021,-0.137811796692
ACH-000022,-0.176392316065
ACH-000025,-0.09671315861610001
ACH-000028,-0.0519681035133
ACH-000030,-0.206038890651
ACH-000035,-0.0836222556912
ACH-000036,-0.021326936611900004
ACH-000037,-0.247628802323
ACH-000039,-0.24794664001800001
ACH-000040,0.0410510512553
ACH-000041,-0.464137775815
ACH-000042,-0.187967654839
ACH-000045,-0.272627507213
ACH-000047,-0.0621519055062
ACH-000052,0.258591422535
ACH-000053,-0.11295461750600001
ACH-000054,-0.18819958966400002
ACH-000055,-0.165018660017
ACH-000060,-0.22332318277899998
ACH-000067,-0.253263282529
ACH-000070,-0.362067301478
ACH-000075,-0.0265298290027
ACH-000078,-0.331594268994
ACH-000082,-0.218029939803
ACH-000085,0.022417073752200003
ACH-000086,-0.0529865352431
ACH-000087,-0.380654795832
ACH-000092,-0.044112123622
ACH-000095,-0.282332510988
ACH-000097,-0.287542125663
ACH-000098,-0.22435710264800002
ACH-000099,-0.20560264635000003
ACH-000108,0.021965128849200002
ACH-000113,-0.18715513717799998
ACH-000115,-0.534007131535
ACH-000116,-0.155274463014
ACH-000118,-0.176203022142
ACH-000120,-0.253247335844
ACH-000123,-0.0212227219802
ACH-000127,-0.125931288902
ACH-000128,-0.27449123351300003
ACH-000132,-0.344698775262
ACH-000133,-0.24015180124000002
ACH-000137,-0.0959578802324
ACH-000138,-0.107675644039
ACH-000142,-0.14039462204800002
ACH-000143,-0.164067598895
ACH-000146,-0.198871734804
ACH-000148,-0.0909229238532
ACH-000150,-0.0758303126156
ACH-000152,0.005409521115539999
ACH-000153,-0.136156771031
ACH-000159,-0.137402235703
ACH-000160,-0.477380480844
ACH-000163,-0.253319485557
ACH-000167,-0.11701374043299999
ACH-000168,-0.0335671465823
ACH-000169,-0.0949469213277
ACH-000178,-0.10930415225199999
ACH-000182,-0.442507032202
ACH-000183,-0.133155768584
ACH-000188,-0.319866616656
ACH-000189,-0.0263837984058
ACH-000190,-0.111975756477
ACH-000198,-0.204509625603
ACH-000204,-0.331232897162
ACH-000206,-0.17408639640700002
ACH-000207,-0.160029243998
ACH-000211,-0.216911616332
ACH-000215,-0.158292884218
ACH-000221,-0.080429402543
ACH-000222,-0.0983575192396
ACH-000223,-0.08252260711369999
ACH-000226,-0.36378058434199995
ACH-000227,0.046820697276
ACH-000228,-0.283269241953
ACH-000231,-0.08476868531500001
ACH-000232,-0.215671065744
ACH-000233,-0.031520456694400005
ACH-000234,0.11027168885
ACH-000235,-0.31423882839699996
ACH-000237,-0.129455515004
ACH-000238,0.0791772733779
ACH-000243,-0.26349644191300003
ACH-000244,0.364505072221
ACH-000246,0.0830763300542
ACH-000248,0.14010984210400002
ACH-000250,-0.0685947177244
ACH-000251,-0.09793576936210001
ACH-000253,-0.014755782495899998
ACH-000255,-0.21035403426600002
ACH-000256,-0.0102726027356
ACH-000257,-0.273690043188
ACH-000258,-0.260687358903
ACH-000259,-0.20956216640900002
ACH-000260,-0.16901488699
ACH-000261,-0.155996054946
ACH-000262,-0.0016691327109200002
ACH-000263,-0.0139277507189
ACH-000264,-0.25126892963799996
ACH-000265,-0.40410935800399994
ACH-000266,-0.353834026531
ACH-000272,-0.307880775881
ACH-000273,-0.129022595898
ACH-000274,-0.0762872347113
ACH-000277,-0.39878858707500003
ACH-000278,-0.217990430301
ACH-000279,-0.111150079928
ACH-000280,0.0108842998377
ACH-000281,-0.0997169894754
ACH-000288,-0.027060948071499998
ACH-000291,-0.150835378866
ACH-000293,-0.158842742719
ACH-000294,0.010147178305
ACH-000295,-0.251183510397
ACH-000296,-0.378409655264
ACH-000302,-0.0152907057283
ACH-000304,-0.059694612782699996
ACH-000307,0.0848501742665
ACH-000308,-0.133620607842
ACH-000310,-0.338315376414
ACH-000311,-0.33371462657400003
